Metric,Generator_A,Generator_B,p_raw,p_holm,p_bh,Cohens_d
Accuracy,CTABGAN,CTGAN,0.2607783144919439,0.7823349434758317,0.280838184837478,0.34797219271585067
Accuracy,CTABGAN,CopulaGAN,0.913959861221555,0.913959861221555,0.913959861221555,-0.04696898420824828
Accuracy,CTABGAN,ForestDiffusion,0.0006814994208188452,0.006791435313588896,0.0009540991891463833,-2.6156672310736533
Accuracy,CTABGAN,GaussianCopula,0.011999393417100653,0.04799757366840261,0.01343932062715273,-0.9822808252724936
Accuracy,CTABGAN,TVAE,0.00034194089798696506,0.004445231673830546,0.0005682960296656118,-2.493811785492638
Accuracy,CTABGAN,TabDDPM,3.3691303167392827e-06,8.085912760174278e-05,1.8867129773739983e-05,2.777410229913786
Accuracy,CTABGAN,WGAN_GP,6.518919492057483e-05,0.0011734055085703468,0.00016593613252509956,-3.708633734703229
Accuracy,CTGAN,CopulaGAN,0.2769726921472641,0.7823349434758317,0.28723094000457017,-0.5146258290709318
Accuracy,CTGAN,ForestDiffusion,0.00034503687515412143,0.004445231673830546,0.0005682960296656118,-2.73634996597256
Accuracy,CTGAN,GaussianCopula,0.00047073850078571656,0.005178123508642882,0.0007322598901111146,-1.4722205566397895
Accuracy,CTGAN,TVAE,4.012608004500402e-05,0.0008025216009000804,0.00012297021049686416,-3.210231179645061
Accuracy,CTGAN,TabDDPM,0.00010633121854133096,0.0015949682781199643,0.0002126624370826619,2.6187130282210043
Accuracy,CTGAN,WGAN_GP,1.8008290431306796e-05,0.0003961823894887495,6.924187420048052e-05,-4.174520023685883
Accuracy,CopulaGAN,ForestDiffusion,0.00018096356864807548,0.002533489961073057,0.00033779866147640755,-2.655565568340829
Accuracy,CopulaGAN,GaussianCopula,0.005304872656205186,0.031829235937231116,0.0064581058423367485,-1.315940654727732
Accuracy,CopulaGAN,TVAE,7.138260109052582e-07,1.927330229444197e-05,9.337850441915363e-06,-3.7812668094338253
Accuracy,CopulaGAN,TabDDPM,4.391793232030863e-05,0.000834440714085864,0.00012297021049686416,3.807326780244918
Accuracy,CopulaGAN,WGAN_GP,4.445425341231585e-07,1.2447190955448437e-05,9.337850441915363e-06,-4.320663836955311
Accuracy,ForestDiffusion,GaussianCopula,0.0006791435313588896,0.006791435313588896,0.0009540991891463833,2.366841983988537
Accuracy,ForestDiffusion,TVAE,0.0009972137185576399,0.007977709748461119,0.0013296182914101864,2.0087456045576197
Accuracy,ForestDiffusion,TabDDPM,8.531362281673143e-05,0.0014503315878844343,0.00019051818880838324,3.454168401636713
Accuracy,ForestDiffusion,WGAN_GP,0.006169761247952094,0.031829235937231116,0.0071980547892774435,1.206217344424717
Accuracy,GaussianCopula,TVAE,0.002145604927433887,0.015019234492037207,0.0027307699076431287,-1.7516824852512152
Accuracy,GaussianCopula,TabDDPM,5.550710923239748e-06,0.0001276663512345142,2.590331764178549e-05,4.339161463352921
Accuracy,GaussianCopula,WGAN_GP,1.9783392628708717e-05,0.00041545124520288307,6.924187420048052e-05,-3.244181631230126
Accuracy,TVAE,TabDDPM,1.0004839759195032e-06,2.601258337390708e-05,9.337850441915363e-06,6.48016095448496
Accuracy,TVAE,WGAN_GP,8.84548733753208e-05,0.0014503315878844343,0.00019051818880838324,-2.2982061214662806
Accuracy,TabDDPM,WGAN_GP,2.1224767041957474e-06,5.3061917604893686e-05,1.4857336929370233e-05,-6.247023435751385
