Metric,Generator_A,Generator_B,p_raw,p_holm,p_bh,Cliffs_Delta
Accuracy,CTABGAN,CTGAN,0.322265625,0.966796875,0.34705528846153844,0.06
Accuracy,CTABGAN,CopulaGAN,1.0,1.0,1.0,-0.12
Accuracy,CTABGAN,ForestDiffusion,0.001953125,0.0546875,0.0028782894736842104,-1.0
Accuracy,CTABGAN,GaussianCopula,0.01953125,0.09765625,0.021875,-0.48
Accuracy,CTABGAN,TVAE,0.00390625,0.0546875,0.005208333333333333,-0.88
Accuracy,CTABGAN,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,0.98
Accuracy,CTABGAN,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
Accuracy,CTGAN,CopulaGAN,0.556640625,1.0,0.5772569444444444,-0.24
Accuracy,CTGAN,ForestDiffusion,0.001953125,0.0546875,0.0028782894736842104,-1.0
Accuracy,CTGAN,GaussianCopula,0.001953125,0.0546875,0.0028782894736842104,-0.74
Accuracy,CTGAN,TVAE,0.001953125,0.0546875,0.0028782894736842104,-1.0
Accuracy,CTGAN,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,0.94
Accuracy,CTGAN,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
Accuracy,CopulaGAN,ForestDiffusion,0.001953125,0.0546875,0.0028782894736842104,-1.0
Accuracy,CopulaGAN,GaussianCopula,0.013671875,0.08203125,0.016644021739130436,-0.64
Accuracy,CopulaGAN,TVAE,0.001953125,0.0546875,0.0028782894736842104,-1.0
Accuracy,CopulaGAN,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,1.0
Accuracy,CopulaGAN,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
Accuracy,ForestDiffusion,GaussianCopula,0.00390625,0.0546875,0.005208333333333333,0.98
Accuracy,ForestDiffusion,TVAE,0.001953125,0.0546875,0.0028782894736842104,0.84
Accuracy,ForestDiffusion,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,1.0
Accuracy,ForestDiffusion,WGAN_GP,0.01953125,0.09765625,0.021875,0.48
Accuracy,GaussianCopula,TVAE,0.005859375,0.0546875,0.007457386363636364,-0.8
Accuracy,GaussianCopula,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,1.0
Accuracy,GaussianCopula,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
Accuracy,TVAE,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,1.0
Accuracy,TVAE,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-0.98
Accuracy,TabDDPM,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
