,Metric,Generator_A,Generator_B,Cohens_d,Cliffs_Delta
0,Accuracy,CTABGAN,CTGAN,0.34797219271585067,0.06
1,Accuracy,CTABGAN,CopulaGAN,-0.04696898420824828,-0.12
2,Accuracy,CTABGAN,ForestDiffusion,-2.6156672310736533,-1.0
3,Accuracy,CTABGAN,GaussianCopula,-0.9822808252724936,-0.48
4,Accuracy,CTABGAN,TVAE,-2.493811785492638,-0.88
5,Accuracy,CTABGAN,TabDDPM,2.777410229913786,0.98
6,Accuracy,CTABGAN,WGAN_GP,-3.708633734703229,-1.0
7,Accuracy,CTGAN,CopulaGAN,-0.5146258290709318,-0.24
8,Accuracy,CTGAN,ForestDiffusion,-2.73634996597256,-1.0
9,Accuracy,CTGAN,GaussianCopula,-1.4722205566397895,-0.74
10,Accuracy,CTGAN,TVAE,-3.210231179645061,-1.0
11,Accuracy,CTGAN,TabDDPM,2.6187130282210043,0.94
12,Accuracy,CTGAN,WGAN_GP,-4.174520023685883,-1.0
13,Accuracy,CopulaGAN,ForestDiffusion,-2.655565568340829,-1.0
14,Accuracy,CopulaGAN,GaussianCopula,-1.315940654727732,-0.64
15,Accuracy,CopulaGAN,TVAE,-3.7812668094338253,-1.0
16,Accuracy,CopulaGAN,TabDDPM,3.807326780244918,1.0
17,Accuracy,CopulaGAN,WGAN_GP,-4.320663836955311,-1.0
18,Accuracy,ForestDiffusion,GaussianCopula,2.366841983988537,0.98
19,Accuracy,ForestDiffusion,TVAE,2.0087456045576197,0.84
20,Accuracy,ForestDiffusion,TabDDPM,3.454168401636713,1.0
21,Accuracy,ForestDiffusion,WGAN_GP,1.206217344424717,0.48
22,Accuracy,GaussianCopula,TVAE,-1.7516824852512152,-0.8
23,Accuracy,GaussianCopula,TabDDPM,4.339161463352921,1.0
24,Accuracy,GaussianCopula,WGAN_GP,-3.244181631230126,-1.0
25,Accuracy,TVAE,TabDDPM,6.48016095448496,1.0
26,Accuracy,TVAE,WGAN_GP,-2.2982061214662806,-0.98
27,Accuracy,TabDDPM,WGAN_GP,-6.247023435751385,-1.0
