,Metric,Generator_A,Generator_B,p_raw,p_holm,p_bh,Cliffs_Delta
0,Accuracy,CTABGAN,CTGAN,0.322265625,0.966796875,0.34705528846153844,0.06
1,Accuracy,CTABGAN,CopulaGAN,1.0,1.0,1.0,-0.12
2,Accuracy,CTABGAN,ForestDiffusion,0.001953125,0.0546875,0.0028782894736842104,-1.0
3,Accuracy,CTABGAN,GaussianCopula,0.01953125,0.09765625,0.021875,-0.48
4,Accuracy,CTABGAN,TVAE,0.00390625,0.0546875,0.005208333333333333,-0.88
5,Accuracy,CTABGAN,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,0.98
6,Accuracy,CTABGAN,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
7,Accuracy,CTGAN,CopulaGAN,0.556640625,1.0,0.5772569444444444,-0.24
8,Accuracy,CTGAN,ForestDiffusion,0.001953125,0.0546875,0.0028782894736842104,-1.0
9,Accuracy,CTGAN,GaussianCopula,0.001953125,0.0546875,0.0028782894736842104,-0.74
10,Accuracy,CTGAN,TVAE,0.001953125,0.0546875,0.0028782894736842104,-1.0
11,Accuracy,CTGAN,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,0.94
12,Accuracy,CTGAN,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
13,Accuracy,CopulaGAN,ForestDiffusion,0.001953125,0.0546875,0.0028782894736842104,-1.0
14,Accuracy,CopulaGAN,GaussianCopula,0.013671875,0.08203125,0.016644021739130436,-0.64
15,Accuracy,CopulaGAN,TVAE,0.001953125,0.0546875,0.0028782894736842104,-1.0
16,Accuracy,CopulaGAN,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,1.0
17,Accuracy,CopulaGAN,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
18,Accuracy,ForestDiffusion,GaussianCopula,0.00390625,0.0546875,0.005208333333333333,0.98
19,Accuracy,ForestDiffusion,TVAE,0.001953125,0.0546875,0.0028782894736842104,0.84
20,Accuracy,ForestDiffusion,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,1.0
21,Accuracy,ForestDiffusion,WGAN_GP,0.01953125,0.09765625,0.021875,0.48
22,Accuracy,GaussianCopula,TVAE,0.005859375,0.0546875,0.007457386363636364,-0.8
23,Accuracy,GaussianCopula,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,1.0
24,Accuracy,GaussianCopula,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
25,Accuracy,TVAE,TabDDPM,0.001953125,0.0546875,0.0028782894736842104,1.0
26,Accuracy,TVAE,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-0.98
27,Accuracy,TabDDPM,WGAN_GP,0.001953125,0.0546875,0.0028782894736842104,-1.0
