Generator,UtilityScore,FidelityScore,PrivacyScore,OverallScore,UtilityStd,FidelityStd,PrivacyStd,Rank,Dataset
ForestDiffusion,0.968362898094103,0.26481773991418645,0.7458789484729241,0.6905541657537744,0.02533261560431084,0.3973204760397929,0.4306859916848103,1,Cancer
CTABGAN,0.8534899925686222,0.5133862651733053,0.5363147907251201,0.6563063137969766,0.03844262538306072,0.4190367853106954,0.4520312730149757,2,Cancer
TVAE,0.9230599709384475,0.41377407517736103,0.4877173849809624,0.639671426422876,0.029939057439159596,0.4362112587722336,0.4592444829575035,3,Cancer
GaussianCopula,0.8200940787089187,0.3928241452145236,0.6147824256659962,0.6303196027477234,0.04558184888203832,0.4460124703686378,0.3948195200317383,4,Cancer
WGAN_GP,0.9355254935904923,0.25572457800256904,0.5695028378343651,0.6217784221872772,0.03091233954307604,0.407271732796022,0.4284281443663037,5,Cancer
CTGAN,0.7038964675556111,0.4750360720991947,0.3123008246014149,0.5177596560324272,0.04208972191513813,0.3313262612729288,0.39773638012226625,6,Cancer
TabDDPM,0.3220413157082996,0.5143939653183046,0.4597927818721145,0.42107255044044556,0.1586658384894548,0.47315928831937626,0.4618239786791074,7,Cancer
CopulaGAN,0.37296538804801294,0.36828778723365513,0.3801171918778428,0.3737076489526545,0.07790029599774173,0.2472718850136229,0.3416095923426357,8,Cancer
ForestDiffusion,0.6854540568620545,0.1712066308380989,0.8740643163992137,0.5877629069160155,0.010054108287104397,0.1859964089934082,0.21812700248248054,1,Mushroom
CTABGAN,0.377432168857154,0.45930392579828133,0.5965175288041394,0.46771930392358785,0.01875440132148162,0.39869595358893817,0.24223188768417112,2,Mushroom
TVAE,0.36667292309357585,0.4039431302146414,0.6238393249874938,0.45500390579807093,0.010215520834009024,0.4473614274275943,0.37881101680659823,3,Mushroom
WGAN_GP,0.5100138975778759,0.2754930305176135,0.5520664642022749,0.45227340744711686,0.011469947592906881,0.2193952590882596,0.25186705780360347,4,Mushroom
GaussianCopula,0.3363148782492614,0.343779489884602,0.4949530413496791,0.3861457106699889,0.019363414206874534,0.4169179793197654,0.41455115072896204,5,Mushroom
CopulaGAN,0.3997825632837796,0.3137404995245627,0.425874725649952,0.38179759286586623,0.014410870708953378,0.32429185997857424,0.44211035336861615,6,Mushroom
CTGAN,0.2212644916550226,0.3697079075243822,0.5898036904498916,0.3763592760542912,0.023545270371092317,0.4189129510429795,0.3382438588682164,7,Mushroom
TabDDPM,0.17176280356445117,0.5327151221325226,0.25,0.30351965806553727,0.027853388791479264,0.48040030802591,0.4330127018922193,8,Mushroom
