Dataset,Generator,Leakage,Mean,Std,Std_AcrossClassifiers,N_Classifiers
1. Cancer,CTABGAN,0,0.882719298245614,0.02284904814275754,0.045782508638041,10
1. Cancer,CTGAN,0,0.7193859649122807,0.036438680388859855,0.06736381410904786,10
1. Cancer,CopulaGAN,0,0.3592982456140351,0.06527766646913412,0.08944042496163658,10
1. Cancer,ForestDiffusion,0,0.9616666666666667,0.016791725843263657,0.021818626459659703,10
1. Cancer,GaussianCopula,0,0.860438596491228,0.030442056772083347,0.06516264084301722,10
1. Cancer,TVAE,0,0.9264035087719298,0.020360774558707672,0.019876374871547066,10
1. Cancer,TabDDPM,0,0.509561403508772,0.08507037469192234,0.11162963803743645,10
1. Cancer,WGAN_GP,0,0.9393859649122807,0.020402342223594196,0.013446795884199156,10
2. Alzhimers,CTABGAN,0,0.8405333333333334,0.04608736051527744,0.12647267796486697,10
2. Alzhimers,CTGAN,0,0.5597333333333333,0.053807152879453125,0.04040193125808119,10
2. Alzhimers,CopulaGAN,0,0.5426666666666666,0.04755520524825105,0.05156321782141578,10
2. Alzhimers,ForestDiffusion,0,0.9542666666666667,0.0197991146628893,0.013742607440338936,10
2. Alzhimers,GaussianCopula,0,0.8242666666666667,0.03663219830618147,0.09384157913903965,10
2. Alzhimers,TVAE,0,0.8718666666666668,0.033611099989973615,0.04465041163594419,10
2. Alzhimers,TabDDPM,0,0.532,0.04592316257546116,0.03545541453365177,10
2. Alzhimers,WGAN_GP,0,0.8798666666666668,0.03861576002876414,0.025689119568360622,10
3. Adult,CTABGAN,0,0.5860000000000001,0.057625803622188866,0.15381825494900003,10
3. Adult,CTGAN,0,0.6841999999999999,0.018099512348001282,0.11329538580385548,10
3. Adult,CopulaGAN,0,0.6629,0.02336666123236383,0.1137042459873665,10
3. Adult,ForestDiffusion,0,0.71975,0.028989916693290478,0.04259254629627117,10
3. Adult,GaussianCopula,0,0.664,0.03682992801543866,0.11281917685689198,10
3. Adult,TVAE,0,0.66975,0.022255779477904924,0.09551505116995958,10
3. Adult,TabDDPM,0,0.4648,0.10318369470784332,0.138676922697646,10
3. Adult,WGAN_GP,0,0.34985,0.029771153557755475,0.06794934796514894,10
4. Forest cover dataset,CTABGAN,0,0.3216,0.03502135955062388,0.054277988172002085,10
4. Forest cover dataset,CTGAN,0,0.1336,0.0320609657135668,0.03104548634217577,10
4. Forest cover dataset,CopulaGAN,0,0.09145,0.03407393590628603,0.04721784620246883,10
4. Forest cover dataset,GaussianCopula,0,0.46720000000000006,0.032201883153093386,0.05839672745777609,10
4. Forest cover dataset,TVAE,0,0.38265000000000005,0.04188855795889177,0.03960713319592823,10
4. Forest cover dataset,WGAN_GP,0,0.40725,0.03366348008394104,0.0302657213508763,10
5. Bank Markting,CTABGAN,0,0.8480449999999999,0.012226760429227185,0.09240475111041516,10
5. Bank Markting,CTGAN,0,0.82964,0.00912004222987723,0.05155868177782153,10
5. Bank Markting,CopulaGAN,0,0.8546400000000001,0.00587670417614213,0.02981856058825704,10
5. Bank Markting,ForestDiffusion,0,0.8755200000000001,0.006413528111469563,0.026458743566373486,10
5. Bank Markting,GaussianCopula,0,0.852225,0.00730533927685339,0.0404458296847634,10
5. Bank Markting,TVAE,0,0.8452949999999999,0.005362984616287728,0.06691483164773296,10
5. Bank Markting,TabDDPM,0,0.8556950000000001,0.020001790420121367,0.0526413359442938,10
5. Bank Markting,WGAN_GP,0,0.8622249999999999,0.005919292760535743,0.04208165508204787,10
6. Wine dataset,CTABGAN,0,0.4085,0.02562322849863813,0.04444659717008717,10
6. Wine dataset,CTGAN,0,0.25315,0.02744442362404893,0.04167136640161657,10
6. Wine dataset,CopulaGAN,0,0.29195000000000004,0.03216740895630189,0.05204135641754334,10
6. Wine dataset,ForestDiffusion,0,0.5767777777777777,0.05148176862814565,0.07698989832727697,9
6. Wine dataset,GaussianCopula,0,0.40214999999999995,0.026836977189855442,0.040081202299554065,10
6. Wine dataset,TVAE,0,0.4904,0.026976701136444913,0.015730013774098647,10
6. Wine dataset,TabDDPM,0,0.3965555555555556,0.028448724208643614,0.06999126929680428,9
6. Wine dataset,WGAN_GP,0,0.42349999999999993,0.033661577338453694,0.04496912521077351,10
7. CDC diabetes dataset,CTABGAN,0,0.8297504749089757,0.003995414956992898,0.0407153096474965,10
7. CDC diabetes dataset,CTGAN,0,0.8475215687826501,0.0023971271512255,0.021049040118656746,10
7. CDC diabetes dataset,CopulaGAN,0,0.8177894965964857,0.005627629336643215,0.03715427812264139,10
7. CDC diabetes dataset,ForestDiffusion,0,0.7912167563716954,0.0038418634739236547,0.17802592513518056,10
7. CDC diabetes dataset,GaussianCopula,0,0.8403306553743866,0.004328462104370422,0.03528732084234216,10
7. CDC diabetes dataset,TVAE,0,0.8293580813677378,0.004892993950154065,0.029108118028473764,10
7. CDC diabetes dataset,TabDDPM,0,0.8416059838530948,0.006602121264052169,0.04038270484371382,10
7. CDC diabetes dataset,WGAN_GP,0,0.8442019550419502,0.003654095004066564,0.03666260303835678,10
8. Mushroom dataset,CTABGAN,0,0.5512443815548527,0.013565487491428968,0.025848352252563916,10
8. Mushroom dataset,CTGAN,0,0.5428150491093724,0.01716168581389462,0.022482928820429002,10
8. Mushroom dataset,CopulaGAN,0,0.5521999334110206,0.011713408931477456,0.01263507307141203,10
8. Mushroom dataset,ForestDiffusion,0,0.7637214915931414,0.008653099958176489,0.11193431587462072,10
8. Mushroom dataset,GaussianCopula,0,0.5736340935575162,0.015147497096337403,0.019260288066312522,10
8. Mushroom dataset,TVAE,0,0.6034201764607958,0.007411489659552099,0.014399018637575828,10
8. Mushroom dataset,TabDDPM,0,0.48539370734143505,0.016407285086626457,0.021357248747607045,10
8. Mushroom dataset,WGAN_GP,0,0.663868819710338,0.009988855928536749,0.03429744579202165,10
9. MAGIC Gamma Telescope,CTABGAN,0,0.7902944269190326,0.007936315438753328,0.025310122489429234,10
9. MAGIC Gamma Telescope,CTGAN,0,0.73068349106204,0.009494297893844036,0.024487211356125204,10
