Dataset,Generator,Classifier,Leakage,Mean,Std,N
1. Cancer,CTABGAN,AdaBoost,0,0.9017543859649122,0.01953601530817553,2
1. Cancer,CTABGAN,Decision Tree,0,0.7578947368421052,0.04336563892739744,2
1. Cancer,CTABGAN,Extra Trees,0,0.9061403508771928,0.01180142460269623,2
1. Cancer,CTABGAN,Gradient Boosting,0,0.8991228070175439,0.02609556979060266,2
1. Cancer,CTABGAN,KNN,0,0.8938596491228072,0.01939767051534734,2
1. Cancer,CTABGAN,Logistic Regression,0,0.9122807017543859,0.01881369349958528,2
1. Cancer,CTABGAN,MLP,0,0.8640350877192982,0.02488817712124755,2
1. Cancer,CTABGAN,Naive Bayes,0,0.8903508771929826,0.01931817153118003,2
1. Cancer,CTABGAN,Random Forest,0,0.9052631578947368,0.02280701754385965,2
1. Cancer,CTABGAN,SVM-RBF,0,0.8964912280701756,0.02246710258748367,2
1. Cancer,CTGAN,AdaBoost,0,0.7254385964912281,0.02513429610858667,2
1. Cancer,CTGAN,Decision Tree,0,0.6421052631578947,0.04671412966910297,2
1. Cancer,CTGAN,Extra Trees,0,0.7035087719298245,0.02712214883112335,2
1. Cancer,CTGAN,Gradient Boosting,0,0.6956140350877192,0.05100558512318116,2
1. Cancer,CTGAN,KNN,0,0.6140350877192982,0.05407380704358751,2
1. Cancer,CTGAN,Logistic Regression,0,0.7912280701754387,0.0128920512778062,2
1. Cancer,CTGAN,MLP,0,0.7201754385964911,0.06685683863961835,2
1. Cancer,CTGAN,Naive Bayes,0,0.8517543859649122,0.02947420634458147,2
1. Cancer,CTGAN,Random Forest,0,0.7157894736842105,0.02723539420396496,2
1. Cancer,CTGAN,SVM-RBF,0,0.7342105263157894,0.02387834664704595,2
1. Cancer,CopulaGAN,AdaBoost,0,0.4815789473684211,0.1002804623522366,2
1. Cancer,CopulaGAN,Decision Tree,0,0.4885964912280701,0.1217403551246111,2
1. Cancer,CopulaGAN,Extra Trees,0,0.3473684210526316,0.06254576656131891,2
1. Cancer,CopulaGAN,Gradient Boosting,0,0.3894736842105263,0.0709605207584445,2
1. Cancer,CopulaGAN,KNN,0,0.343859649122807,0.04974542764476429,2
1. Cancer,CopulaGAN,Logistic Regression,0,0.2631578947368421,0.03088915238887546,2
1. Cancer,CopulaGAN,MLP,0,0.243859649122807,0.06666666666666668,2
1. Cancer,CopulaGAN,Naive Bayes,0,0.3447368421052631,0.03923906885323691,2
1. Cancer,CopulaGAN,Random Forest,0,0.4342105263157895,0.06567241047103436,2
1. Cancer,CopulaGAN,SVM-RBF,0,0.256140350877193,0.04503683387015241,2
1. Cancer,ForestDiffusion,AdaBoost,0,0.9771929824561403,0.01370219241387132,2
1. Cancer,ForestDiffusion,Decision Tree,0,0.9184210526315789,0.02355389751245184,2
1. Cancer,ForestDiffusion,Extra Trees,0,0.968421052631579,0.02007986516185893,2
1. Cancer,ForestDiffusion,Gradient Boosting,0,0.9728070175438598,0.01491228070175439,2
1. Cancer,ForestDiffusion,KNN,0,0.9526315789473683,0.01848360307518024,2
1. Cancer,ForestDiffusion,Logistic Regression,0,0.9824561403508772,0.01109571108831009,2
1. Cancer,ForestDiffusion,MLP,0,0.9710526315789473,0.009649122807017537,2
1. Cancer,ForestDiffusion,Naive Bayes,0,0.9280701754385966,0.02105263157894736,2
1. Cancer,ForestDiffusion,Random Forest,0,0.9692982456140351,0.0212164677586804,2
1. Cancer,ForestDiffusion,SVM-RBF,0,0.976315789473684,0.01417148633456448,2
1. Cancer,GaussianCopula,AdaBoost,0,0.9096491228070175,0.02419844600725213,2
1. Cancer,GaussianCopula,Decision Tree,0,0.7201754385964912,0.05470337483392584,2
1. Cancer,GaussianCopula,Extra Trees,0,0.8903508771929823,0.02579901959623288,2
1. Cancer,GaussianCopula,Gradient Boosting,0,0.887719298245614,0.02796031131668285,2
1. Cancer,GaussianCopula,KNN,0,0.8403508771929824,0.02246710258748367,2
1. Cancer,GaussianCopula,Logistic Regression,0,0.9078947368421053,0.03019634118957632,2
1. Cancer,GaussianCopula,MLP,0,0.7701754385964913,0.0527484083451681,2
1. Cancer,GaussianCopula,Naive Bayes,0,0.9087719298245615,0.01312862240973313,2
1. Cancer,GaussianCopula,Random Forest,0,0.893859649122807,0.03075183884729492,2
1. Cancer,GaussianCopula,SVM-RBF,0,0.8754385964912281,0.02246710258748367,2
1. Cancer,TVAE,AdaBoost,0,0.9342105263157894,0.02426195909813917,2
1. Cancer,TVAE,Decision Tree,0,0.8850877192982457,0.03339099352749871,2
1. Cancer,TVAE,Extra Trees,0,0.9421052631578949,0.01189882453179871,2
1. Cancer,TVAE,Gradient Boosting,0,0.9280701754385966,0.02141500985216438,2
1. Cancer,TVAE,KNN,0,0.9192982456140351,0.01559332353915015,2
1. Cancer,TVAE,Logistic Regression,0,0.9508771929824562,0.01626950613244861,2
1. Cancer,TVAE,MLP,0,0.9394736842105263,0.01491228070175438,2
1. Cancer,TVAE,Naive Bayes,0,0.9201754385964911,0.01774013018961113,2
1. Cancer,TVAE,Random Forest,0,0.9403508771929825,0.02411881944713603,2
1. Cancer,TVAE,SVM-RBF,0,0.9043859649122806,0.02400689856737546,2
1. Cancer,TabDDPM,AdaBoost,0,0.4754385964912281,0.1522277375756847,2
1. Cancer,TabDDPM,Decision Tree,0,0.5745614035087719,0.1279168753250364,2
1. Cancer,TabDDPM,Extra Trees,0,0.5026315789473684,0.07992089810451299,2
1. Cancer,TabDDPM,Gradient Boosting,0,0.4885964912280702,0.08201168006057966,2
1. Cancer,TabDDPM,KNN,0,0.2289473684210526,0.04763569818380865,2
1. Cancer,TabDDPM,Logistic Regression,0,0.5956140350877193,0.04763569818380865,2
1. Cancer,TabDDPM,MLP,0,0.5807017543859649,0.07543859649122807,2
1. Cancer,TabDDPM,Naive Bayes,0,0.4771929824561403,0.1403070106886471,2
1. Cancer,TabDDPM,Random Forest,0,0.5517543859649123,0.08580812770322103,2
1. Cancer,TabDDPM,SVM-RBF,0,0.6201754385964913,0.01180142460269623,2
1. Cancer,WGAN_GP,AdaBoost,0,0.9429824561403508,0.01808379660358624,2
1. Cancer,WGAN_GP,Decision Tree,0,0.9043859649122806,0.03100104745100403,2
1. Cancer,WGAN_GP,Extra Trees,0,0.9482456140350877,0.01774013018961111,2
