Classifier,Generator,Accuracy,SD
AdaBoost,CTABGAN,0.73,0.016
AdaBoost,CTGAN,0.643,0.024
AdaBoost,CopulaGAN,0.524,0.053
AdaBoost,ForestDiffusion,0.817,0.012
AdaBoost,GaussianCopula,0.747,0.017
AdaBoost,TVAE,0.772,0.014
AdaBoost,TabDDPM,0.479,0.083
AdaBoost,WGAN_GP,0.802,0.015
Decision Tree,CTABGAN,0.634,0.04
Decision Tree,CTGAN,0.587,0.037
Decision Tree,CopulaGAN,0.506,0.077
Decision Tree,ForestDiffusion,0.849,0.024
Decision Tree,GaussianCopula,0.63,0.039
Decision Tree,TVAE,0.734,0.022
Decision Tree,TabDDPM,0.533,0.079
Decision Tree,WGAN_GP,0.761,0.025
Extra Trees,CTABGAN,0.722,0.011
Extra Trees,CTGAN,0.626,0.023
Extra Trees,CopulaGAN,0.452,0.037
Extra Trees,ForestDiffusion,0.941,0.013
Extra Trees,GaussianCopula,0.74,0.022
Extra Trees,TVAE,0.783,0.009
Extra Trees,TabDDPM,0.479,0.047
Extra Trees,WGAN_GP,0.823,0.014
Gradient Boosting,CTABGAN,0.724,0.021
Gradient Boosting,CTGAN,0.63,0.034
Gradient Boosting,CopulaGAN,0.477,0.039
Gradient Boosting,ForestDiffusion,0.88,0.013
Gradient Boosting,GaussianCopula,0.737,0.022
Gradient Boosting,TVAE,0.762,0.014
Gradient Boosting,TabDDPM,0.486,0.05
Gradient Boosting,WGAN_GP,0.813,0.015
KNN,CTABGAN,0.715,0.015
KNN,CTGAN,0.553,0.033
KNN,CopulaGAN,0.454,0.03
KNN,ForestDiffusion,0.904,0.012
KNN,GaussianCopula,0.692,0.017
KNN,TVAE,0.76,0.011
KNN,TabDDPM,0.357,0.029
KNN,WGAN_GP,0.809,0.012
Logistic Regression,CTABGAN,0.748,0.014
Logistic Regression,CTGAN,0.675,0.013
Logistic Regression,CopulaGAN,0.405,0.019
Logistic Regression,ForestDiffusion,0.823,0.008
Logistic Regression,GaussianCopula,0.739,0.02
Logistic Regression,TVAE,0.78,0.012
Logistic Regression,TabDDPM,0.552,0.031
Logistic Regression,WGAN_GP,0.79,0.012
MLP,CTABGAN,0.697,0.018
MLP,CTGAN,0.619,0.043
MLP,CopulaGAN,0.398,0.042
MLP,ForestDiffusion,0.904,0.009
MLP,GaussianCopula,0.673,0.032
MLP,TVAE,0.774,0.011
MLP,TabDDPM,0.529,0.044
MLP,WGAN_GP,0.827,0.016
Naive Bayes,CTABGAN,0.738,0.014
Naive Bayes,CTGAN,0.702,0.02
Naive Bayes,CopulaGAN,0.445,0.024
Naive Bayes,ForestDiffusion,0.761,0.013
Naive Bayes,GaussianCopula,0.755,0.016
Naive Bayes,TVAE,0.749,0.015
Naive Bayes,TabDDPM,0.495,0.077
Naive Bayes,WGAN_GP,0.781,0.013
Random Forest,CTABGAN,0.723,0.019
Random Forest,CTGAN,0.63,0.022
Random Forest,CopulaGAN,0.496,0.038
Random Forest,ForestDiffusion,0.928,0.013
Random Forest,GaussianCopula,0.735,0.027
Random Forest,TVAE,0.778,0.014
Random Forest,TabDDPM,0.501,0.054
Random Forest,WGAN_GP,0.821,0.016
SVM-RBF,CTABGAN,0.74,0.015
SVM-RBF,CTGAN,0.646,0.018
SVM-RBF,CopulaGAN,0.402,0.026
SVM-RBF,ForestDiffusion,0.819,0.01
SVM-RBF,GaussianCopula,0.723,0.016
SVM-RBF,TVAE,0.757,0.016
SVM-RBF,TabDDPM,0.564,0.013
SVM-RBF,WGAN_GP,0.788,0.015
