Dataset,Generator,Mean_Accuracy,Std
1. Cancer,CTABGAN,0.882719298245614,0.02284904814275754
1. Cancer,CTGAN,0.7193859649122807,0.036438680388859855
1. Cancer,CopulaGAN,0.3592982456140351,0.06527766646913412
1. Cancer,ForestDiffusion,0.9616666666666667,0.016791725843263657
1. Cancer,GaussianCopula,0.860438596491228,0.030442056772083347
1. Cancer,TVAE,0.9264035087719298,0.020360774558707672
1. Cancer,TabDDPM,0.509561403508772,0.08507037469192234
1. Cancer,WGAN_GP,0.9393859649122807,0.020402342223594196
2. Alzhimers,CTABGAN,0.8405333333333334,0.04608736051527744
2. Alzhimers,CTGAN,0.5597333333333333,0.053807152879453125
2. Alzhimers,CopulaGAN,0.5426666666666666,0.04755520524825105
2. Alzhimers,ForestDiffusion,0.9542666666666667,0.0197991146628893
2. Alzhimers,GaussianCopula,0.8242666666666667,0.03663219830618147
2. Alzhimers,TVAE,0.8718666666666668,0.033611099989973615
2. Alzhimers,TabDDPM,0.532,0.04592316257546116
2. Alzhimers,WGAN_GP,0.8798666666666668,0.03861576002876414
3. Adult,CTABGAN,0.5860000000000001,0.057625803622188866
3. Adult,CTGAN,0.6841999999999999,0.018099512348001282
3. Adult,CopulaGAN,0.6629,0.02336666123236383
3. Adult,ForestDiffusion,0.71975,0.028989916693290478
3. Adult,GaussianCopula,0.664,0.03682992801543866
3. Adult,TVAE,0.66975,0.022255779477904924
3. Adult,TabDDPM,0.4648,0.10318369470784332
3. Adult,WGAN_GP,0.34985,0.029771153557755475
4. Forest cover dataset,CTABGAN,0.3216,0.03502135955062388
4. Forest cover dataset,CTGAN,0.1336,0.0320609657135668
4. Forest cover dataset,CopulaGAN,0.09145,0.03407393590628603
4. Forest cover dataset,GaussianCopula,0.46720000000000006,0.032201883153093386
4. Forest cover dataset,TVAE,0.38265000000000005,0.04188855795889177
4. Forest cover dataset,WGAN_GP,0.40725,0.03366348008394104
5. Bank Markting,CTABGAN,0.8480449999999999,0.012226760429227185
5. Bank Markting,CTGAN,0.82964,0.00912004222987723
5. Bank Markting,CopulaGAN,0.8546400000000001,0.00587670417614213
5. Bank Markting,ForestDiffusion,0.8755200000000001,0.006413528111469563
5. Bank Markting,GaussianCopula,0.852225,0.00730533927685339
5. Bank Markting,TVAE,0.8452949999999999,0.005362984616287728
5. Bank Markting,TabDDPM,0.8556950000000001,0.020001790420121367
5. Bank Markting,WGAN_GP,0.8622249999999999,0.005919292760535743
6. Wine dataset,CTABGAN,0.4085,0.02562322849863813
6. Wine dataset,CTGAN,0.25315,0.02744442362404893
6. Wine dataset,CopulaGAN,0.29195000000000004,0.03216740895630189
6. Wine dataset,ForestDiffusion,0.5767777777777777,0.05148176862814565
6. Wine dataset,GaussianCopula,0.40214999999999995,0.026836977189855442
6. Wine dataset,TVAE,0.4904,0.026976701136444913
6. Wine dataset,TabDDPM,0.3965555555555556,0.028448724208643614
6. Wine dataset,WGAN_GP,0.42349999999999993,0.033661577338453694
7. CDC diabetes dataset,CTABGAN,0.8297504749089757,0.003995414956992898
7. CDC diabetes dataset,CTGAN,0.8475215687826501,0.0023971271512255
7. CDC diabetes dataset,CopulaGAN,0.8177894965964857,0.005627629336643215
7. CDC diabetes dataset,ForestDiffusion,0.7912167563716954,0.0038418634739236547
7. CDC diabetes dataset,GaussianCopula,0.8403306553743866,0.004328462104370422
7. CDC diabetes dataset,TVAE,0.8293580813677378,0.004892993950154065
7. CDC diabetes dataset,TabDDPM,0.8416059838530948,0.006602121264052169
7. CDC diabetes dataset,WGAN_GP,0.8442019550419502,0.003654095004066564
8. Mushroom dataset,CTABGAN,0.5512443815548527,0.013565487491428968
8. Mushroom dataset,CTGAN,0.5428150491093724,0.01716168581389462
8. Mushroom dataset,CopulaGAN,0.5521999334110206,0.011713408931477456
8. Mushroom dataset,ForestDiffusion,0.7637214915931414,0.008653099958176489
8. Mushroom dataset,GaussianCopula,0.5736340935575162,0.015147497096337403
8. Mushroom dataset,TVAE,0.6034201764607958,0.007411489659552099
8. Mushroom dataset,TabDDPM,0.48539370734143505,0.016407285086626457
8. Mushroom dataset,WGAN_GP,0.663868819710338,0.009988855928536749
9. MAGIC Gamma Telescope,CTABGAN,0.7902944269190326,0.007936315438753328
9. MAGIC Gamma Telescope,CTGAN,0.73068349106204,0.009494297893844036
9. MAGIC Gamma Telescope,CopulaGAN,0.7391561514195584,0.010555645877991198
9. MAGIC Gamma Telescope,ForestDiffusion,0.8095084121976865,0.007059450975868829
9. MAGIC Gamma Telescope,GaussianCopula,0.7378785488958991,0.013728156429587982
9. MAGIC Gamma Telescope,TVAE,0.7553233438485804,0.008856426128495371
9. MAGIC Gamma Telescope,TabDDPM,0.6293585699263933,0.008039054725109279
9. MAGIC Gamma Telescope,WGAN_GP,0.8014616193480547,0.0073677855193536295
