Dataset,Generator,Classifier,Leakage,Mean,Std,N
1. Cancer,CTABGAN,Logistic Regression,0,0.9122807017543859,0.01881369349958528,2
1. Cancer,CTGAN,Naive Bayes,0,0.8517543859649122,0.02947420634458147,2
1. Cancer,CopulaGAN,Decision Tree,0,0.4885964912280701,0.1217403551246111,2
1. Cancer,ForestDiffusion,Logistic Regression,0,0.9824561403508772,0.01109571108831009,2
1. Cancer,GaussianCopula,AdaBoost,0,0.9096491228070175,0.02419844600725213,2
1. Cancer,TVAE,Logistic Regression,0,0.9508771929824562,0.01626950613244861,2
1. Cancer,TabDDPM,SVM-RBF,0,0.6201754385964913,0.01180142460269623,2
1. Cancer,WGAN_GP,Logistic Regression,0,0.95,0.01712212394380976,2
8. Mushroom dataset,CTABGAN,Naive Bayes,0,0.5852172465456966,0.008408325472368545,2
8. Mushroom dataset,CTGAN,Gradient Boosting,0,0.5635508573331114,0.01652054540663991,2
8. Mushroom dataset,CopulaGAN,AdaBoost,0,0.5658814716164475,0.006043001484273743,2
8. Mushroom dataset,ForestDiffusion,Extra Trees,0,0.9139836857000165,0.005142112712232631,2
8. Mushroom dataset,GaussianCopula,Naive Bayes,0,0.6021807890794073,0.0192568835557357,2
8. Mushroom dataset,TVAE,Extra Trees,0,0.6247128350258032,0.006276701237646473,2
8. Mushroom dataset,TabDDPM,Naive Bayes,0,0.5128849675378724,0.0129711738548142,2
8. Mushroom dataset,WGAN_GP,MLP,0,0.7105626768769768,0.0113747135435117,2
