Classifier,Dataset,Best Generator,Accuracy
AdaBoost,Cancer,ForestDiffusion,0.977 ± 0.014
AdaBoost,Mushroom,WGAN_GP,0.662 ± 0.013
Decision Tree,Cancer,ForestDiffusion,0.918 ± 0.024
Decision Tree,Mushroom,ForestDiffusion,0.780 ± 0.024
Extra Trees,Cancer,ForestDiffusion,0.968 ± 0.020
Extra Trees,Mushroom,ForestDiffusion,0.914 ± 0.005
Gradient Boosting,Cancer,ForestDiffusion,0.973 ± 0.015
Gradient Boosting,Mushroom,ForestDiffusion,0.788 ± 0.012
KNN,Cancer,ForestDiffusion,0.953 ± 0.018
KNN,Mushroom,ForestDiffusion,0.855 ± 0.006
Logistic Regression,Cancer,ForestDiffusion,0.982 ± 0.011
Logistic Regression,Mushroom,ForestDiffusion,0.663 ± 0.006
MLP,Cancer,ForestDiffusion,0.971 ± 0.010
MLP,Mushroom,ForestDiffusion,0.837 ± 0.008
Naive Bayes,Cancer,WGAN_GP,0.931 ± 0.019
Naive Bayes,Mushroom,WGAN_GP,0.632 ± 0.006
Random Forest,Cancer,ForestDiffusion,0.969 ± 0.021
Random Forest,Mushroom,ForestDiffusion,0.887 ± 0.005
SVM-RBF,Cancer,ForestDiffusion,0.976 ± 0.014
SVM-RBF,Mushroom,ForestDiffusion,0.663 ± 0.006
