Dataset,Generator,Classifier,Leakage,Mean,Std,N
1. Cancer,ForestDiffusion,AdaBoost,0,0.9771929824561403,0.01370219241387132,2
1. Cancer,ForestDiffusion,Decision Tree,0,0.9184210526315789,0.02355389751245184,2
1. Cancer,ForestDiffusion,Extra Trees,0,0.968421052631579,0.02007986516185893,2
1. Cancer,ForestDiffusion,Gradient Boosting,0,0.9728070175438598,0.01491228070175439,2
1. Cancer,ForestDiffusion,KNN,0,0.9526315789473683,0.01848360307518024,2
1. Cancer,ForestDiffusion,Logistic Regression,0,0.9824561403508772,0.01109571108831009,2
1. Cancer,ForestDiffusion,MLP,0,0.9710526315789473,0.009649122807017537,2
1. Cancer,WGAN_GP,Naive Bayes,0,0.9307017543859649,0.01939767051534734,2
1. Cancer,ForestDiffusion,Random Forest,0,0.9692982456140351,0.0212164677586804,2
1. Cancer,ForestDiffusion,SVM-RBF,0,0.976315789473684,0.01417148633456448,2
8. Mushroom dataset,WGAN_GP,AdaBoost,0,0.661661395039121,0.01286158856582996,2
8. Mushroom dataset,ForestDiffusion,Decision Tree,0,0.7802896620609289,0.02365755075624813,2
8. Mushroom dataset,ForestDiffusion,Extra Trees,0,0.9139836857000165,0.005142112712232631,2
8. Mushroom dataset,ForestDiffusion,Gradient Boosting,0,0.7879473947061761,0.01187750298864832,2
8. Mushroom dataset,ForestDiffusion,KNN,0,0.8545446978525055,0.006035774246015561,2
8. Mushroom dataset,ForestDiffusion,Logistic Regression,0,0.6629432328949559,0.00567524574843845,2
8. Mushroom dataset,ForestDiffusion,MLP,0,0.8373064757782587,0.007921202748569733,2
8. Mushroom dataset,WGAN_GP,Naive Bayes,0,0.6315382054270019,0.006299948522068798,2
8. Mushroom dataset,ForestDiffusion,Random Forest,0,0.8865656733810553,0.005322147880907117,2
8. Mushroom dataset,ForestDiffusion,SVM-RBF,0,0.6626602297319792,0.005627384388638883,2
