Classifier,Mean_Accuracy,Std_Across,Seed_Std,CV,Rank
Random Forest,0.7014980968840446,0.19201464870083082,0.025413487009030105,0.2737208405179326,1
Extra Trees,0.695736151390629,0.2045564809974672,0.021905406632468795,0.2940144487081808,2
AdaBoost,0.6891367509104874,0.1830096657549836,0.02940004430148978,0.26556364250374287,3
Logistic Regression,0.6890552396473121,0.20436538668002155,0.016063036243268276,0.29658781316955735,4
Gradient Boosting,0.6884954760381894,0.18941134716962812,0.02586066615350964,0.2751090657262676,5
SVM-RBF,0.679945080520095,0.19528223819739635,0.01620417003805648,0.28720295769773574,6
Naive Bayes,0.6784073642884471,0.1930307694876255,0.024019814594236497,0.2845351917576652,7
MLP,0.6775050361566476,0.20216395130292011,0.026770539395076693,0.2983947579928798,8
KNN,0.6555311931401668,0.22270461365101898,0.020021723152329675,0.3397315276244984,9
Decision Tree,0.65416292468728,0.15271344140506418,0.042892036890754666,0.23344863434146507,10
