Classifier,Mean,Std,SeedStd,CV
Decision Tree,0.65416292468728,0.15271344140506418,0.04289203689075463,0.23344863434146507
KNN,0.6555311931401668,0.222704613651019,0.020021723152329626,0.33973152762449843
MLP,0.6775050361566476,0.2021639513029201,0.026770539395076644,0.29839475799287973
Naive Bayes,0.6784073642884472,0.19303076948762551,0.024019814594236463,0.2845351917576652
SVM-RBF,0.679945080520095,0.19528223819739637,0.016204170038056423,0.2872029576977358
Gradient Boosting,0.6884954760381894,0.18941134716962812,0.025860666153509595,0.2751090657262676
Logistic Regression,0.6890552396473121,0.20436538668002155,0.016063036243268238,0.29658781316955735
AdaBoost,0.6891367509104874,0.18300966575498362,0.02940004430148975,0.2655636425037429
Extra Trees,0.695736151390629,0.20455648099746718,0.021905406632468757,0.2940144487081807
Random Forest,0.7014980968840446,0.19201464870083085,0.025413487009030067,0.27372084051793266
