Dataset,Generator,Leakage,Mean,Std,Std_AcrossClassifiers,N_Classifiers
1. Cancer,CTABGAN,0,0.882719298245614,0.02284904814275754,0.045782508638041,10
1. Cancer,CTGAN,0,0.7193859649122807,0.036438680388859855,0.06736381410904786,10
1. Cancer,CopulaGAN,0,0.3592982456140351,0.06527766646913412,0.08944042496163658,10
1. Cancer,ForestDiffusion,0,0.9616666666666667,0.016791725843263657,0.021818626459659703,10
1. Cancer,GaussianCopula,0,0.860438596491228,0.030442056772083347,0.06516264084301722,10
1. Cancer,TVAE,0,0.9264035087719298,0.020360774558707672,0.019876374871547066,10
1. Cancer,TabDDPM,0,0.509561403508772,0.08507037469192234,0.11162963803743645,10
1. Cancer,WGAN_GP,0,0.9393859649122807,0.020402342223594196,0.013446795884199156,10
8. Mushroom dataset,CTABGAN,0,0.5512443815548527,0.013565487491428968,0.025848352252563916,10
8. Mushroom dataset,CTGAN,0,0.5428150491093724,0.01716168581389462,0.022482928820429002,10
8. Mushroom dataset,CopulaGAN,0,0.5521999334110206,0.011713408931477456,0.01263507307141203,10
8. Mushroom dataset,ForestDiffusion,0,0.7637214915931414,0.008653099958176489,0.11193431587462072,10
8. Mushroom dataset,GaussianCopula,0,0.5736340935575162,0.015147497096337403,0.019260288066312522,10
8. Mushroom dataset,TVAE,0,0.6034201764607958,0.007411489659552099,0.014399018637575828,10
8. Mushroom dataset,TabDDPM,0,0.48539370734143505,0.016407285086626457,0.021357248747607045,10
8. Mushroom dataset,WGAN_GP,0,0.663868819710338,0.009988855928536749,0.03429744579202165,10
