Dataset,Generator,Classifier,Leakage,Mean,Std,N,Mean_SD
1. Cancer,CTABGAN,AdaBoost,0,0.9260588300235681,0.02213408798097265,2,0.926 ± 0.022
1. Cancer,CTABGAN,Decision Tree,0,0.6794508269659855,0.07365746202200889,2,0.679 ± 0.074
1. Cancer,CTABGAN,Extra Trees,0,0.9070975390638433,0.03654131664813196,2,0.907 ± 0.037
1. Cancer,CTABGAN,Gradient Boosting,0,0.9271201677683877,0.05313421170876241,2,0.927 ± 0.053
1. Cancer,CTABGAN,KNN,0,0.9156654475332268,0.0527838012277689,2,0.916 ± 0.053
1. Cancer,CTABGAN,Logistic Regression,0,0.9284494994169916,0.04161343129989816,2,0.928 ± 0.042
1. Cancer,CTABGAN,MLP,0,0.8697537046623731,0.07912149066706596,2,0.870 ± 0.079
1. Cancer,CTABGAN,Naive Bayes,0,0.9144546083013576,0.03389474826699133,2,0.914 ± 0.034
1. Cancer,CTABGAN,Random Forest,0,0.9206922625825065,0.05312039008380935,2,0.921 ± 0.053
1. Cancer,CTABGAN,SVM-RBF,0,0.9094824920739555,0.03690452500346305,2,0.909 ± 0.037
1. Cancer,CTGAN,AdaBoost,0,0.5843282264066113,0.02594956660915364,2,0.584 ± 0.026
1. Cancer,CTGAN,Decision Tree,0,0.5140981364718435,0.05412269457356239,2,0.514 ± 0.054
1. Cancer,CTGAN,Extra Trees,0,0.5632094750718591,0.02550146867181092,2,0.563 ± 0.026
1. Cancer,CTGAN,Gradient Boosting,0,0.5599249455528891,0.04552000035223773,2,0.560 ± 0.046
1. Cancer,CTGAN,KNN,0,0.490045443189898,0.04018018602689914,2,0.490 ± 0.040
1. Cancer,CTGAN,Logistic Regression,0,0.6535649630917597,0.01919003519494301,2,0.654 ± 0.019
1. Cancer,CTGAN,MLP,0,0.5813814731916255,0.06881605869648902,2,0.581 ± 0.069
1. Cancer,CTGAN,Naive Bayes,0,0.7650298077911399,0.04849160121861332,2,0.765 ± 0.048
1. Cancer,CTGAN,Random Forest,0,0.5773425885958766,0.02596342085199856,2,0.577 ± 0.026
1. Cancer,CTGAN,SVM-RBF,0,0.5973837425749331,0.02711103869198211,2,0.597 ± 0.027
1. Cancer,CopulaGAN,AdaBoost,0,0.40156576742601,0.06687363753559306,2,0.402 ± 0.067
1. Cancer,CopulaGAN,Decision Tree,0,0.3755289426952128,0.113279749606878,2,0.376 ± 0.113
1. Cancer,CopulaGAN,Extra Trees,0,0.299012460924504,0.04786760332872306,2,0.299 ± 0.048
1. Cancer,CopulaGAN,Gradient Boosting,0,0.3082748940337974,0.05739376069790951,2,0.308 ± 0.057
1. Cancer,CopulaGAN,KNN,0,0.3356790936398785,0.03023147027119576,2,0.336 ± 0.030
1. Cancer,CopulaGAN,Logistic Regression,0,0.284463618381962,0.02735704074753571,2,0.284 ± 0.027
1. Cancer,CopulaGAN,MLP,0,0.2346004713560841,0.05987976719583476,2,0.235 ± 0.060
1. Cancer,CopulaGAN,Naive Bayes,0,0.3329675819725071,0.02410520935186833,2,0.333 ± 0.024
1. Cancer,CopulaGAN,Random Forest,0,0.3220137555784127,0.045904894901459,2,0.322 ± 0.046
1. Cancer,CopulaGAN,SVM-RBF,0,0.2669488463176923,0.04830223231252203,2,0.267 ± 0.048
1. Cancer,ForestDiffusion,AdaBoost,0,0.9863465053255183,0.02678203181220571,2,0.986 ± 0.027
1. Cancer,ForestDiffusion,Decision Tree,0,0.8978543785778763,0.02583052328885385,2,0.898 ± 0.026
1. Cancer,ForestDiffusion,Extra Trees,0,0.9922331947331948,0.01187303560728529,2,0.992 ± 0.012
1. Cancer,ForestDiffusion,Gradient Boosting,0,0.9852313711107037,0.01627142953979377,2,0.985 ± 0.016
1. Cancer,ForestDiffusion,KNN,0,0.9629047211524746,0.02270577718504238,2,0.963 ± 0.023
1. Cancer,ForestDiffusion,Logistic Regression,0,1.0,0.0,2,1.000 ± 0.000
1. Cancer,ForestDiffusion,MLP,0,0.9804149915125524,0.01447747124608494,2,0.980 ± 0.014
1. Cancer,ForestDiffusion,Naive Bayes,0,0.9197667999268523,0.03384720557007491,2,0.920 ± 0.034
1. Cancer,ForestDiffusion,Random Forest,0,0.9898962148962148,0.01635779965675632,2,0.990 ± 0.016
1. Cancer,ForestDiffusion,SVM-RBF,0,0.9876768962744572,0.012330996557035,2,0.988 ± 0.012
1. Cancer,GaussianCopula,AdaBoost,0,0.956769999865975,0.04165631473303781,2,0.957 ± 0.042
1. Cancer,GaussianCopula,Decision Tree,0,0.6265896330422591,0.0814976126745347,2,0.627 ± 0.081
1. Cancer,GaussianCopula,Extra Trees,0,0.9914149443561208,0.01858396082187912,2,0.991 ± 0.019
1. Cancer,GaussianCopula,Gradient Boosting,0,0.9097077886163876,0.06531936407122503,2,0.910 ± 0.065
1. Cancer,GaussianCopula,KNN,0,0.8566271652339095,0.04131172038634959,2,0.857 ± 0.041
1. Cancer,GaussianCopula,Logistic Regression,0,1.0,0.0,2,1.000 ± 0.000
1. Cancer,GaussianCopula,MLP,0,0.7042084184757755,0.08661714079369971,2,0.704 ± 0.087
1. Cancer,GaussianCopula,Naive Bayes,0,0.953028566273348,0.02539462361948373,2,0.953 ± 0.025
1. Cancer,GaussianCopula,Random Forest,0,0.9843932411674347,0.02512891577573856,2,0.984 ± 0.025
1. Cancer,GaussianCopula,SVM-RBF,0,0.9823277842743916,0.01773883868041842,2,0.982 ± 0.018
1. Cancer,TVAE,AdaBoost,0,0.8795536196577732,0.05318306563608498,2,0.880 ± 0.053
1. Cancer,TVAE,Decision Tree,0,0.809844675532181,0.05563070655071129,2,0.810 ± 0.056
1. Cancer,TVAE,Extra Trees,0,0.9209321690653983,0.03016871953040859,2,0.921 ± 0.030
1. Cancer,TVAE,Gradient Boosting,0,0.8692762521847348,0.04161638397144202,2,0.869 ± 0.042
1. Cancer,TVAE,KNN,0,0.9356775422606691,0.03601643338690418,2,0.936 ± 0.036
1. Cancer,TVAE,Logistic Regression,0,0.9200017570368066,0.04364250546674514,2,0.920 ± 0.044
1. Cancer,TVAE,MLP,0,0.9064603150404279,0.03159454285352053,2,0.906 ± 0.032
1. Cancer,TVAE,Naive Bayes,0,0.8460551560241003,0.03169416111012167,2,0.846 ± 0.032
1. Cancer,TVAE,Random Forest,0,0.8902658325683648,0.04986619470062876,2,0.890 ± 0.050
1. Cancer,TVAE,SVM-RBF,0,0.8345596660379948,0.04725014894563535,2,0.835 ± 0.047
1. Cancer,TabDDPM,AdaBoost,0,0.2335035329956178,0.148882868564449,2,0.234 ± 0.149
1. Cancer,TabDDPM,Decision Tree,0,0.4396350737987798,0.2910058971043988,2,0.440 ± 0.291
1. Cancer,TabDDPM,Extra Trees,0,0.3243782235690841,0.1642406833448471,2,0.324 ± 0.164
1. Cancer,TabDDPM,Gradient Boosting,0,0.2282723080529925,0.1348921083276809,2,0.228 ± 0.135
1. Cancer,TabDDPM,KNN,0,0.1922113003836073,0.05803416152747305,2,0.192 ± 0.058
1. Cancer,TabDDPM,Logistic Regression,0,0.2006043956043956,0.2141647391838054,2,0.201 ± 0.214
1. Cancer,TabDDPM,MLP,0,0.4808717666768089,0.1091607732246943,2,0.481 ± 0.109
1. Cancer,TabDDPM,Naive Bayes,0,0.4660965354317902,0.1892559003672637,2,0.466 ± 0.189
1. Cancer,TabDDPM,Random Forest,0,0.2912863285918314,0.1605199568717095,2,0.291 ± 0.161
1. Cancer,TabDDPM,SVM-RBF,0,0.07045454545454546,0.1481462589793842,2,0.070 ± 0.148
1. Cancer,WGAN_GP,AdaBoost,0,0.9793628779155095,0.02523572413394183,2,0.979 ± 0.025
1. Cancer,WGAN_GP,Decision Tree,0,0.9169743599380954,0.03884758635856884,2,0.917 ± 0.039
1. Cancer,WGAN_GP,Extra Trees,0,0.9944401544401543,0.01112505233263443,2,0.994 ± 0.011
1. Cancer,WGAN_GP,Gradient Boosting,0,0.9764416081111694,0.02364858104787009,2,0.976 ± 0.024
1. Cancer,WGAN_GP,KNN,0,0.9815181347217141,0.02329254802784783,2,0.982 ± 0.023
1. Cancer,WGAN_GP,Logistic Regression,0,0.9644431826909361,0.02273768898719954,2,0.964 ± 0.023
1. Cancer,WGAN_GP,MLP,0,0.9660563571089886,0.02372491686989932,2,0.966 ± 0.024
1. Cancer,WGAN_GP,Naive Bayes,0,0.9401205581411529,0.03466566396915662,2,0.940 ± 0.035
1. Cancer,WGAN_GP,Random Forest,0,0.9941176470588236,0.01176470588235294,2,0.994 ± 0.012
1. Cancer,WGAN_GP,SVM-RBF,0,0.9915788327526134,0.01295612770139332,2,0.992 ± 0.013
2. Alzhimers,CTABGAN,AdaBoost,0,0.9364750529456412,0.06133139083425415,2,0.936 ± 0.061
2. Alzhimers,CTABGAN,Decision Tree,0,0.5560954243860923,0.09854104951555691,2,0.556 ± 0.099
2. Alzhimers,CTABGAN,Extra Trees,0,0.9718770833476716,0.03929594318191651,2,0.972 ± 0.039
2. Alzhimers,CTABGAN,Gradient Boosting,0,0.7654182622118242,0.1517815597973434,2,0.765 ± 0.152
2. Alzhimers,CTABGAN,KNN,0,0.8316946230360864,0.03886378008300939,2,0.832 ± 0.039
2. Alzhimers,CTABGAN,Logistic Regression,0,0.9376137601369801,0.01943566724625559,2,0.938 ± 0.019
2. Alzhimers,CTABGAN,MLP,0,0.763915935323258,0.04805154810933576,2,0.764 ± 0.048
2. Alzhimers,CTABGAN,Naive Bayes,0,0.9577807115718521,0.03998788000334042,2,0.958 ± 0.040
2. Alzhimers,CTABGAN,Random Forest,0,0.9101104720044475,0.05226324562378084,2,0.910 ± 0.052
2. Alzhimers,CTABGAN,SVM-RBF,0,0.932120617687568,0.02163976850749751,2,0.932 ± 0.022
2. Alzhimers,CTGAN,AdaBoost,0,0.5107888949242134,0.04077900772376555,2,0.511 ± 0.041
2. Alzhimers,CTGAN,Decision Tree,0,0.4955138176377106,0.1093015963194327,2,0.496 ± 0.109
2. Alzhimers,CTGAN,Extra Trees,0,0.5625831727753657,0.04816435240871182,2,0.563 ± 0.048
2. Alzhimers,CTGAN,Gradient Boosting,0,0.5232822792262817,0.05111733200307215,2,0.523 ± 0.051
2. Alzhimers,CTGAN,KNN,0,0.5707396063591972,0.0480391569315745,2,0.571 ± 0.048
2. Alzhimers,CTGAN,Logistic Regression,0,0.5848981472942947,0.02928840166197615,2,0.585 ± 0.029
2. Alzhimers,CTGAN,MLP,0,0.5498791205013553,0.06486285558534212,2,0.550 ± 0.065
2. Alzhimers,CTGAN,Naive Bayes,0,0.584239516764378,0.03486085099415039,2,0.584 ± 0.035
2. Alzhimers,CTGAN,Random Forest,0,0.5173922540220804,0.03517066118974452,2,0.517 ± 0.035
2. Alzhimers,CTGAN,SVM-RBF,0,0.5761241190321217,0.04259990267184069,2,0.576 ± 0.043
2. Alzhimers,CopulaGAN,AdaBoost,0,0.5963059440559441,0.04557070168738021,2,0.596 ± 0.046
2. Alzhimers,CopulaGAN,Decision Tree,0,0.5409123457187973,0.08415508984567743,2,0.541 ± 0.084
2. Alzhimers,CopulaGAN,Extra Trees,0,0.5157761540387684,0.08031555965479942,2,0.516 ± 0.080
2. Alzhimers,CopulaGAN,Gradient Boosting,0,0.5671414069801166,0.04541707167982553,2,0.567 ± 0.045
2. Alzhimers,CopulaGAN,KNN,0,0.4468590665588638,0.05626514815062895,2,0.447 ± 0.056
2. Alzhimers,CopulaGAN,Logistic Regression,0,0.6686308986712213,0.1033039546889078,2,0.669 ± 0.103
2. Alzhimers,CopulaGAN,MLP,0,0.4741345512373779,0.06722266273343494,2,0.474 ± 0.067
2. Alzhimers,CopulaGAN,Naive Bayes,0,0.7285913101864337,0.09222943714870714,2,0.729 ± 0.092
2. Alzhimers,CopulaGAN,Random Forest,0,0.5909000012715182,0.1063301025294315,2,0.591 ± 0.106
2. Alzhimers,CopulaGAN,SVM-RBF,0,0.5174675026690786,0.08379147975185122,2,0.517 ± 0.084
2. Alzhimers,ForestDiffusion,AdaBoost,0,0.9835374073764166,0.01788472955671827,2,0.984 ± 0.018
2. Alzhimers,ForestDiffusion,Decision Tree,0,0.9219388885874954,0.03039795167188453,2,0.922 ± 0.030
2. Alzhimers,ForestDiffusion,Extra Trees,0,0.9860274560274561,0.01397856672567184,2,0.986 ± 0.014
2. Alzhimers,ForestDiffusion,Gradient Boosting,0,0.9887212001917887,0.01382508701882397,2,0.989 ± 0.014
2. Alzhimers,ForestDiffusion,KNN,0,0.9881840449582384,0.01452403234957743,2,0.988 ± 0.015
2. Alzhimers,ForestDiffusion,Logistic Regression,0,0.9886418351124234,0.01392151593083359,2,0.989 ± 0.014
