Dataset,Generator,Classifier,Leakage,Mean,Std,N,Mean_SD
1. Cancer,CTABGAN,AdaBoost,0,0.7976190476190477,0.05558389299966074,2,0.798 ± 0.056
1. Cancer,CTABGAN,Decision Tree,0,0.6642857142857144,0.0642857142857143,2,0.664 ± 0.064
1. Cancer,CTABGAN,Extra Trees,0,0.8333333333333334,0.04517539514526257,2,0.833 ± 0.045
1. Cancer,CTABGAN,Gradient Boosting,0,0.7904761904761904,0.04738035414793427,2,0.790 ± 0.047
1. Cancer,CTABGAN,KNN,0,0.7880952380952381,0.04185332340773083,2,0.788 ± 0.042
1. Cancer,CTABGAN,Logistic Regression,0,0.8285714285714285,0.05614202915500762,2,0.829 ± 0.056
1. Cancer,CTABGAN,MLP,0,0.7547619047619047,0.05112121560377116,2,0.755 ± 0.051
1. Cancer,CTABGAN,Naive Bayes,0,0.7761904761904763,0.04902681019517618,2,0.776 ± 0.049
1. Cancer,CTABGAN,Random Forest,0,0.8166666666666667,0.04265826873135455,2,0.817 ± 0.043
1. Cancer,CTABGAN,SVM-RBF,0,0.8,0.04902681019517619,2,0.800 ± 0.049
1. Cancer,CTGAN,AdaBoost,0,0.9,0.07438333024673004,2,0.900 ± 0.074
1. Cancer,CTGAN,Decision Tree,0,0.6666666666666667,0.1456084271563872,2,0.667 ± 0.146
1. Cancer,CTGAN,Extra Trees,0,0.880952380952381,0.05323971374999498,2,0.881 ± 0.053
1. Cancer,CTGAN,Gradient Boosting,0,0.8738095238095237,0.05639390134441432,2,0.874 ± 0.056
1. Cancer,CTGAN,KNN,0,0.8666666666666666,0.06042179781166439,2,0.867 ± 0.060
1. Cancer,CTGAN,Logistic Regression,0,0.9261904761904762,0.03095238095238095,2,0.926 ± 0.031
1. Cancer,CTGAN,MLP,0,0.95,0.0457366016959489,2,0.950 ± 0.046
1. Cancer,CTGAN,Naive Bayes,0,0.8690476190476192,0.04158154570612614,2,0.869 ± 0.042
1. Cancer,CTGAN,Random Forest,0,0.8571428571428571,0.05532833351724881,2,0.857 ± 0.055
1. Cancer,CTGAN,SVM-RBF,0,0.8642857142857144,0.03021089890583218,2,0.864 ± 0.030
1. Cancer,CopulaGAN,AdaBoost,0,0.7595238095238095,0.1252887820659321,2,0.760 ± 0.125
1. Cancer,CopulaGAN,Decision Tree,0,0.5428571428571429,0.1942483624225823,2,0.543 ± 0.194
1. Cancer,CopulaGAN,Extra Trees,0,0.5833333333333333,0.130083698853788,2,0.583 ± 0.130
1. Cancer,CopulaGAN,Gradient Boosting,0,0.5404761904761904,0.150979417737978,2,0.540 ± 0.151
1. Cancer,CopulaGAN,KNN,0,0.8,0.08597842897746566,2,0.800 ± 0.086
1. Cancer,CopulaGAN,Logistic Regression,0,0.6666666666666667,0.09464098530643712,2,0.667 ± 0.095
1. Cancer,CopulaGAN,MLP,0,0.480952380952381,0.1560568534111804,2,0.481 ± 0.156
1. Cancer,CopulaGAN,Naive Bayes,0,0.7785714285714286,0.07457361792078966,2,0.779 ± 0.075
