Dataset,Generator,Classifier,Leakage,Mean,Std,N
1. Cancer,CTABGAN,AdaBoost,0,0.855874530926555,0.03178999432699447,2
1. Cancer,CTABGAN,Decision Tree,0,0.6693514026531157,0.05402161785621416,2
1. Cancer,CTABGAN,Extra Trees,0,0.8670785594154807,0.01825087246674648,2
1. Cancer,CTABGAN,Gradient Boosting,0,0.8522313061703468,0.03857736646535725,2
1. Cancer,CTABGAN,KNN,0,0.8454105927840614,0.0277253445241511,2
1. Cancer,CTABGAN,Logistic Regression,0,0.8737410603599367,0.0285457022292561,2
1. Cancer,CTABGAN,MLP,0,0.804117565368548,0.02963523974201991,2
1. Cancer,CTABGAN,Naive Bayes,0,0.8385081659348002,0.03058070449053411,2
1. Cancer,CTABGAN,Random Forest,0,0.8640459619422799,0.03145715180130354,2
1. Cancer,CTABGAN,SVM-RBF,0,0.8501734642388644,0.03347126121661525,2
1. Cancer,CTGAN,AdaBoost,0,0.7066383070371282,0.02622587045779307,2
1. Cancer,CTGAN,Decision Tree,0,0.5725381460270876,0.07484603595573021,2
1. Cancer,CTGAN,Extra Trees,0,0.6863330842765026,0.02683187254311334,2
1. Cancer,CTGAN,Gradient Boosting,0,0.6803525981791595,0.03538217252110418,2
1. Cancer,CTGAN,KNN,0,0.6243262154795239,0.03597395730127182,2
1. Cancer,CTGAN,Logistic Regression,0,0.7657846423459664,0.01159782677494995,2
1. Cancer,CTGAN,MLP,0,0.7178685882670924,0.04862817078019972,2
1. Cancer,CTGAN,Naive Bayes,0,0.8124915287949535,0.03406757728491355,2
1. Cancer,CTGAN,Random Forest,0,0.6893646786324237,0.03071131504379913,2
1. Cancer,CTGAN,SVM-RBF,0,0.7058459078385154,0.020234272079634,2
1. Cancer,CopulaGAN,AdaBoost,0,0.519801058330466,0.06901698133998511,2
1. Cancer,CopulaGAN,Decision Tree,0,0.4336614094883392,0.1278834023662402,2
1. Cancer,CopulaGAN,Extra Trees,0,0.3942774400600938,0.06988236591030123,2
1. Cancer,CopulaGAN,Gradient Boosting,0,0.3896629562003324,0.08159356725323165,2
1. Cancer,CopulaGAN,KNN,0,0.4727259627656144,0.04407537185753434,2
1. Cancer,CopulaGAN,Logistic Regression,0,0.3985670877139814,0.04376900515437522,2
1. Cancer,CopulaGAN,MLP,0,0.3148359078246065,0.08735914276020076,2
1. Cancer,CopulaGAN,Naive Bayes,0,0.4662794326323761,0.03639025421877407,2
