Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,TaskType,Category,MetricValue,SourceFile
1. Cancer,CTGAN,,utility,Accuracy,0.9789473684210526,0.9789473684210526,0.009768007654087744,Logistic Regression,,,0,0.0,100,TRTR,classification,Utility,0.9789473684210526,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.7912280701754387,0.7912280701754387,0.0128920512778062,Logistic Regression,,,0,0.0,100,TSTR,classification,Utility,0.7912280701754387,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Gap,0.18771929824561384,0.18771929824561384,0.0128920512778062,Logistic Regression,,,0,0.0,100,Gap,classification,Utility,0.7912280701754387,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.9707868770215718,0.9707868770215718,0.0137941861874265,Logistic Regression,,,0,0.0,100,TRTR,classification,Utility,0.9707868770215718,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.7657846423459664,0.7657846423459664,0.01159782677494995,Logistic Regression,,,0,0.0,100,TSTR,classification,Utility,0.7657846423459664,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Gap,0.2050022346756054,0.2050022346756054,0.01159782677494995,Logistic Regression,,,0,0.0,100,Gap,classification,Utility,0.7657846423459664,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.9901768962744573,0.9901768962744573,0.01203823054760635,Logistic Regression,,,0,0.0,100,TRTR,classification,Utility,0.9901768962744573,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.6535649630917597,0.6535649630917597,0.01919003519494301,Logistic Regression,,,0,0.0,100,TSTR,classification,Utility,0.6535649630917597,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.9523809523809523,0.9523809523809523,0.02129588549999798,Logistic Regression,,,0,0.0,100,TRTR,classification,Utility,0.9523809523809523,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.9261904761904762,0.9261904761904762,0.03095238095238095,Logistic Regression,,,0,0.0,100,TSTR,classification,Utility,0.9261904761904762,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Drop,0.1877192982456138,0.1877192982456138,,Logistic Regression,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Drop,0.2050022346756054,0.2050022346756054,,Logistic Regression,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision_Drop,0.3366119331826976,0.3366119331826976,,Logistic Regression,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall_Drop,0.0261904761904761,0.0261904761904761,,Logistic Regression,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
