Classifier,Mean_Utility_Loss,Mean_Drop_Pct,Std_Loss,Least_Affected_Rank
Naive Bayes,0.09249858169854469,10.886868642581101,0.17198817779629993,1
AdaBoost,0.12070731989579406,14.183212779569537,0.1574798865302541,2
Logistic Regression,0.12705403637276974,14.744453313224675,0.1831041943164514,3
SVM-RBF,0.1312676055566751,15.26690081698652,0.17988840942221973,4
Gradient Boosting,0.20195229104056964,22.963489920452442,0.16742071293318425,5
Random Forest,0.27958815044728524,28.289730395783884,0.20243184249441187,6
Decision Tree,0.2849224698378209,30.30187808848908,0.1550478005783107,7
Extra Trees,0.28934324428517605,29.23295759605206,0.21127081223603061,8
MLP,0.3096757821284524,31.2593498352133,0.20760784518370093,9
KNN,0.3252970218955079,33.023939080248276,0.22886450304937908,10
