Dataset,Classifier,Leakage,Mean,Std,Std_AcrossGenerators,N_Generators
1. Cancer,AdaBoost,0,0.7935307017543859,0.04717811318344154,0.20845943288340443,8
1. Cancer,Decision Tree,0,0.7364035087719298,0.06029828904637854,0.16065671190235764,8
1. Cancer,Extra Trees,0,0.7760964912280701,0.03211350969739414,0.23543523019006873,8
1. Cancer,Gradient Boosting,0,0.775438596491228,0.03910557008482373,0.22537349244736002,8
1. Cancer,KNN,0,0.7165570175438596,0.03053086994124183,0.28796463862060845,8
1. Cancer,Logistic Regression,0,0.7941885964912281,0.023114284713027546,0.24859095399071757,8
1. Cancer,MLP,0,0.7540570175438597,0.04145479589262459,0.2452449507137535,8
1. Cancer,Naive Bayes,0,0.7814692982456141,0.037457189013910555,0.232785002868673,8
1. Cancer,Random Forest,0,0.7945175438596491,0.03728674768166901,0.20414716545401076,8
1. Cancer,SVM-RBF,0,0.7763157894736842,0.023501467108391946,0.2410286256848085,8
8. Mushroom dataset,AdaBoost,0,0.584742800066589,0.011621975419538022,0.05834768782907628,8
8. Mushroom dataset,Decision Tree,0,0.5719223406026303,0.025485784735130797,0.09329726339760913,8
8. Mushroom dataset,Extra Trees,0,0.615375811553188,0.01169730356754345,0.1395490328409074,8
8. Mushroom dataset,Gradient Boosting,0,0.6015523555851506,0.01261576222219555,0.09384767274530831,8
8. Mushroom dataset,KNN,0,0.5945053687364741,0.00951257636341752,0.12183614438138714,8
8. Mushroom dataset,Logistic Regression,0,0.5839218828033961,0.009011787773509009,0.04934943726802135,8
8. Mushroom dataset,MLP,0,0.6009530547694356,0.012086282897528802,0.11848752404070309,8
8. Mushroom dataset,Naive Bayes,0,0.5753454303312802,0.010582440174562441,0.03711559340171986,8
8. Mushroom dataset,Random Forest,0,0.6084786499084401,0.013540226336391199,0.1324872195156114,8
8. Mushroom dataset,SVM-RBF,0,0.5835743715665057,0.008906872967721009,0.0489411933223927,8
