age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
51,0,223206,10,16,2,8,0,1,1,15024,0,40,26,2
39,2,176335,12,14,2,2,0,4,1,7688,0,65,25,2
63,2,236338,11,9,2,10,5,4,0,0,0,35,25,0
44,2,118484,14,15,2,2,0,4,1,0,0,80,25,1
60,2,215591,11,9,2,12,0,4,1,0,0,50,25,1
40,2,246862,9,13,6,2,1,4,0,0,0,8,25,1
35,2,115792,9,13,2,8,0,4,1,0,0,55,25,0
68,2,214521,14,15,6,8,4,4,0,0,0,16,25,0
63,2,102479,9,13,0,2,1,4,0,0,0,40,25,0
56,2,229116,15,10,4,6,1,4,1,0,0,32,25,1
35,2,111128,9,13,2,2,0,4,1,15024,0,65,25,3
64,2,260082,3,2,2,5,0,4,1,0,0,40,3,1
19,2,376540,11,9,4,0,1,4,0,0,0,30,25,0
37,2,112264,11,9,2,12,0,4,1,0,0,40,25,1
20,2,246250,15,10,4,1,1,4,0,0,0,40,25,0
28,2,282398,15,10,0,1,1,4,1,0,0,35,25,1
34,2,106014,15,10,0,1,1,4,1,0,0,60,25,0
26,2,282304,15,10,4,10,1,4,1,0,0,45,25,0
46,2,325372,15,10,2,2,0,4,1,0,0,40,25,0
55,2,117477,1,7,3,6,4,2,0,0,0,40,16,1
53,4,321865,14,15,0,8,1,4,1,0,0,60,25,2
22,2,157783,11,9,2,6,0,1,1,0,0,35,26,1
24,2,403671,11,9,2,1,0,4,1,0,0,60,25,0
52,0,23780,15,10,0,0,1,4,1,0,0,40,25,0
24,2,91999,7,12,4,2,1,4,1,0,0,20,25,0
20,2,63210,11,9,4,4,3,4,1,0,0,15,25,0
63,2,318763,15,10,0,1,4,4,1,0,0,22,25,0
24,2,200997,11,9,4,4,3,4,1,0,0,45,25,0
22,2,255575,11,9,4,6,1,4,0,0,0,35,25,1
56,2,442116,15,10,2,2,0,4,1,0,0,54,25,3
33,2,405913,15,10,2,8,0,4,1,0,0,40,19,2
41,2,206565,15,10,4,1,1,2,1,0,0,45,25,0
48,2,185079,11,9,4,2,1,4,0,0,0,50,25,0
35,2,211494,9,13,4,8,1,4,1,8614,0,40,25,3
46,2,191357,9,13,2,11,0,4,1,0,0,40,25,0
33,2,179758,11,9,2,10,5,4,0,0,0,20,25,0
38,2,58108,9,13,2,2,0,4,1,0,0,50,25,2
55,2,52953,11,9,0,6,4,4,0,0,0,40,25,0
65,2,209831,8,11,2,0,5,4,0,0,0,40,25,0
30,2,236861,11,9,4,2,1,4,1,0,1876,45,25,0
23,2,181820,15,10,4,3,4,4,1,0,0,45,25,0
47,0,168109,11,9,2,0,0,4,1,0,0,70,25,0
52,4,34973,11,9,2,3,0,4,1,0,1887,60,25,2
54,2,140359,5,4,0,5,4,4,0,0,3900,40,25,0
42,2,344624,11,9,2,12,0,4,1,0,1902,50,25,2
50,2,158948,11,9,2,8,0,4,1,0,0,84,25,1
37,2,181705,8,11,2,1,0,4,1,0,0,40,25,0
27,2,357348,11,9,5,6,4,4,0,0,0,50,25,0
38,2,340763,11,9,4,0,1,2,1,0,2339,47,25,1
40,2,183404,15,10,5,6,4,4,0,0,0,8,25,0
24,2,395297,15,10,4,6,4,4,0,0,0,30,17,1
38,0,68840,15,10,2,2,0,4,1,0,0,40,25,3
38,2,95336,9,13,2,1,0,4,1,0,0,45,25,1
57,2,161944,15,10,2,8,0,4,1,7688,0,60,25,3
38,2,372525,12,14,2,2,0,4,1,15024,0,45,25,3
22,1,212213,15,10,4,0,3,2,0,0,0,40,25,1
34,2,113838,15,10,2,1,0,4,1,0,0,45,25,0
21,2,154964,11,9,0,5,2,2,0,0,0,40,25,1
32,1,287229,15,10,0,6,1,4,0,0,0,30,17,1
23,2,172232,11,9,4,11,3,4,1,0,0,50,25,0
23,2,47218,15,10,4,0,2,4,0,0,0,40,25,1
43,2,242804,11,9,5,4,1,4,1,0,0,40,25,0
33,2,130057,7,12,4,1,1,4,1,0,0,45,25,0
34,1,209213,9,13,4,8,2,2,1,0,0,15,25,0
39,2,389279,8,11,0,2,4,4,0,0,0,40,25,1
43,0,101709,15,10,0,4,1,1,1,0,0,40,25,0
17,3,183784,0,6,4,10,3,4,1,0,0,15,25,0
30,5,45737,15,10,4,0,1,4,0,0,0,40,25,1
62,1,114060,11,9,2,12,0,4,1,0,0,40,25,0
22,2,355686,15,10,4,0,1,4,0,0,0,40,25,0
47,2,165229,2,8,2,0,0,4,1,0,0,40,25,1
25,2,160445,11,9,0,1,1,4,1,0,0,40,25,0
34,2,134737,9,13,4,10,3,4,1,0,0,40,25,2
21,2,305874,15,10,2,1,0,4,1,0,0,54,25,0
41,2,118001,1,7,4,5,1,2,1,0,0,40,25,1
42,2,52849,15,10,2,5,0,4,1,0,0,40,25,0
40,4,107762,9,13,2,2,0,4,1,0,0,45,25,0
42,2,197344,11,9,2,6,0,4,1,0,0,45,25,1
41,4,264663,1,7,0,6,1,4,0,0,0,40,25,1
57,4,98466,11,9,2,0,5,4,0,0,0,16,25,1
22,5,52262,9,13,2,8,0,4,1,0,0,20,6,1
22,2,39803,15,10,4,2,3,4,1,0,0,40,25,0
36,2,256636,11,9,0,2,1,4,1,0,0,40,25,0
61,2,56009,15,10,2,10,0,4,1,0,0,40,25,0
58,1,205267,9,13,2,8,5,4,0,0,0,40,25,2
36,4,343721,10,16,4,8,1,4,1,0,0,30,25,2
32,2,29312,11,9,2,12,0,4,1,0,0,40,25,1
34,2,296724,15,10,4,2,1,4,0,0,0,17,25,0
18,2,25837,1,7,4,2,3,4,1,0,0,72,25,0
37,2,126708,11,9,2,0,5,4,0,0,0,60,25,0
51,0,72436,11,9,2,2,0,4,1,0,0,57,25,2
32,1,84119,11,9,2,1,0,4,1,0,0,40,25,0
29,2,133292,15,10,4,0,3,2,1,0,0,40,25,1
22,2,107801,8,11,4,0,3,4,0,0,0,40,25,0
28,2,195520,8,11,4,0,2,4,1,0,0,40,14,1
34,2,186346,11,9,5,6,1,4,0,0,0,40,25,0
26,2,181666,7,12,2,0,3,4,0,0,0,40,25,0
74,3,167537,15,10,2,2,0,4,1,0,0,35,25,2
22,2,95647,1,7,4,12,3,1,1,0,0,40,20,1
40,1,26671,9,13,0,8,4,0,0,0,0,40,25,1
61,2,423297,10,16,2,8,0,4,1,0,0,40,25,2
51,2,326005,11,9,2,2,0,4,1,0,0,40,6,3
22,2,150175,15,10,4,0,3,4,0,0,0,20,25,0
50,2,247425,11,9,0,0,1,2,0,0,0,40,25,1
40,2,186916,9,13,2,8,0,4,1,0,0,40,25,0
37,2,159917,6,5,5,6,4,4,0,0,0,25,25,1
35,2,183898,8,11,2,2,0,4,1,7298,0,50,25,2
19,2,201178,11,9,4,10,1,4,0,0,0,30,25,0
29,2,209934,4,3,2,6,0,4,1,0,0,40,18,0
48,2,218676,11,9,2,10,0,4,1,0,0,40,25,1
33,2,154227,8,11,0,10,1,4,1,0,0,40,25,0
32,2,353994,9,13,2,2,2,1,0,0,0,40,1,2
34,2,124569,15,10,0,0,1,4,0,0,0,40,25,0
32,2,244268,1,7,2,1,0,4,1,0,1672,48,25,1
40,2,197923,9,13,4,0,4,2,0,2977,0,40,25,0
35,2,202263,7,12,4,2,1,4,1,0,0,38,25,1
28,2,338409,9,13,2,8,5,2,0,0,0,40,3,0
43,1,153132,12,14,2,8,0,4,1,15024,0,40,25,2
39,2,322143,2,8,2,12,0,4,1,15024,0,70,25,2
25,2,161027,11,9,4,10,3,4,1,0,0,40,25,1
51,1,230767,7,12,4,0,1,4,1,0,0,38,3,1
37,2,175759,9,13,2,11,0,4,1,0,0,40,25,2
20,2,178390,15,10,4,6,3,4,1,0,0,30,25,1
26,0,85482,11,9,4,0,1,1,1,0,0,40,25,0
64,4,219661,14,15,2,8,0,4,1,0,0,9,25,2
32,2,53206,9,13,0,1,1,4,1,0,0,50,25,2
19,2,179707,15,10,4,0,3,4,1,0,0,30,25,1
41,2,212027,1,7,2,1,0,2,1,0,0,40,25,1
56,2,425497,7,12,2,2,0,4,1,0,0,20,25,0
37,2,254773,15,10,2,2,0,4,1,0,0,40,25,1
43,5,24763,12,14,2,8,0,4,1,0,1887,45,25,2
36,2,295706,12,14,2,2,0,4,1,0,0,70,25,3
60,2,175273,11,9,6,5,4,4,0,0,0,40,25,0
40,2,178417,11,9,2,1,0,4,1,0,0,35,25,0
52,1,192853,11,9,2,12,0,3,1,0,0,40,16,3
18,2,154583,1,7,4,10,3,4,0,0,0,16,25,1
51,2,108435,2,8,4,6,3,4,1,0,0,40,25,1
26,2,66692,15,10,0,0,1,4,0,0,0,40,25,1
45,2,82797,9,13,2,2,0,4,1,0,0,45,25,2
65,6,27012,5,4,6,3,4,4,0,0,0,50,25,0
37,2,162322,8,11,5,1,1,4,0,0,0,40,25,1
61,2,208919,12,14,2,10,0,4,1,0,0,60,25,2
41,2,174540,15,10,2,8,0,2,1,0,0,4,25,0
21,2,349365,15,10,4,0,3,4,0,0,0,15,25,0
34,2,176673,15,10,4,10,2,2,0,0,0,35,25,0
28,3,37088,9,13,4,10,1,4,1,0,0,50,25,0
36,2,108103,11,9,2,6,0,4,1,0,0,50,25,0
49,2,144514,11,9,2,0,0,4,1,0,0,40,25,1
59,3,122390,15,10,2,2,0,4,1,0,1977,48,25,2
28,2,183151,11,9,2,1,0,4,1,0,0,50,25,0
38,2,239397,5,4,2,1,0,4,1,0,0,36,18,0
40,2,202872,7,12,4,0,3,4,0,0,0,45,25,0
39,2,33487,1,7,2,5,0,4,1,0,0,40,25,0
50,2,299215,11,9,2,0,0,2,1,0,0,40,25,1
27,2,175034,9,13,4,0,1,4,0,0,0,40,25,0
65,2,293385,13,1,2,2,0,2,1,0,0,30,25,0
47,2,188195,15,10,2,8,0,4,1,0,0,40,25,0
28,2,175710,9,13,4,0,1,4,0,0,0,30,25,0
21,2,220115,15,10,4,2,3,4,1,0,0,20,25,0
36,2,43701,15,10,6,10,1,4,0,0,0,20,25,0
26,2,166301,9,13,4,11,1,4,1,0,0,40,25,1
42,1,267252,12,14,5,2,4,2,1,0,0,45,25,2
30,4,281030,11,9,4,10,4,4,1,0,0,66,25,0
54,4,168723,11,9,2,10,0,4,1,0,0,40,25,0
22,2,199555,15,10,4,3,3,4,1,0,0,25,25,0
18,2,423024,11,9,4,6,1,4,1,0,0,20,25,0
38,2,200220,11,9,2,1,0,4,1,0,0,40,25,0
62,4,166894,11,9,2,1,0,4,1,0,0,60,25,1
58,2,156493,11,9,2,5,0,4,1,0,0,35,25,1
69,1,660461,11,9,6,0,1,2,0,0,0,20,25,0
54,2,167380,11,9,2,1,0,4,1,0,0,40,25,3
39,2,176296,7,12,2,9,0,2,1,0,0,60,25,0
36,1,251091,15,10,2,9,0,4,1,0,0,40,25,2
33,2,348618,4,3,3,12,4,3,1,0,0,20,5,0
45,2,149224,11,9,0,0,4,2,0,0,0,50,25,1
24,2,206008,7,12,4,8,3,2,1,0,0,20,25,0
39,2,269455,11,9,2,3,0,4,1,0,0,45,25,0
33,4,192256,9,13,2,1,0,4,1,0,0,50,25,0
56,2,398067,11,9,6,0,1,4,0,0,0,40,25,0
34,5,50178,15,10,2,2,0,4,1,0,0,38,25,0
56,4,172618,9,13,2,8,0,4,1,7688,0,40,25,2
49,3,211020,10,16,2,8,0,4,1,15024,0,50,25,3
29,5,382272,9,13,4,1,1,4,1,0,0,40,25,0
40,2,163455,15,10,2,11,0,4,1,0,0,55,25,2
20,2,174714,15,10,4,8,3,4,1,0,0,15,25,0
23,2,202344,9,13,4,8,3,4,0,0,0,40,25,0
41,2,327606,2,8,5,1,1,2,1,0,0,40,25,0
31,2,74501,11,9,0,6,4,4,0,0,0,30,25,0
26,2,391349,9,13,4,0,1,4,0,0,0,40,25,0
31,2,111567,9,13,2,2,0,4,1,0,0,70,25,2
44,2,203943,9,13,2,2,0,2,1,0,0,35,25,2
34,1,210164,15,10,2,1,0,4,1,0,1740,40,25,0
49,2,144396,1,7,0,2,1,4,0,0,0,38,25,0
58,2,94741,2,8,2,6,5,4,0,0,0,24,25,0
41,1,177599,9,13,0,8,4,4,0,0,0,35,25,0
27,1,194515,7,12,4,8,3,2,0,0,0,37,25,1
50,0,307555,9,13,0,8,1,4,1,0,0,60,25,2
35,2,297485,9,13,0,2,4,4,0,0,0,40,25,0
29,2,149943,15,10,4,6,1,3,1,0,1590,40,25,0
61,2,101500,8,11,2,0,0,4,1,0,0,40,25,0
53,2,548580,15,10,2,1,0,4,1,0,0,40,9,0
37,2,139684,11,9,0,5,1,4,1,0,0,45,25,1
36,2,269784,0,6,5,4,4,4,0,0,0,40,25,1
43,2,180599,9,13,5,2,4,4,1,8614,0,40,25,2
25,2,203561,8,11,2,11,0,4,1,0,0,56,25,3
62,2,143746,11,9,0,6,1,4,0,0,0,40,25,1
56,2,176079,11,9,2,0,5,4,0,15024,0,24,25,3
38,2,470663,9,13,4,2,1,4,1,0,0,50,25,0
45,2,255348,15,10,0,2,1,4,0,0,0,40,25,0
50,5,198103,9,13,4,2,1,4,0,0,0,40,25,0
42,1,213019,12,14,4,8,1,4,0,0,0,40,25,2
58,1,217775,11,9,2,2,0,4,1,7298,0,40,25,2
45,2,162606,11,9,0,10,1,4,0,0,0,35,25,0
21,2,191324,15,10,4,6,3,4,1,0,0,25,25,1
36,5,25806,10,16,2,8,0,1,1,0,0,40,1,1
41,2,33126,8,11,4,6,1,4,1,0,0,45,25,1
21,2,329530,1,7,2,1,0,4,1,0,0,40,18,0
38,2,103474,9,13,4,11,1,4,0,0,0,45,25,0
35,4,454915,6,5,2,1,0,4,1,0,0,40,25,0
37,1,347491,7,12,2,1,0,4,1,0,0,40,25,3
30,2,30226,1,7,0,10,3,4,1,0,0,40,25,0
43,2,346189,15,10,2,8,0,4,1,0,0,40,25,3
29,2,319998,6,5,2,1,0,4,1,0,0,40,25,1
