holiday,weather_main,temp,rain_1h,snow_1h,clouds_all,traffic_volume
None,Clouds,284.97,0.0,0.0,20.0,845.0
None,Clear,298.88,0.0,0.0,0.0,4175.0
None,Clear,271.0,0.0,0.0,1.0,4687.0
None,Mist,280.58,0.0,0.0,1.0,4938.0
None,Clear,277.58,0.0,0.0,1.0,3716.0
None,Drizzle,291.95,0.0,0.0,90.0,2597.0
None,Mist,276.82,0.0,0.0,90.0,4711.0
None,Clear,282.68,0.0,0.0,1.0,6284.0
None,Rain,274.28,0.0,0.0,90.0,4686.0
None,Clouds,256.67,0.0,0.0,85.0,3440.0
None,Clouds,284.95,0.0,0.0,20.0,4946.0
None,Mist,274.39,0.0,0.0,90.0,4820.0
None,Rain,292.09,0.25,0.0,12.0,4226.0
None,Clouds,288.15,0.0,0.0,20.0,5368.0
None,Fog,290.22,0.0,0.0,1.0,355.0
None,Mist,293.84,0.0,0.0,1.0,687.0
None,Clouds,284.22,0.0,0.0,75.0,885.0
None,Snow,264.44,0.0,0.0,90.0,838.0
None,Clear,286.87,0.0,0.0,1.0,2859.0
None,Clear,288.33,0.0,0.0,1.0,3349.0
None,Clouds,272.02,0.0,0.0,20.0,3613.0
None,Clouds,293.52,0.0,0.0,75.0,4185.0
None,Mist,291.09,0.0,0.0,90.0,880.0
None,Rain,300.7,1.78,0.0,5.0,3165.0
None,Mist,290.08,0.0,0.0,90.0,341.0
None,Clouds,291.39,0.0,0.0,36.0,708.0
None,Clouds,259.3,0.0,0.0,64.0,4243.0
None,Clear,259.86,0.0,0.0,0.0,5979.0
None,Clear,301.83,0.0,0.0,1.0,4053.0
None,Mist,282.35,0.6,0.0,90.0,2722.0
None,Clear,277.353,0.0,0.0,8.0,4915.0
None,Clouds,296.494,0.0,0.0,68.0,3435.0
None,Clouds,276.22,0.0,0.0,90.0,4464.0
None,Clear,254.09,0.0,0.0,1.0,565.0
None,Rain,279.15,0.0,0.0,90.0,2418.0
None,Mist,275.01,0.0,0.0,75.0,254.0
None,Clouds,270.71,0.0,0.0,64.0,5276.0
None,Mist,268.68,0.0,0.0,90.0,618.0
None,Clear,292.08,0.0,0.0,5.0,1798.0
None,Clear,255.15,0.0,0.0,1.0,1660.0
