Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
2982.0,45.0,2.0,300.0,30.0,4348.0,220.0,234.0,150.0,5428.0,2
3180.0,354.0,21.0,376.0,39.0,2280.0,180.0,198.0,153.0,1360.0,2
2818.0,261.0,5.0,95.0,31.0,2100.0,209.0,242.0,172.0,3101.0,1
2731.0,216.0,8.0,30.0,4.0,2676.0,212.0,248.0,172.0,5489.0,2
2668.0,212.0,30.0,85.0,30.0,1832.0,180.0,251.0,190.0,1103.0,2
3209.0,312.0,11.0,150.0,18.0,1412.0,190.0,232.0,182.0,418.0,1
3112.0,59.0,3.0,0.0,0.0,1831.0,221.0,233.0,148.0,3075.0,1
3244.0,254.0,7.0,60.0,4.0,4651.0,204.0,245.0,179.0,990.0,2
3176.0,67.0,12.0,30.0,4.0,3192.0,232.0,217.0,116.0,3183.0,2
3104.0,27.0,4.0,212.0,19.0,1470.0,218.0,230.0,149.0,1388.0,2
3132.0,245.0,16.0,661.0,203.0,5900.0,187.0,251.0,200.0,1396.0,2
2789.0,122.0,16.0,0.0,0.0,120.0,246.0,225.0,102.0,1385.0,2
2890.0,120.0,13.0,108.0,13.0,636.0,242.0,229.0,114.0,1892.0,2
2962.0,208.0,27.0,162.0,74.0,1979.0,190.0,252.0,184.0,1170.0,2
2823.0,30.0,13.0,134.0,28.0,3378.0,216.0,212.0,130.0,876.0,2
3247.0,276.0,18.0,60.0,7.0,4667.0,170.0,241.0,210.0,900.0,2
2972.0,111.0,9.0,67.0,12.0,853.0,236.0,230.0,125.0,2536.0,2
2842.0,127.0,21.0,503.0,165.0,1969.0,249.0,222.0,91.0,2008.0,2
2876.0,224.0,25.0,150.0,92.0,2552.0,180.0,254.0,201.0,618.0,2
2942.0,171.0,17.0,371.0,56.0,1660.0,229.0,246.0,142.0,1724.0,2
2400.0,98.0,8.0,420.0,10.0,1024.0,234.0,228.0,126.0,1026.0,3
3228.0,67.0,8.0,212.0,15.0,6138.0,228.0,224.0,129.0,824.0,1
2852.0,73.0,6.0,85.0,13.0,3967.0,227.0,229.0,136.0,3152.0,2
3208.0,298.0,20.0,268.0,11.0,4127.0,160.0,229.0,207.0,443.0,1
3109.0,1.0,14.0,95.0,22.0,759.0,199.0,213.0,150.0,1801.0,2
2718.0,10.0,11.0,192.0,-4.0,1019.0,209.0,219.0,147.0,1390.0,2
3284.0,6.0,20.0,779.0,208.0,837.0,191.0,196.0,138.0,2176.0,2
3216.0,151.0,18.0,371.0,-114.0,384.0,240.0,237.0,119.0,3445.0,2
2988.0,17.0,7.0,454.0,16.0,5402.0,214.0,225.0,147.0,6520.0,1
3487.0,262.0,21.0,180.0,75.0,3141.0,162.0,245.0,218.0,1627.0,1
3246.0,332.0,16.0,60.0,20.0,1542.0,181.0,218.0,176.0,607.0,1
2791.0,195.0,3.0,201.0,29.0,2940.0,219.0,241.0,159.0,6453.0,2
2648.0,103.0,18.0,150.0,31.0,1036.0,248.0,213.0,87.0,551.0,2
3166.0,284.0,12.0,408.0,-47.0,3275.0,187.0,240.0,192.0,1091.0,2
2712.0,202.0,28.0,0.0,0.0,2724.0,195.0,251.0,176.0,1604.0,2
2621.0,4.0,18.0,150.0,25.0,2250.0,194.0,203.0,144.0,1492.0,2
2608.0,54.0,10.0,120.0,-11.0,1245.0,226.0,218.0,125.0,247.0,2
