Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
3. Adult,Adult,CTGAN,1000.0,Generators/SDV models/Matchings_All_Models_Adult_Census.xlsx,Hungarian,Cosine Similarity,0.9996423581191255,latest_generator_excel_preferred,0.9999999744327432,0.8811253946183745,0.9999999999907725,
2. Alzhimers,Alzheimers,TabDDPM,284.0,Generators/Diffusion GANs/Hungarian_Matchings_All_Models.xlsx,Hungarian,Cosine Similarity,0.9915310108191179,latest_generator_excel_preferred,0.9998740701259297,0.945838672200873,0.9999995695871682,
2. Alzhimers,Alzheimers,ForestDiffusion,284.0,Generators/Diffusion GANs/Hungarian_Matchings_All_Models.xlsx,Hungarian,Cosine Similarity,0.9999908867907575,latest_generator_excel_preferred,0.9999953604528706,0.9999298594371361,0.9999998572108053,
2. Alzhimers,Alzheimers,CTABGAN,284.0,Generators/Other GANS/Hungarian_Matchings_All_Models.xlsx,Hungarian,Cosine Similarity,0.9998100910307864,latest_generator_excel_preferred,0.9999755588406546,0.9950602438478735,0.9999994896703602,
2. Alzhimers,Alzheimers,WGAN_GP,284.0,Generators/Other GANS/Hungarian_Matchings_All_Models.xlsx,Hungarian,Cosine Similarity,0.9998872837596191,latest_generator_excel_preferred,0.9999801074164228,0.9992491701240718,0.9999992596547004,
2. Alzhimers,Alzheimers,CopulaGAN,284.0,Generators/SDV models/Hungarian_Matchings_All_Models_AD.xlsx,Hungarian,Cosine Similarity,0.9033691712569901,latest_generator_excel_preferred,0.8802418819361906,0.7313283026880091,0.9999974212107884,
2. Alzhimers,Alzheimers,GaussianCopula,284.0,Generators/SDV models/Hungarian_Matchings_All_Models_AD.xlsx,Hungarian,Cosine Similarity,0.9543145125738454,latest_generator_excel_preferred,0.9549579727445,0.8784680465381837,0.9999998378573076,
2. Alzhimers,Alzheimers,CTGAN,284.0,Generators/SDV models/Hungarian_Matchings_All_Models_AD.xlsx,Hungarian,Cosine Similarity,0.9857164555931767,latest_generator_excel_preferred,0.9967002249815937,0.9449908931783948,0.9999989604677405,
3. Adult,Adult,CopulaGAN,1000.0,Generators/SDV models/Matchings_All_Models_Adult_Census.xlsx,Hungarian,Cosine Similarity,0.9964779684956977,latest_generator_excel_preferred,0.9999985795868527,0.6352499476701593,0.9999999601038629,
3. Adult,Adult,GaussianCopula,1000.0,Generators/SDV models/Matchings_All_Models_Adult_Census.xlsx,Hungarian,Cosine Similarity,0.9806849869684116,latest_generator_excel_preferred,0.997505299021268,0.6355145542792536,0.9999956834226825,
3. Adult,Adult,CTABGAN,1000.0,Generators/Other GANS/Adult_Hungarian_Matchings_All_Models.xlsx,Hungarian,Cosine Similarity,0.9998866616845967,latest_generator_excel_preferred,0.9999761147574466,0.9915776883701151,0.9999999998826422,
3. Adult,Adult,WGAN_GP,1000.0,Generators/Other GANS/Adult_Hungarian_Matchings_All_Models.xlsx,Hungarian,Cosine Similarity,0.996304476661821,latest_generator_excel_preferred,0.9997351772419492,-0.528952848504935,0.9999999156605096,
3. Adult,Adult,ForestDiffusion,1000.0,Generators/Diffusion GANs/Adult_Hungarian_Matchings_All_Models.xlsx,Hungarian,Cosine Similarity,0.9997905968172516,latest_generator_excel_preferred,0.9999997567310711,0.9817135559734681,0.9999999999910552,
3. Adult,Adult,TabDDPM,1000.0,Generators/Diffusion GANs/Adult_Hungarian_Matchings_All_Models.xlsx,Hungarian,Cosine Similarity,0.7988756851244702,latest_generator_excel_preferred,0.9936649700351768,0.1363647653708177,0.9999999986257124,
3. Adult,Adult,TVAE,1000.0,Generators/SDV models/Matchings_All_Models_Adult_Census.xlsx,Hungarian,Cosine Similarity,0.9994313165892008,latest_generator_excel_preferred,0.9999999738867951,0.7590362652895597,0.9999999999388353,
2. Alzhimers,Alzheimers,TVAE,284.0,Generators/SDV models/Hungarian_Matchings_All_Models_AD.xlsx,Hungarian,Cosine Similarity,0.9938161964168027,latest_generator_excel_preferred,0.9978420016951204,0.96091494832645,0.999999066829861,
9. MAGIC Gamma Telescope,MAGIC,CopulaGAN,19020.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.983916,excel_sheets_privacy_hungarian_matching,0.988998,0.752084,0.999937,
9. MAGIC Gamma Telescope,MAGIC,GaussianCopula,19020.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.946915,excel_sheets_privacy_hungarian_matching,0.96291,0.630691,0.999349,
9. MAGIC Gamma Telescope,MAGIC,WGAN_GP,1000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.997771,excel_sheets_privacy_hungarian_matching,0.999236,0.926264,0.99996,
