Dataset,Generator,Greedy_Cosine,Greedy_Cosine_Note,Greedy_Cosine_Proxy_Pairwise,Cosine_Baseline_Method,Hungarian_Cosine,Delta_Cosine,Cosine_Improvement_Pct,Cosine_Pct_Unstable,Greedy_Mahalanobis,Hungarian_Mahalanobis,Delta_Mahalanobis,Mahalanobis_Improvement_Pct,Maha_Pct_Unstable,hung_src,nb_src,Num_Matches
Cancer,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.007301,Pairwise (no assignment),0.94758,0.940279,12878.770031502534,False,56.891797,27.692581,29.199215999999996,51.32412322992715,False,notebook_pair:table,1. Cancer.ipynb,569.0
Cancer,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.042749,Pairwise (no assignment),0.956947,0.999696,-2338.5248777749184,False,64.834342,26.091745,38.742597,59.756289344310765,False,notebook_pair:table,1. Cancer.ipynb,569.0
Cancer,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.043196,Pairwise (no assignment),0.994255,0.951059,2201.729326789518,False,32.553191,10.038234,22.514957,69.16359443840697,False,notebook_pair:table,1. Cancer.ipynb,569.0
Cancer,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.012774,Pairwise (no assignment),0.999626,0.9868520000000001,7725.473618287146,False,1.969295,3.102918,-1.1336229999999998,-57.56491536311217,False,notebook_pair:table,1. Cancer.ipynb,569.0
Cancer,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.008807,Pairwise (no assignment),0.998195,1.007002,-11434.109231293289,False,50.2123,49.9043,0.30799999999999983,0.6133955226109934,False,notebook_pair:print,1. Cancer_other GAN.ipynb,569.0
Cancer,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.021422,Pairwise (no assignment),0.99984,0.9784179999999999,4567.351321071795,False,6.3872,6.2186,0.16859999999999964,2.639654308617229,False,notebook_pair:print,1. Cancer_other GAN.ipynb,569.0
Cancer,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.05887,Pairwise (no assignment),0.991305,1.050175,-1783.8882282996435,False,34.6458,34.4334,0.21240000000000236,0.6130613234504684,False,notebook_pair:print,1. Cancer_diffusion.ipynb,569.0
Cancer,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.020406,Pairwise (no assignment),0.999888,0.979482,4799.9705968832695,False,3.9522,3.8838,0.06840000000000002,1.7306816456657057,False,notebook_pair:print,1. Cancer_diffusion.ipynb,569.0
Alzheimers,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.007544,Pairwise (no assignment),0.995876,1.00342,-13300.901378579003,False,10.223153,9.99369,0.22946299999999908,2.244542363789323,False,notebook_pair:table,2. Alzhimers.ipynb,373.0
Alzheimers,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.006982,Pairwise (no assignment),0.969223,0.976205,-13981.738756803206,False,12.265453,11.991024,0.27442900000000137,2.237414305040355,False,notebook_pair:table,2. Alzhimers.ipynb,373.0
Alzheimers,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.01326,Pairwise (no assignment),0.985688,0.972428,7333.544494720966,False,4.814556,4.593258,0.221298,4.596436306899328,False,notebook_pair:table,2. Alzhimers.ipynb,373.0
Alzheimers,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.016283,Pairwise (no assignment),0.92408,0.907797,5575.1212921451815,False,3.699365,3.421645,0.27771999999999997,7.5072343496789316,False,notebook_pair:table,2. Alzhimers.ipynb,373.0
Alzheimers,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.009937,Pairwise (no assignment),0.999852,1.009789,-10161.91003320922,False,2.9484,2.8086,0.1397999999999997,4.741554741554731,False,notebook_pair:print,2. Alzhimers_other GAN.ipynb,373.0
Alzheimers,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.006048,Pairwise (no assignment),0.999784,0.993736,16430.820105820105,False,1.773281,1.749389,0.023892000000000024,1.3473329946015338,False,notebook_pair:table,2. Alzhimers_other GAN.ipynb,373.0
Alzheimers,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.02195,Pairwise (no assignment),0.994789,1.016739,-4632.068337129841,False,3.317,3.1511,0.16590000000000016,5.001507386192348,False,notebook_pair:print,2. Alzhimers_diffusion.ipynb,373.0
Alzheimers,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.003124,Pairwise (no assignment),0.999993,0.996869,31910.019206145964,False,1.4367,1.4215,0.015200000000000102,1.0579800932693046,False,notebook_pair:print,2. Alzhimers_diffusion.ipynb,373.0
Adult,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.000376,Pairwise (no assignment),0.9996423581191256,1.0000183581191255,-265962.3292870015,True,1.768268,1.536617,0.23165100000000005,13.100446312436807,False,notebook_pair:table,3. Adult census.ipynb,1000.0
Adult,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.000428,Pairwise (no assignment),0.9964779684956976,0.9969059684956976,-232921.95525600412,True,1.395532,0.713123,0.682409,48.899559451162716,False,notebook_pair:table,3. Adult census.ipynb,1000.0
Adult,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.005204,Pairwise (no assignment),0.9994313165892008,0.9942273165892008,19105.059888339754,False,2.491583,2.432874,0.0587089999999999,2.3562931678374714,False,notebook_pair:table,3. Adult census.ipynb,1000.0
Adult,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.000576,Pairwise (no assignment),0.9806849869684116,0.9812609869684116,-170357.81023757145,True,1.620219,2.425423,-0.8052039999999998,-49.697232287733925,False,notebook_pair:table,3. Adult census.ipynb,1000.0
Adult,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.031479,Pairwise (no assignment),0.9998866616845968,1.0313656616845968,-3276.3609443902183,False,2.508,2.4285,0.0794999999999999,3.1698564593301395,False,notebook_pair:print,3. Adult census_other GAN.ipynb,1000.0
Adult,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.000121,Pairwise (no assignment),0.996304476661821,0.9961834766618209,823292.1294725792,True,1.7954,1.6473,0.14810000000000012,8.248858193160306,False,notebook_pair:print,3. Adult census_other GAN.ipynb,1000.0
Adult,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.054662,Pairwise (no assignment),0.7988756851244702,0.8535376851244701,-1561.482721313655,False,11.842,11.7306,0.11139999999999972,0.9407194730619803,False,notebook_pair:print,3. Adult census_diffusion.ipynb,1000.0
Adult,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.020289,Pairwise (no assignment),0.9997905968172516,0.9795015968172516,4827.747039367398,False,0.8831,0.7605,0.12260000000000004,13.882912467444237,False,notebook_pair:print,3. Adult census_diffusion.ipynb,1000.0
ForestCover,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.000336,Pairwise (no assignment),0.976664,0.976328,290573.8095238095,True,387.984,387.9311,0.05289999999996553,0.013634582869387792,False,notebook_pair:print,4.Forest cover.ipynb,1000.0
ForestCover,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.004608,Pairwise (no assignment),0.954908,0.9503,20622.82986111111,False,391.878,391.836,0.04199999999997317,0.010717621300499944,False,notebook_pair:print,4.Forest cover.ipynb,1000.0
ForestCover,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.009101,Pairwise (no assignment),0.985911,0.97681,10732.996374024833,False,191.5824,191.5313,0.05110000000001946,0.026672596230144032,False,notebook_pair:print,4.Forest cover.ipynb,1000.0
ForestCover,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.002111,Pairwise (no assignment),0.997299,0.9951880000000001,47142.9654192326,False,283.6519,283.6313,0.020600000000001728,0.007262422708961839,False,notebook_pair:print,4.Forest cover.ipynb,1000.0
ForestCover,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.002905,Pairwise (no assignment),0.996078,0.993173,34188.399311531844,False,63.0334,62.9052,0.12819999999999965,0.20338423756294227,False,notebook_pair:print,4_Forest_Cover_other_GAN.ipynb,448.0
ForestCover,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.004645,Pairwise (no assignment),0.997355,0.99271,21371.58234660926,False,485.347,485.3168,0.030199999999979354,0.006222352255186363,False,notebook_pair:print,4_Forest_Cover_other_GAN.ipynb,448.0
ForestCover,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.020852,Pairwise (no assignment),0.891484,0.912336,-4375.292537886055,False,636.1656,636.1193,0.04630000000008749,0.00727797919285285,False,notebook_pair:print,4_Forest_Cover_diffusion.ipynb,1000.0
ForestCover,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.004782,Pairwise (no assignment),0.997509,0.992727,20759.661229611043,False,10.3564,10.2136,0.14280000000000115,1.3788575180564784,False,notebook_pair:print,4_Forest_Cover_diffusion.ipynb,1000.0
Bank,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.016167,Pairwise (no assignment),0.9996685798816864,0.9835015798816864,6083.389496391949,False,,,,,False,,,10000.0
Bank,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.004861,Pairwise (no assignment),0.9994728773158172,1.0043338773158172,-20661.05487175102,False,,,,,False,,,10000.0
Bank,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.047822,Pairwise (no assignment),0.9989676630292432,0.9511456630292432,1988.9290766367844,False,,,,,False,,,10000.0
Bank,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.020781,Pairwise (no assignment),0.9931425769281476,1.0139235769281476,-4879.089441933244,False,,,,,False,,,10000.0
Bank,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.019165,Pairwise (no assignment),0.939923,0.920758,4804.372554135142,False,1.3445,1.1716,0.17290000000000005,12.859799181851994,False,notebook_pair:print,5. Bank marketing_other GAN.ipynb,1000.0
Bank,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.030217,Pairwise (no assignment),0.810998,0.780781,2583.913029089585,False,2.2412,2.0781,0.16310000000000002,7.277351418882742,False,notebook_pair:print,5. Bank marketing_other GAN.ipynb,1000.0
Bank,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.05826,Pairwise (no assignment),0.357519,0.41577899999999995,-713.6611740473737,False,10.6833,10.5591,0.12419999999999831,1.162562129679016,False,notebook_pair:print,5. Bank marketing_diffusion.ipynb,1000.0
Bank,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.028548,Pairwise (no assignment),0.953458,0.92491,3239.841670169539,False,0.9368,0.8085,0.12829999999999997,13.695559350982064,False,notebook_pair:print,5. Bank marketing_diffusion.ipynb,1000.0
Wine,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.005918,Pairwise (no assignment),,,,False,,14.60013448951508,,,False,long_csv,,6497.0
Wine,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.005261,Pairwise (no assignment),,,,False,,14.97249458978774,,,False,long_csv,,6497.0
Wine,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.014057,Pairwise (no assignment),,,,False,,13.65101514825886,,,False,long_csv,,6497.0
Wine,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.003519,Pairwise (no assignment),,,,False,,15.50733446018729,,,False,long_csv,,6497.0
Wine,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.00224,Pairwise (no assignment),0.980089,0.977849,43653.97321428572,False,3.3377,3.1203,0.21740000000000004,6.513467357761334,False,notebook_pair:print,6. Winequality_other GAN.ipynb,1000.0
Wine,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-6.3e-05,Pairwise (no assignment),0.976834,0.976897,-1550630.1587301588,True,3.6759,3.3891,0.28679999999999994,7.802170896923201,False,notebook_pair:print,6. Winequality_other GAN.ipynb,1000.0
Wine,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.000788,Pairwise (no assignment),0.942491,0.943279,-119705.45685279189,True,5.4729,5.1842,0.2887000000000004,5.275082680114754,False,notebook_pair:print,6. Winequality_diffusion.ipynb,1000.0
Wine,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.009172,Pairwise (no assignment),0.997669,0.9884970000000001,10777.333187963368,False,1.6171,1.5167,0.10040000000000004,6.208645105435659,False,notebook_pair:print,6. Winequality_diffusion.ipynb,1000.0
