Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
7. CDC diabetes dataset,CDC_Diabetes,CTABGAN,,Generators/Other GANS/7_CDC_diabetes_other_GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,6.856,notebook_output_greedy_mean,,,,
7. CDC diabetes dataset,CDC_Diabetes,WGAN_GP,,Generators/Other GANS/7_CDC_diabetes_other_GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,3.9642,notebook_output_greedy_mean,,,,
2. Alzhimers,Alzheimers,CTABGAN,,Generators/Other GANS/2. Alzhimers_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,2.9484,notebook_output_greedy_mean,,,,
2. Alzhimers,Alzheimers,WGAN_GP,,Generators/Other GANS/2. Alzhimers_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,1.7733,notebook_output_greedy_mean,,,,
8. Mushroom dataset,Mushroom,CTABGAN,,Generators/Other GANS/8. Mushroom_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,1.9831,notebook_output_greedy_mean,,,,
8. Mushroom dataset,Mushroom,WGAN_GP,,Generators/Other GANS/8. Mushroom_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,1.1701,notebook_output_greedy_mean,,,,
15. Real Estate Valuation,RealEstate,CTABGAN,,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb,One-to-One Greedy,Mahalanobis Distance,0.9013,notebook_output_greedy_mean,,,,
5. Bank Markting,Bank,TabDDPM,,Generators/Diffusion GANs/5. Bank marketing_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,10.6833,notebook_output_greedy_mean,,,,
9. MAGIC Gamma Telescope,MAGIC,ForestDiffusion,,Generators/Diffusion GANs/9. MAGIC Gamma Telescope_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,1.432,notebook_output_greedy_mean,,,,
9. MAGIC Gamma Telescope,MAGIC,TabDDPM,,Generators/Diffusion GANs/9. MAGIC Gamma Telescope_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,4.5721,notebook_output_greedy_mean,,,,
4. Forest cover dataset,ForestCover,ForestDiffusion,,Generators/Diffusion GANs/4_Forest_Cover_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,10.3564,notebook_output_greedy_mean,,,,
4. Forest cover dataset,ForestCover,TabDDPM,,Generators/Diffusion GANs/4_Forest_Cover_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,636.1656,notebook_output_greedy_mean,,,,
4. Forest cover dataset,ForestCover,TVAE,,Generators/SDV models/4.Forest cover.ipynb,One-to-One Greedy,Mahalanobis Distance,191.5824,notebook_output_greedy_mean,,,,
4. Forest cover dataset,ForestCover,GaussianCopula,,Generators/SDV models/4.Forest cover.ipynb,One-to-One Greedy,Mahalanobis Distance,283.6519,notebook_output_greedy_mean,,,,
4. Forest cover dataset,ForestCover,CTGAN,,Generators/SDV models/4.Forest cover.ipynb,One-to-One Greedy,Mahalanobis Distance,387.984,notebook_output_greedy_mean,,,,
4. Forest cover dataset,ForestCover,CopulaGAN,,Generators/SDV models/4.Forest cover.ipynb,One-to-One Greedy,Mahalanobis Distance,391.878,notebook_output_greedy_mean,,,,
5. Bank Markting,Bank,ForestDiffusion,,Generators/Diffusion GANs/5. Bank marketing_diffusion.ipynb,One-to-One Greedy,Mahalanobis Distance,0.9368,notebook_output_greedy_mean,,,,
