Dataset,Dataset_Short,Generator,Mapping_Method,Metric,Available,Mean
1. Cancer,Cancer,CTGAN,Greedy,Cosine Similarity,False,
1. Cancer,Cancer,CTGAN,Greedy,Mahalanobis Distance,False,
1. Cancer,Cancer,CTGAN,One-to-One Greedy,Cosine Similarity,False,
1. Cancer,Cancer,CTGAN,One-to-One Greedy,Mahalanobis Distance,True,110.861512
1. Cancer,Cancer,CTGAN,Hungarian,Cosine Similarity,True,0.94758
1. Cancer,Cancer,CTGAN,Hungarian,Mahalanobis Distance,False,
1. Cancer,Cancer,CopulaGAN,Greedy,Cosine Similarity,False,
1. Cancer,Cancer,CopulaGAN,Greedy,Mahalanobis Distance,False,
1. Cancer,Cancer,CopulaGAN,One-to-One Greedy,Cosine Similarity,False,
1. Cancer,Cancer,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,True,134.275819
1. Cancer,Cancer,CopulaGAN,Hungarian,Cosine Similarity,True,0.956947
1. Cancer,Cancer,CopulaGAN,Hungarian,Mahalanobis Distance,False,
1. Cancer,Cancer,TVAE,Greedy,Cosine Similarity,False,
1. Cancer,Cancer,TVAE,Greedy,Mahalanobis Distance,False,
1. Cancer,Cancer,TVAE,One-to-One Greedy,Cosine Similarity,False,
1. Cancer,Cancer,TVAE,One-to-One Greedy,Mahalanobis Distance,True,44.110818
1. Cancer,Cancer,TVAE,Hungarian,Cosine Similarity,True,0.994255
1. Cancer,Cancer,TVAE,Hungarian,Mahalanobis Distance,False,
1. Cancer,Cancer,GaussianCopula,Greedy,Cosine Similarity,False,
1. Cancer,Cancer,GaussianCopula,Greedy,Mahalanobis Distance,False,
1. Cancer,Cancer,GaussianCopula,One-to-One Greedy,Cosine Similarity,False,
1. Cancer,Cancer,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,True,6.494969
1. Cancer,Cancer,GaussianCopula,Hungarian,Cosine Similarity,True,0.999626
1. Cancer,Cancer,GaussianCopula,Hungarian,Mahalanobis Distance,False,
1. Cancer,Cancer,WGAN_GP,Greedy,Cosine Similarity,False,
1. Cancer,Cancer,WGAN_GP,Greedy,Mahalanobis Distance,False,
1. Cancer,Cancer,WGAN_GP,One-to-One Greedy,Cosine Similarity,False,
1. Cancer,Cancer,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,True,6.3872
1. Cancer,Cancer,WGAN_GP,Hungarian,Cosine Similarity,True,0.99984
1. Cancer,Cancer,WGAN_GP,Hungarian,Mahalanobis Distance,False,
1. Cancer,Cancer,CTABGAN,Greedy,Cosine Similarity,False,
1. Cancer,Cancer,CTABGAN,Greedy,Mahalanobis Distance,False,
1. Cancer,Cancer,CTABGAN,One-to-One Greedy,Cosine Similarity,False,
1. Cancer,Cancer,CTABGAN,One-to-One Greedy,Mahalanobis Distance,True,50.2123
1. Cancer,Cancer,CTABGAN,Hungarian,Cosine Similarity,True,0.998195
1. Cancer,Cancer,CTABGAN,Hungarian,Mahalanobis Distance,False,
1. Cancer,Cancer,TabDDPM,Greedy,Cosine Similarity,False,
1. Cancer,Cancer,TabDDPM,Greedy,Mahalanobis Distance,False,
1. Cancer,Cancer,TabDDPM,One-to-One Greedy,Cosine Similarity,False,
1. Cancer,Cancer,TabDDPM,One-to-One Greedy,Mahalanobis Distance,True,34.6458
1. Cancer,Cancer,TabDDPM,Hungarian,Cosine Similarity,True,0.991305
1. Cancer,Cancer,TabDDPM,Hungarian,Mahalanobis Distance,False,
1. Cancer,Cancer,ForestDiffusion,Greedy,Cosine Similarity,False,
1. Cancer,Cancer,ForestDiffusion,Greedy,Mahalanobis Distance,False,
1. Cancer,Cancer,ForestDiffusion,One-to-One Greedy,Cosine Similarity,False,
1. Cancer,Cancer,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,True,3.9522
1. Cancer,Cancer,ForestDiffusion,Hungarian,Cosine Similarity,True,0.999888
1. Cancer,Cancer,ForestDiffusion,Hungarian,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,CTGAN,Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,CTGAN,Greedy,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,CTGAN,One-to-One Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,CTGAN,One-to-One Greedy,Mahalanobis Distance,True,10.223153
2. Alzhimers,Alzheimers,CTGAN,Hungarian,Cosine Similarity,True,0.9857164555931767
2. Alzhimers,Alzheimers,CTGAN,Hungarian,Mahalanobis Distance,True,9.748478010813969
2. Alzhimers,Alzheimers,CopulaGAN,Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,CopulaGAN,Greedy,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,CopulaGAN,One-to-One Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,True,12.265453
2. Alzhimers,Alzheimers,CopulaGAN,Hungarian,Cosine Similarity,True,0.9033691712569901
2. Alzhimers,Alzheimers,CopulaGAN,Hungarian,Mahalanobis Distance,True,11.68276110607751
2. Alzhimers,Alzheimers,TVAE,Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,TVAE,Greedy,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,TVAE,One-to-One Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,TVAE,One-to-One Greedy,Mahalanobis Distance,True,4.814556
2. Alzhimers,Alzheimers,TVAE,Hungarian,Cosine Similarity,True,0.9938161964168027
2. Alzhimers,Alzheimers,TVAE,Hungarian,Mahalanobis Distance,True,4.489425236712888
2. Alzhimers,Alzheimers,GaussianCopula,Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,GaussianCopula,Greedy,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,GaussianCopula,One-to-One Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,True,3.699365
2. Alzhimers,Alzheimers,GaussianCopula,Hungarian,Cosine Similarity,True,0.9543145125738454
2. Alzhimers,Alzheimers,GaussianCopula,Hungarian,Mahalanobis Distance,True,3.152470168440013
2. Alzhimers,Alzheimers,WGAN_GP,Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,WGAN_GP,Greedy,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,WGAN_GP,One-to-One Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,True,1.7733
2. Alzhimers,Alzheimers,WGAN_GP,Hungarian,Cosine Similarity,True,0.9998872837596191
2. Alzhimers,Alzheimers,WGAN_GP,Hungarian,Mahalanobis Distance,True,1.749388884153588
2. Alzhimers,Alzheimers,CTABGAN,Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,CTABGAN,Greedy,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,CTABGAN,One-to-One Greedy,Cosine Similarity,False,
