Dataset,Generator,Metric,Mean,Median,Std,Min,Max,Num_Matches
Adult,CTABGAN,Cosine Similarity,0.9998866616845967,0.9999761147574466,0.0005027939398037888,0.9915776883701151,0.9999999998826422,1000.0
Adult,CTGAN,Cosine Similarity,0.9996530761322039,0.9999998946971016,0.005227757357116652,0.8402785072492843,0.9999999999953063,1000.0
Adult,CopulaGAN,Cosine Similarity,0.9998247798659585,0.9999997231091953,0.0012403248403108703,0.972450201562254,0.999999969827468,1000.0
Adult,ForestDiffusion,Cosine Similarity,0.9997905968172515,0.9999997567310711,0.0015203331159467242,0.9817135559734681,0.9999999999910552,1000.0
Adult,GaussianCopula,Cosine Similarity,0.9806849869684116,0.997505299021268,0.04553954203449739,0.6355145542792536,0.9999956834226825,1000.0
Adult,TVAE,Cosine Similarity,0.9994318429684329,0.9999999478069083,0.007999181399172267,0.7592767392466669,0.9999999999404608,1000.0
Adult,TabDDPM,Cosine Similarity,0.7988756851244702,0.9936649700351768,0.35193794698607017,0.1363647653708177,0.9999999986257124,1000.0
Adult,WGAN_GP,Cosine Similarity,0.9963044766618209,0.9997351772419492,0.053882902784370246,-0.528952848504935,0.9999999156605096,1000.0
Alzheimers,CTABGAN,Cosine Similarity,0.9998100910307862,0.9999755588406546,0.0006253466859939263,0.9950602438478735,0.9999994896703602,284.0
Alzheimers,CTGAN,Cosine Similarity,0.9857164555931764,0.9967002249815937,0.018235721163920453,0.9449908931783948,0.9999989604677405,284.0
Alzheimers,CopulaGAN,Cosine Similarity,0.9033691712569901,0.8802418819361906,0.07123255119696843,0.7313283026880091,0.9999974212107884,284.0
Alzheimers,ForestDiffusion,Cosine Similarity,0.9999908867907574,0.9999953604528706,1.2229677101063319e-05,0.9999298594371361,0.9999998572108053,284.0
Alzheimers,GaussianCopula,Cosine Similarity,0.9543145125738454,0.9549579727445,0.04381891838862531,0.8784680465381837,0.9999998378573076,284.0
Alzheimers,TVAE,Cosine Similarity,0.9938161964168027,0.9978420016951204,0.01012472612372636,0.96091494832645,0.999999066829861,284.0
Alzheimers,TabDDPM,Cosine Similarity,0.9915310108191177,0.9998740701259297,0.014390773100346404,0.945838672200873,0.9999995695871682,284.0
Alzheimers,WGAN_GP,Cosine Similarity,0.999887283759619,0.9999801074164228,0.0001836732294608122,0.9992491701240718,0.9999992596547004,284.0
Adult,CTABGAN,Mahalanobis Distance,2.428502572522146,1.5698260373226585,1.8759976341923614,0.01872974709854498,9.035898188363687,1000.0
Adult,CTGAN,Mahalanobis Distance,0.3984864519523495,0.26109817254617423,0.37642389422681605,0.0003229266182392867,2.535142712940833,2000.0
Adult,CopulaGAN,Mahalanobis Distance,0.6570783387200433,0.4386422681988541,0.616943322365143,0.1715358505538974,5.706357460625898,2000.0
Adult,ForestDiffusion,Mahalanobis Distance,0.7604998920067207,0.5621513394615805,0.7821200142484621,0.03654705566858059,9.719050040269963,1000.0
Adult,GaussianCopula,Mahalanobis Distance,2.4846892730119725,1.805734567791119,1.8254597257211538,0.1904726928515296,8.069579335274454,2000.0
Adult,TVAE,Mahalanobis Distance,0.1250522829440672,0.07668436295973144,0.1392107667465371,0.0,0.4611633960114749,2000.0
Adult,TabDDPM,Mahalanobis Distance,11.730588729945616,15.22000746123599,5.569375792129494,1.319195370450432,18.66373973516059,1000.0
Adult,WGAN_GP,Mahalanobis Distance,1.6473219434342932,1.444232565363539,1.1277024973765457,0.216403273056022,11.82267051101156,1000.0
Alzheimers,CTABGAN,Mahalanobis Distance,2.808648543884104,2.87040605170717,0.7125755217734516,0.7638313357659344,4.458625458946309,284.0
Alzheimers,CTGAN,Mahalanobis Distance,9.748478010813969,8.450875312924925,5.621410690543614,1.150738328928272,34.41966330186063,284.0
Alzheimers,CopulaGAN,Mahalanobis Distance,11.682761106077505,10.596984792602544,5.968288382254136,1.687299191236739,32.09784739714387,284.0
Alzheimers,ForestDiffusion,Mahalanobis Distance,1.4215141300852796,1.3563264921313714,0.4669398100876996,0.5284664870292564,2.937824141357155,284.0
Alzheimers,GaussianCopula,Mahalanobis Distance,3.1524701684400127,3.0427893579403227,1.4977059875046144,0.5748587616947178,9.89298628384389,284.0
Alzheimers,TVAE,Mahalanobis Distance,4.489425236712889,3.7258973759583385,2.9380577676035453,0.7290962137386172,17.02296021615203,284.0
Alzheimers,TabDDPM,Mahalanobis Distance,3.151104083475662,2.341357250724199,1.9883834134262979,0.644120758125376,8.25496097030844,284.0
Alzheimers,WGAN_GP,Mahalanobis Distance,1.749388884153588,1.6267537782075034,0.6734239515814973,0.7556951586481364,6.685018393468129,284.0
