Dataset,Generator,Mapping_Method,Metric,Available,Mean
1. Cancer,CTGAN,Greedy,Cosine Similarity,0,
1. Cancer,CTGAN,Greedy,Mahalanobis Distance,0,
1. Cancer,CTGAN,One-to-One Greedy,Cosine Similarity,0,
1. Cancer,CTGAN,One-to-One Greedy,Mahalanobis Distance,1,110.861512
1. Cancer,CTGAN,Hungarian,Cosine Similarity,1,0.94758
1. Cancer,CTGAN,Hungarian,Mahalanobis Distance,0,
1. Cancer,CopulaGAN,Greedy,Cosine Similarity,0,
1. Cancer,CopulaGAN,Greedy,Mahalanobis Distance,0,
1. Cancer,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
1. Cancer,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,1,134.275819
1. Cancer,CopulaGAN,Hungarian,Cosine Similarity,1,0.956947
1. Cancer,CopulaGAN,Hungarian,Mahalanobis Distance,0,
1. Cancer,TVAE,Greedy,Cosine Similarity,0,
1. Cancer,TVAE,Greedy,Mahalanobis Distance,0,
1. Cancer,TVAE,One-to-One Greedy,Cosine Similarity,0,
1. Cancer,TVAE,One-to-One Greedy,Mahalanobis Distance,1,44.110818
1. Cancer,TVAE,Hungarian,Cosine Similarity,1,0.994255
1. Cancer,TVAE,Hungarian,Mahalanobis Distance,0,
1. Cancer,GaussianCopula,Greedy,Cosine Similarity,0,
1. Cancer,GaussianCopula,Greedy,Mahalanobis Distance,0,
1. Cancer,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
1. Cancer,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,1,6.494969
1. Cancer,GaussianCopula,Hungarian,Cosine Similarity,1,0.999626
1. Cancer,GaussianCopula,Hungarian,Mahalanobis Distance,0,
1. Cancer,WGAN_GP,Greedy,Cosine Similarity,0,
1. Cancer,WGAN_GP,Greedy,Mahalanobis Distance,0,
1. Cancer,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
1. Cancer,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,6.3872
1. Cancer,WGAN_GP,Hungarian,Cosine Similarity,1,0.99984
1. Cancer,WGAN_GP,Hungarian,Mahalanobis Distance,0,
1. Cancer,CTABGAN,Greedy,Cosine Similarity,0,
1. Cancer,CTABGAN,Greedy,Mahalanobis Distance,0,
1. Cancer,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
1. Cancer,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,50.2123
