Dataset,Generator,Hungarian,One-to-One Greedy
Adult,CTABGAN,2.428502572522146,2.508
Adult,CTGAN,0.312119816355832,1.768268
Adult,CopulaGAN,0.6750320130668681,2.101094
Adult,ForestDiffusion,0.7604998920067207,0.8831
Adult,GaussianCopula,2.484689273011973,5.795991
Adult,TVAE,0.1163703617203237,2.491583
Adult,TabDDPM,11.73058872994562,11.842
Adult,WGAN_GP,1.647321943434293,1.7954
AirQuality,CTABGAN,,9.2838
AirQuality,CTGAN,145.4258331068809,
AirQuality,CopulaGAN,42.25175791284352,
AirQuality,ForestDiffusion,,1.7287
AirQuality,GaussianCopula,18.53194361248073,
AirQuality,TVAE,20.60500284182482,
AirQuality,TabDDPM,,6.392
AirQuality,WGAN_GP,,4.9184
Alzheimers,CTABGAN,2.808648543884104,2.9484
Alzheimers,CTGAN,9.748478010813969,10.223153
Alzheimers,CopulaGAN,11.68276110607751,12.265453
Alzheimers,ForestDiffusion,1.42151413008528,1.4367
Alzheimers,GaussianCopula,3.152470168440013,3.699365
Alzheimers,TVAE,4.489425236712888,4.814556
Alzheimers,TabDDPM,3.151104083475662,3.317
Alzheimers,WGAN_GP,1.749388884153588,1.7733
Bank,CTABGAN,,1.3445
Bank,ForestDiffusion,,0.9368
Bank,TabDDPM,,10.6833
Bank,WGAN_GP,,2.2412
CDC,CTABGAN,,6.856
CDC,CTGAN,0.480346042408537,
CDC,CopulaGAN,0.577594273540177,
CDC,ForestDiffusion,,2.7934
CDC,GaussianCopula,27.5822488054879,
CDC,TVAE,0.6194033040135131,
CDC,TabDDPM,,8.5135
CDC,WGAN_GP,,3.9642
Cancer,CTABGAN,,50.2123
Cancer,CTGAN,,110.861512
Cancer,CopulaGAN,,134.275819
Cancer,ForestDiffusion,,3.9522
Cancer,GaussianCopula,,6.494969
Cancer,TVAE,,44.110818
Cancer,TabDDPM,,34.6458
Cancer,WGAN_GP,,6.3872
Concrete,CTABGAN,,3.3377
Concrete,CTGAN,5.018744814748363,
Concrete,CopulaGAN,6.507187039173957,
Concrete,ForestDiffusion,,0.9112
Concrete,GaussianCopula,3.68576914499426,
Concrete,TVAE,3.145877314034491,
Concrete,TabDDPM,,1.7551
Concrete,WGAN_GP,,3.6759
Energy,CTABGAN,,21021.1892
Energy,CTGAN,45637.72490186258,
Energy,CopulaGAN,51117.38255461063,
Energy,ForestDiffusion,,41.2109
Energy,GaussianCopula,21169.76852420071,
Energy,TVAE,18868.03098811942,
Energy,TabDDPM,,15946.4815
Energy,WGAN_GP,,23616.3467
ForestCover,CTABGAN,,63.0334
ForestCover,CTGAN,,387.984
ForestCover,CopulaGAN,,391.878
ForestCover,ForestDiffusion,10.21356345113765,10.3564
ForestCover,GaussianCopula,,283.6519
ForestCover,TVAE,,191.5824
ForestCover,TabDDPM,636.1192608076418,636.1656
ForestCover,WGAN_GP,,485.347
MAGIC,CTABGAN,1.864591197366024,1.9498
MAGIC,CTGAN,3.259152594267476,2.43384
MAGIC,CopulaGAN,2.898899999348318,2.200845
MAGIC,ForestDiffusion,1.307832354805954,1.432
MAGIC,GaussianCopula,2.29071670862113,1.948976
MAGIC,TVAE,1.871005046571554,1.25837
MAGIC,TabDDPM,4.284835835531674,4.5721
MAGIC,WGAN_GP,1.17739482499675,1.209
Metro,CTABGAN,2.433241937847617,
Metro,CTGAN,0.5035159578153979,
Metro,CopulaGAN,0.4004089346444876,
Metro,ForestDiffusion,0.2975506383791378,
Metro,GaussianCopula,27.57770093164357,
Metro,TVAE,0.2293317570974291,
Metro,TabDDPM,13.54874748944148,
Metro,WGAN_GP,3.055943100071951,
Mushroom,CTABGAN,,1.9831
Mushroom,CTGAN,0.4861690905004704,
Mushroom,CopulaGAN,0.5394674015084815,
Mushroom,ForestDiffusion,,0.6321
Mushroom,GaussianCopula,0.3940570978261434,
Mushroom,TVAE,0.4330184728020023,
Mushroom,TabDDPM,,9.3739
Mushroom,WGAN_GP,,1.1701
OnlineShop,CTABGAN,2.433241937847617,
OnlineShop,CTGAN,1.567793840720491,
OnlineShop,CopulaGAN,1.58151116938155,
OnlineShop,ForestDiffusion,1.816702233657161,
OnlineShop,GaussianCopula,1.587593292473918,
OnlineShop,TVAE,2.384211658479305,
OnlineShop,TabDDPM,5.638238186073312,
OnlineShop,WGAN_GP,3.055943100071951,
RealEstate,CTABGAN,,0.9013
RealEstate,CTGAN,16692.75223370301,
RealEstate,CopulaGAN,16693.83443314724,
RealEstate,ForestDiffusion,,0.0773
RealEstate,GaussianCopula,16693.55375105767,
RealEstate,TVAE,16693.78910852161,
RealEstate,TabDDPM,,0.9375
RealEstate,WGAN_GP,,1.4639
Wine,CTABGAN,,3.3377
Wine,CTGAN,14.60013448951508,
Wine,CopulaGAN,14.97249458978774,
Wine,ForestDiffusion,,1.6171
Wine,GaussianCopula,15.50733446018729,
Wine,TVAE,13.65101514825886,
Wine,TabDDPM,,5.4729
Wine,WGAN_GP,,3.6759
