Dataset,Generator,Hungarian,One-to-One Greedy
1. Cancer,CTGAN,,110.861512
1. Cancer,CopulaGAN,,134.275819
1. Cancer,TVAE,,44.110818
1. Cancer,GaussianCopula,,6.494969
1. Cancer,WGAN_GP,,6.3872
1. Cancer,CTABGAN,,50.2123
1. Cancer,TabDDPM,,34.6458
1. Cancer,ForestDiffusion,,3.9522
10. Metro interstate,CTGAN,0.5035159578153979,
10. Metro interstate,CopulaGAN,0.4004089346444876,
10. Metro interstate,TVAE,0.2293317570974291,
10. Metro interstate,GaussianCopula,27.57770093164357,
10. Metro interstate,WGAN_GP,3.055943100071951,
10. Metro interstate,CTABGAN,2.433241937847617,
10. Metro interstate,TabDDPM,13.54874748944148,
10. Metro interstate,ForestDiffusion,0.2975506383791378,
11. online shopping,CTGAN,1.567793840720491,
11. online shopping,CopulaGAN,1.58151116938155,
11. online shopping,TVAE,2.384211658479305,
11. online shopping,GaussianCopula,1.587593292473918,
11. online shopping,WGAN_GP,3.055943100071951,
11. online shopping,CTABGAN,2.433241937847617,
11. online shopping,TabDDPM,5.638238186073312,
11. online shopping,ForestDiffusion,1.816702233657161,
12. Air Quality,CTGAN,145.4258331068809,
12. Air Quality,CopulaGAN,42.25175791284352,
12. Air Quality,TVAE,20.60500284182482,
12. Air Quality,GaussianCopula,18.53194361248073,
12. Air Quality,WGAN_GP,,4.9184
12. Air Quality,CTABGAN,,9.2838
12. Air Quality,TabDDPM,,6.392
12. Air Quality,ForestDiffusion,,1.7287
13. Concrete Compressive Strength,CTGAN,5.018744814748363,
13. Concrete Compressive Strength,CopulaGAN,6.507187039173957,
13. Concrete Compressive Strength,TVAE,3.145877314034491,
13. Concrete Compressive Strength,GaussianCopula,3.68576914499426,
13. Concrete Compressive Strength,WGAN_GP,,3.6759
13. Concrete Compressive Strength,CTABGAN,,3.3377
13. Concrete Compressive Strength,TabDDPM,,1.7551
13. Concrete Compressive Strength,ForestDiffusion,,0.9112
14. Energy Efficiency,CTGAN,45637.72490186258,
14. Energy Efficiency,CopulaGAN,51117.38255461063,
14. Energy Efficiency,TVAE,18868.03098811942,
