dataset,generator,metric_category,metric_name,seed_42,seed_123,seed_2024,mean,sd,mean_sd,n_seeds,task
Adult,CTABGAN,Compute,evaluation_time_seconds,29.314164667855948,29.2826290470548,28.895566313061863,29.164120009324204,0.23310821452053698,29.1641 ± 0.233108,3,classification
Adult,CTABGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Adult,CTABGAN,Compute,total_time_seconds,652.4220287129283,649.1772371968254,643.9836334860884,648.5276331319474,4.256538215723936,648.528 ± 4.25654,3,classification
Adult,CTABGAN,Compute,training_time_seconds,623.0922574209981,619.8811222841032,615.0751315141097,619.349503739737,4.034915198521625,619.35 ± 4.03492,3,classification
Adult,CTGAN,Compute,evaluation_time_seconds,22.362211760133505,23.536369561217725,23.966569162905216,23.28838349475215,0.8304296995097777,23.2884 ± 0.83043,3,classification
Adult,CTGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Adult,CTGAN,Compute,total_time_seconds,681.8125435677357,675.8279928970151,677.94778385479,678.5294401065136,3.034378796225438,678.529 ± 3.03438,3,classification
Adult,CTGAN,Compute,training_time_seconds,659.4353320850059,652.2774233217351,653.9656772413291,655.2261442160234,3.7417238288719994,655.226 ± 3.74172,3,classification
Adult,CopulaGAN,Compute,evaluation_time_seconds,18.95854189433157,19.78731098724529,18.34837455721572,19.031409146264195,0.7222303924093204,19.0314 ± 0.72223,3,classification
Adult,CopulaGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Adult,CopulaGAN,Compute,total_time_seconds,668.6239154399373,668.5785039700568,670.200949144084,669.1344561846927,0.9238890489245057,669.134 ± 0.923889,3,classification
Adult,CopulaGAN,Compute,training_time_seconds,649.6499507999979,648.7774490485899,651.8400677791797,650.0891558759225,1.5778416258542034,650.089 ± 1.57784,3,classification
Adult,ForestDiffusion,Compute,evaluation_time_seconds,25.3681301237084,26.19516775291413,27.692678895778958,26.418658924133826,1.1782796680514978,26.4187 ± 1.17828,3,classification
Adult,ForestDiffusion,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Adult,ForestDiffusion,Compute,total_time_seconds,188.35621367907152,179.79537281906232,188.32762203598395,185.4930695113726,4.934370787515485,185.493 ± 4.93437,3,classification
Adult,ForestDiffusion,Compute,training_time_seconds,162.974297944922,153.5862343898043,160.619596993085,159.06004310927042,4.884474441137255,159.06 ± 4.88447,3,classification
Adult,GaussianCopula,Compute,evaluation_time_seconds,26.73019925504923,26.237828218843788,25.696289150975645,26.22143887495622,0.5171498658717423,26.2214 ± 0.51715,3,classification
Adult,GaussianCopula,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Adult,GaussianCopula,Compute,total_time_seconds,29.05453452281654,28.570663955062628,28.05557583086193,28.560258102913696,0.49956063533581685,28.5603 ± 0.499561,3,classification
Adult,GaussianCopula,Compute,training_time_seconds,2.310515312012285,2.3192961160093546,2.344012072775513,2.324607833599051,0.0173686212239702,2.32461 ± 0.0173686,3,classification
Adult,TVAE,Compute,evaluation_time_seconds,19.716460196767,20.54520790791139,20.566545121371743,20.276071075350046,0.48475465004569973,20.2761 ± 0.484755,3,classification
Adult,TVAE,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Adult,TVAE,Compute,total_time_seconds,96.29930744785815,97.8368848450482,97.53246399760246,97.2228854301696,0.8141960637019596,97.2229 ± 0.814196,3,classification
Adult,TVAE,Compute,training_time_seconds,76.56847836403176,77.27843861468136,76.95028849085793,76.93240182319035,0.35531794077389184,76.9324 ± 0.355318,3,classification
Adult,TabDDPM,Compute,evaluation_time_seconds,20.76300665503368,21.31481147836893,21.05464721377939,21.044155115727335,0.2760519948400336,21.0442 ± 0.276052,3,classification
Adult,TabDDPM,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Adult,TabDDPM,Compute,total_time_seconds,71.70415057009086,72.26295636687428,73.2440051608719,72.40370403261234,0.77951617638468,72.4037 ± 0.779516,3,classification
Adult,TabDDPM,Compute,training_time_seconds,50.92869615089148,50.932523084338754,52.1743246759288,51.34518130371968,0.7180617731878214,51.3452 ± 0.718062,3,classification
Adult,WGAN_GP,Compute,evaluation_time_seconds,28.78243308980018,28.76520193973556,27.799734736792743,28.449123255442828,0.5624529440309215,28.4491 ± 0.562453,3,classification
Adult,WGAN_GP,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Adult,WGAN_GP,Compute,total_time_seconds,303.2849325458519,314.30406087171286,300.36425495380536,305.98441612379,7.351527456787502,305.984 ± 7.35153,3,classification
Adult,WGAN_GP,Compute,training_time_seconds,274.4898052159697,285.5224034120329,272.5519531480968,277.5213872586998,6.996500001691028,277.521 ± 6.9965,3,classification
Alzheimers,CTABGAN,Compute,evaluation_time_seconds,4.462186658056453,4.37289644498378,4.383989457972348,4.406357520337527,0.04866655112210259,4.40636 ± 0.0486666,3,classification
Alzheimers,CTABGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Alzheimers,CTABGAN,Compute,total_time_seconds,43.41830628691241,43.14922354603186,43.22345015103929,43.26365999466119,0.13897483226476795,43.2637 ± 0.138975,3,classification
Alzheimers,CTABGAN,Compute,training_time_seconds,38.9442191820126,38.76553659909405,38.829272442962974,38.846342741356544,0.09055612996945929,38.8463 ± 0.0905561,3,classification
Alzheimers,CTGAN,Compute,evaluation_time_seconds,4.161934476112947,4.074735725997016,4.076240465044975,4.104303555718313,0.04991551160761665,4.1043 ± 0.0499155,3,classification
Alzheimers,CTGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Alzheimers,CTGAN,Compute,total_time_seconds,37.02561031584628,36.974268415011466,36.83156414609402,36.943814292317256,0.10054386699688106,36.9438 ± 0.100544,3,classification
Alzheimers,CTGAN,Compute,training_time_seconds,32.73505255091004,32.88913309411146,32.74515941017307,32.78978168506486,0.08618911770461135,32.7898 ± 0.0861891,3,classification
Alzheimers,CopulaGAN,Compute,evaluation_time_seconds,4.123214832972735,4.050322403199971,4.185955327004194,4.1198308543923,0.067879753890208,4.11983 ± 0.0678798,3,classification
Alzheimers,CopulaGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Alzheimers,CopulaGAN,Compute,total_time_seconds,37.356983623001724,36.99619964603335,37.3053615251556,37.219514931396894,0.19511150082519269,37.2195 ± 0.195112,3,classification
Alzheimers,CopulaGAN,Compute,training_time_seconds,33.223739153007045,32.93583711795509,33.10934106097557,33.0896391106459,0.14495868577584103,33.0896 ± 0.144959,3,classification
Alzheimers,ForestDiffusion,Compute,evaluation_time_seconds,3.823541722958908,3.689114676089957,3.728653565049171,3.747103321366012,0.0690865606582778,3.7471 ± 0.0690866,3,classification
Alzheimers,ForestDiffusion,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Alzheimers,ForestDiffusion,Compute,total_time_seconds,6.379699721001089,4.841795132961124,4.866431330097839,5.362642061353351,0.8808839014526489,5.36264 ± 0.880884,3,classification
Alzheimers,ForestDiffusion,Compute,training_time_seconds,2.5459397700615227,1.1411611859221011,1.1268645317759365,1.6046551625865202,0.8152077237011258,1.60466 ± 0.815208,3,classification
Alzheimers,GaussianCopula,Compute,evaluation_time_seconds,4.010792660992593,4.021398341050372,4.008904603077099,4.013698535040021,0.006734719750727926,4.0137 ± 0.00673472,3,classification
Alzheimers,GaussianCopula,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Alzheimers,GaussianCopula,Compute,total_time_seconds,4.476167932152748,4.479076204122976,4.475019600009546,4.476754578761756,0.0020909626768958927,4.47675 ± 0.00209096,3,classification
Alzheimers,GaussianCopula,Compute,training_time_seconds,0.454890307970345,0.4473611500579864,0.4559504950884729,0.45273398437226814,0.004683109074952605,0.452734 ± 0.00468311,3,classification
Alzheimers,TVAE,Compute,evaluation_time_seconds,3.608078077202663,3.641380964079872,3.689304483123124,3.6462545081352196,0.040831921684307805,3.64625 ± 0.0408319,3,classification
Alzheimers,TVAE,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Alzheimers,TVAE,Compute,total_time_seconds,8.049164606956765,8.066062066005543,8.502229867037386,8.205818846666565,0.25683847215425065,8.20582 ± 0.256838,3,classification
Alzheimers,TVAE,Compute,training_time_seconds,4.430929583963007,4.413788818987086,4.801659080898389,4.548792494616161,0.2191565292194387,4.54879 ± 0.219157,3,classification
Alzheimers,TabDDPM,Compute,evaluation_time_seconds,3.672167156124488,3.700495629804209,3.64894324191846,3.673868675949052,0.02581827940560169,3.67387 ± 0.0258183,3,classification
Alzheimers,TabDDPM,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Alzheimers,TabDDPM,Compute,total_time_seconds,23.592009072192013,23.65701805311255,23.60003789095208,23.61635500541888,0.03544330780942645,23.6164 ± 0.0354433,3,classification
Alzheimers,TabDDPM,Compute,training_time_seconds,19.90962187689729,19.93851926201023,19.93932082084939,19.929153986585636,0.01692005040776651,19.9292 ± 0.0169201,3,classification
Alzheimers,WGAN_GP,Compute,evaluation_time_seconds,7.795567374676466,6.952770674135536,7.674720340874046,7.474352796562016,0.45572681972964296,7.47435 ± 0.455727,3,classification
Alzheimers,WGAN_GP,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Alzheimers,WGAN_GP,Compute,total_time_seconds,19.919721561018378,18.992173715028912,20.05614069616422,19.65601199073717,0.5789330594550375,19.656 ± 0.578933,3,classification
Alzheimers,WGAN_GP,Compute,training_time_seconds,11.941902108956128,12.02736787777394,12.369029338937253,12.112766441889107,0.22600686651634339,12.1128 ± 0.226007,3,classification
Cancer,CTABGAN,Compute,evaluation_time_seconds,7.194641651818529,7.029785206075758,6.867869935929775,7.030765597941354,0.1633880639838102,7.03077 ± 0.163388,3,classification
Cancer,CTABGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3,classification
Cancer,CTABGAN,Compute,total_time_seconds,49.1010600537993,48.32366614486091,48.33155463892035,48.585426945860185,0.44656878931116994,48.5854 ± 0.446569,3,classification
