dataset,generator,metric_category,metric_name,seed_42,seed_123,seed_2024,mean,sd,mean_sd,n_seeds,task
Adult,CTABGAN,Privacy,MIA_AUC,0.5339506172839505,0.6732098765432101,0.4937037037037037,0.566954732510288,0.09419432168807582,0.566955 ± 0.0941943,3,classification
Adult,CTABGAN,Privacy,Mahalanobis_Distance,3.880844107606742,3.9145058397679353,3.7382892743023897,3.844546407225689,0.09354791165938849,3.84455 ± 0.0935479,3,classification
Adult,CTABGAN,Privacy,Mean_Distance,3.880844107606742,3.9145058397679353,3.7382892743023897,3.844546407225689,0.09354791165938849,3.84455 ± 0.0935479,3,classification
Adult,CTABGAN,Privacy,Median_Distance,3.633841066628912,3.6915754175608138,3.5503103974624874,3.625242293884071,0.07102397936882443,3.62524 ± 0.071024,3,classification
Adult,CTABGAN,Privacy,NNDR,0.8473105426765587,0.8573446334092896,0.8497525428329902,0.8514692396396129,0.005232688616052953,0.851469 ± 0.00523269,3,classification
Adult,CTGAN,Privacy,MIA_AUC,0.6348148148148148,0.581604938271605,0.6374074074074074,0.6179423868312758,0.03149584115336231,0.617942 ± 0.0314958,3,classification
Adult,CTGAN,Privacy,Mahalanobis_Distance,4.010773724726963,3.8946444460526695,3.88612264352469,3.9305136047681075,0.06963778013003362,3.93051 ± 0.0696378,3,classification
Adult,CTGAN,Privacy,Mean_Distance,4.010773724726963,3.8946444460526695,3.88612264352469,3.9305136047681075,0.06963778013003362,3.93051 ± 0.0696378,3,classification
Adult,CTGAN,Privacy,Median_Distance,3.884827247174535,3.7477542378578383,3.8611204286776815,3.831233971236685,0.07326085397102043,3.83123 ± 0.0732609,3,classification
Adult,CTGAN,Privacy,NNDR,0.8740941014509749,0.870007724262842,0.8687290736151813,0.870943633109666,0.002802289233266747,0.870944 ± 0.00280229,3,classification
Adult,CopulaGAN,Privacy,MIA_AUC,0.5925925925925927,0.6212345679012345,0.6141975308641975,0.6093415637860082,0.014925682550341077,0.609342 ± 0.0149257,3,classification
Adult,CopulaGAN,Privacy,Mahalanobis_Distance,3.916836208254596,3.911163079314645,3.887794010848937,3.9052644328060597,0.015393434656120716,3.90526 ± 0.0153934,3,classification
Adult,CopulaGAN,Privacy,Mean_Distance,3.916836208254596,3.911163079314645,3.887794010848937,3.9052644328060597,0.015393434656120716,3.90526 ± 0.0153934,3,classification
Adult,CopulaGAN,Privacy,Median_Distance,3.7594132675216017,3.6789565353989184,3.7063430441747856,3.714904282365102,0.04090589854139376,3.7149 ± 0.0409059,3,classification
Adult,CopulaGAN,Privacy,NNDR,0.8575487630563318,0.8661627705516632,0.8550074365758799,0.8595729900612916,0.005846664882950224,0.859573 ± 0.00584666,3,classification
Adult,ForestDiffusion,Privacy,MIA_AUC,0.9748148148148148,0.9845679012345678,0.9780246913580248,0.9791358024691359,0.004970573367703014,0.979136 ± 0.00497057,3,classification
Adult,ForestDiffusion,Privacy,Mahalanobis_Distance,3.76977846597004,3.994268145287562,4.000906462804443,3.9216510246873484,0.1315673682315279,3.92165 ± 0.131567,3,classification
Adult,ForestDiffusion,Privacy,Mean_Distance,3.76977846597004,3.994268145287562,4.000906462804443,3.9216510246873484,0.1315673682315279,3.92165 ± 0.131567,3,classification
Adult,ForestDiffusion,Privacy,Median_Distance,3.518448865678186,3.754260392691573,3.715995812041888,3.662901690137215,0.12655436935845996,3.6629 ± 0.126554,3,classification
Adult,ForestDiffusion,Privacy,NNDR,0.925411070314434,0.924278967430891,0.9387482527160764,0.9294794301538004,0.008046969491861409,0.929479 ± 0.00804697,3,classification
Adult,GaussianCopula,Privacy,MIA_AUC,0.8920987654320988,0.8920987654320988,0.8920987654320988,0.8920987654320988,0.0,0.892099 ± 0,3,classification
Adult,GaussianCopula,Privacy,Mahalanobis_Distance,6.035120695544071,6.035120695544071,6.035120695544071,6.03512069554407,1.0877919644084146e-15,6.03512 ± 1.08779e-15,3,classification
Adult,GaussianCopula,Privacy,Mean_Distance,6.035120695544071,6.035120695544071,6.035120695544071,6.03512069554407,1.0877919644084146e-15,6.03512 ± 1.08779e-15,3,classification
Adult,GaussianCopula,Privacy,Median_Distance,5.152309420905769,5.152309420905769,5.152309420905769,5.152309420905769,0.0,5.15231 ± 0,3,classification
Adult,GaussianCopula,Privacy,NNDR,0.9317307246967576,0.9317307246967576,0.9317307246967576,0.9317307246967576,0.0,0.931731 ± 0,3,classification
Adult,TVAE,Privacy,MIA_AUC,0.9998765432098766,0.9998765432098766,1.0,0.999917695473251,7.127781101101907e-05,0.999918 ± 7.12778e-05,3,classification
Adult,TVAE,Privacy,Mahalanobis_Distance,5.9077678820974375,6.161162661901477,6.093356896816175,6.05409581360503,0.13118042193547305,6.0541 ± 0.13118,3,classification
Adult,TVAE,Privacy,Mean_Distance,5.9077678820974375,6.161162661901477,6.093356896816175,6.05409581360503,0.13118042193547305,6.0541 ± 0.13118,3,classification
Adult,TVAE,Privacy,Median_Distance,5.85975622905528,6.101836347128684,6.064765438684303,6.008786004956089,0.1303877626236716,6.00879 ± 0.130388,3,classification
Adult,TVAE,Privacy,NNDR,0.9336923684539664,0.9288220452758474,0.9354996441141278,0.9326713526146473,0.00345390164442421,0.932671 ± 0.0034539,3,classification
Adult,TabDDPM,Privacy,MIA_AUC,1.0,1.0,1.0,1.0,0.0,1 ± 0,3,classification
Adult,TabDDPM,Privacy,Mahalanobis_Distance,15.322880749198443,15.141939325281662,14.803133028260527,15.089317700913545,0.26383934480739213,15.0893 ± 0.263839,3,classification
Adult,TabDDPM,Privacy,Mean_Distance,15.322880749198443,15.141939325281662,14.803133028260527,15.089317700913545,0.26383934480739213,15.0893 ± 0.263839,3,classification
Adult,TabDDPM,Privacy,Median_Distance,15.139021421038606,15.217110347385727,15.273354273181845,15.209828680535393,0.06746180990251986,15.2098 ± 0.0674618,3,classification
Adult,TabDDPM,Privacy,NNDR,0.9589734409309054,0.9449177774055368,0.9475174965825716,0.9504695716396713,0.007478400874629339,0.95047 ± 0.0074784,3,classification
Adult,WGAN_GP,Privacy,MIA_AUC,0.5814814814814815,0.5499999999999999,0.6058024691358024,0.5790946502057612,0.027977698494821072,0.579095 ± 0.0279777,3,classification
Adult,WGAN_GP,Privacy,Mahalanobis_Distance,3.512806181804062,3.427104000877675,3.530409125599688,3.4901064360938086,0.0552670429816929,3.49011 ± 0.055267,3,classification
Adult,WGAN_GP,Privacy,Mean_Distance,3.512806181804062,3.427104000877675,3.530409125599688,3.4901064360938086,0.0552670429816929,3.49011 ± 0.055267,3,classification
Adult,WGAN_GP,Privacy,Median_Distance,3.3263273193321856,3.2563637687379354,3.276417762985531,3.2863696170185506,0.03602782469091699,3.28637 ± 0.0360278,3,classification
