dataset,generator,metric_category,metric_name,seed_42,seed_123,seed_2024,mean,sd,mean_sd,n_seeds,task
Adult,CTABGAN,Utility,Accuracy_Gap,0.0456000000000001,0.0535500000000002,0.0649000000000001,0.054683333333333466,0.009699785220989854,0.0546833 ± 0.00969979,3,classification
Adult,CTABGAN,Utility,Accuracy_TRTR,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.0,0.8237 ± 0,3,classification
Adult,CTABGAN,Utility,Accuracy_TSTR,0.7781,0.77015,0.7588,0.7690166666666666,0.009699785220989852,0.769017 ± 0.00969979,3,classification
Adult,CTABGAN,Utility,F1_Gap,0.046066113959523,0.0438025264865373,0.072075208628337,0.0539812830247991,0.01571061949356987,0.0539813 ± 0.0157106,3,classification
Adult,CTABGAN,Utility,F1_TRTR,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152697,1.3597399555105182e-16,0.817902 ± 1.35974e-16,3,classification
Adult,CTABGAN,Utility,F1_TSTR,0.7718356648557467,0.7740992523287324,0.7458265701869328,0.7639204957904706,0.015710619493569854,0.76392 ± 0.0157106,3,classification
Adult,CTABGAN,Utility,Precision_Gap,0.035517058882533,0.0342013132314309,0.0480904065707767,0.03926959289491353,0.0076673243105283805,0.0392696 ± 0.00766732,3,classification
Adult,CTABGAN,Utility,Precision_TRTR,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.0,0.819985 ± 0,3,classification
Adult,CTABGAN,Utility,Precision_TSTR,0.7844683305787269,0.785784076229829,0.7718949828904832,0.7807157965663464,0.007667324310528397,0.780716 ± 0.00766732,3,classification
Adult,CTABGAN,Utility,ROC_AUC_Gap,0.0419985303148749,0.0540522262130596,0.0640940115570276,0.053381589361654026,0.01106299634685051,0.0533816 ± 0.011063,3,classification
Adult,CTABGAN,Utility,ROC_AUC_TRTR,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.0,0.829788 ± 0,3,classification
Adult,CTABGAN,Utility,ROC_AUC_TSTR,0.7877889940356115,0.7757352981374269,0.7656935127934589,0.7764059349888325,0.011062996346850493,0.776406 ± 0.011063,3,classification
Adult,CTABGAN,Utility,Recall_Gap,0.0456000000000001,0.0535500000000002,0.0649000000000001,0.054683333333333466,0.009699785220989854,0.0546833 ± 0.00969979,3,classification
Adult,CTABGAN,Utility,Recall_TRTR,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.0,0.8237 ± 0,3,classification
Adult,CTABGAN,Utility,Recall_TSTR,0.7781,0.77015,0.7588,0.7690166666666666,0.009699785220989852,0.769017 ± 0.00969979,3,classification
Adult,CTGAN,Utility,Accuracy_Gap,0.0261500000000001,0.0311000000000001,0.0309166666666669,0.029388888888889034,0.002806457500783489,0.0293889 ± 0.00280646,3,classification
Adult,CTGAN,Utility,Accuracy_TRTR,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.0,0.8237 ± 0,3,classification
Adult,CTGAN,Utility,Accuracy_TSTR,0.7975500000000001,0.7926000000000001,0.7927833333333333,0.7943111111111111,0.002806457500783494,0.794311 ± 0.00280646,3,classification
