dataset,generator,seed,status,start_time,end_time,error
cancer,CTGAN,42,SUCCESS,2026-09-12T15:22:55.495166+00:00,2026-09-12T15:24:12.934609+00:00,
cancer,CTGAN,42,SKIPPED,2026-09-12T15:24:35.600444+00:00,2026-09-12T15:24:35.600457+00:00,
cancer,CTGAN,123,SUCCESS,2026-09-12T15:24:12.936457+00:00,2026-09-12T15:25:29.490528+00:00,
cancer,CTGAN,123,SUCCESS,2026-09-12T15:24:35.602359+00:00,2026-09-12T15:25:57.450659+00:00,
cancer,CTGAN,2024,SUCCESS,2026-09-12T15:25:29.492597+00:00,2026-09-12T15:26:47.424199+00:00,
cancer,CTGAN,2024,SUCCESS,2026-09-12T15:25:57.453012+00:00,2026-09-12T15:27:14.524149+00:00,
cancer,CTGAN,42,SUCCESS,2026-09-12T15:28:05.216507+00:00,2026-09-12T15:29:23.687847+00:00,
cancer,CTGAN,42,SKIPPED,2026-09-12T15:47:45.309087+00:00,2026-09-12T15:47:45.309100+00:00,
cancer,CTGAN,123,SKIPPED,2026-09-12T15:47:45.332252+00:00,2026-09-12T15:47:45.332262+00:00,
cancer,CTGAN,2024,SKIPPED,2026-09-12T15:47:45.353971+00:00,2026-09-12T15:47:45.353979+00:00,
cancer,CopulaGAN,42,SUCCESS,2026-09-12T15:47:45.374275+00:00,2026-09-12T15:49:06.123683+00:00,
cancer,CopulaGAN,123,SUCCESS,2026-09-12T15:49:06.146490+00:00,2026-09-12T15:50:22.809988+00:00,
cancer,CopulaGAN,2024,SUCCESS,2026-09-12T15:50:22.844838+00:00,2026-09-12T15:51:39.219390+00:00,
cancer,TVAE,42,SUCCESS,2026-09-12T15:51:39.242263+00:00,2026-09-12T15:51:58.239938+00:00,
cancer,TVAE,123,SUCCESS,2026-09-12T15:51:58.261391+00:00,2026-09-12T15:52:17.007076+00:00,
cancer,TVAE,2024,SUCCESS,2026-09-12T15:52:17.030353+00:00,2026-09-12T15:52:35.958782+00:00,
cancer,GaussianCopula,42,SUCCESS,2026-09-12T15:52:35.979323+00:00,2026-09-12T15:52:44.509366+00:00,
cancer,GaussianCopula,123,SUCCESS,2026-09-12T15:52:44.530734+00:00,2026-09-12T15:52:53.062796+00:00,
cancer,GaussianCopula,2024,SUCCESS,2026-09-12T15:52:53.084897+00:00,2026-09-12T15:53:01.675384+00:00,
cancer,CTABGAN,42,SUCCESS,2026-09-12T15:53:01.696240+00:00,2026-09-12T15:53:50.829015+00:00,
