dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Fidelity,Quality_Score,0.7746139583333334
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Fidelity,KS_Complement,0.5660499999999999
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Fidelity,Wasserstein_Distance,1129.2552706521587
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Fidelity,MMD,0.020315743944632425
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,Accuracy_TRTR,0.8237000000000002
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,Accuracy_TSTR,0.77015
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,Accuracy_Gap,0.05355000000000021
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,F1_TRTR,0.8179017788152698
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,F1_TSTR,0.7740992523287324
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,F1_Gap,0.043802526486537374
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,Precision_TRTR,0.81998538946126
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,Precision_TSTR,0.785784076229829
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,Precision_Gap,0.03420131323143094
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,Recall_TRTR,0.8237000000000002
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,Recall_TSTR,0.77015
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,Recall_Gap,0.05355000000000021
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,ROC_AUC_TRTR,0.8297875243504865
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,ROC_AUC_TSTR,0.7757352981374269
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Utility,ROC_AUC_Gap,0.054052226213059607
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Privacy,Mahalanobis_Distance,3.9145058397679353
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Privacy,Mean_Distance,3.9145058397679353
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Privacy,Median_Distance,3.6915754175608138
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Privacy,NNDR,0.8573446334092896
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Privacy,MIA_AUC,0.6732098765432101
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Compute,training_time_seconds,619.8811222841032
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Compute,generation_time_seconds,0.0
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Compute,evaluation_time_seconds,29.282629047054797
Adult,adult,CTABGAN,123,42,10000,8000,2000,classification,619.8811222841032,0.0,29.282629047054797,649.1772371968254,Compute,total_time_seconds,649.1772371968254
