dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Fidelity,Quality_Score,0.3487251543861472
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Fidelity,KS_Complement,0.7554615855524947
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Fidelity,Wasserstein_Distance,30.86314151309494
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Fidelity,MMD,0.037776113694430236
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,Accuracy_TRTR,0.9258771929824562
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,Accuracy_TSTR,0.7986842105263159
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,Accuracy_Gap,0.1271929824561403
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,F1_TRTR,0.9258098934736717
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,F1_TSTR,0.7946904041762132
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,F1_Gap,0.13111948929745854
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,Precision_TRTR,0.9271394000040216
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,Precision_TSTR,0.8102623445415175
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,Precision_Gap,0.11687705546250415
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,Recall_TRTR,0.9258771929824562
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,Recall_TSTR,0.7986842105263159
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,Recall_Gap,0.1271929824561403
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,ROC_AUC_TRTR,0.9350427350427352
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,ROC_AUC_TSTR,0.8438207438207439
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Utility,ROC_AUC_Gap,0.09122199122199126
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Privacy,Mahalanobis_Distance,7.776142805656382
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Privacy,Mean_Distance,7.776142805656382
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Privacy,Median_Distance,6.596797152250179
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Privacy,NNDR,0.9110426855375581
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Privacy,MIA_AUC,0.6561797752808989
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Compute,training_time_seconds,38.76553659909405
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Compute,generation_time_seconds,0.0
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Compute,evaluation_time_seconds,4.37289644498378
Alzheimers,alzhimers,CTABGAN,123,42,1000,297,76,classification,38.76553659909405,0.0,4.37289644498378,43.14922354603186,Compute,total_time_seconds,43.14922354603186
