dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Fidelity,Quality_Score,0.7450075646352277
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Fidelity,KS_Complement,0.8291802877257421
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Fidelity,Wasserstein_Distance,22.166198464954917
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Fidelity,MMD,0.05722103362658393
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,Accuracy_TRTR,0.9258771929824562
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,Accuracy_TSTR,0.8925438596491228
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,Accuracy_Gap,0.03333333333333344
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,F1_TRTR,0.9258098934736717
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,F1_TSTR,0.8912365347833388
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,F1_Gap,0.034573358690332956
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,Precision_TRTR,0.9271394000040216
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,Precision_TSTR,0.9017393276065085
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,Precision_Gap,0.025400072397513074
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,Recall_TRTR,0.9258771929824562
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,Recall_TSTR,0.8925438596491228
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,Recall_Gap,0.03333333333333344
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,ROC_AUC_TRTR,0.9350427350427352
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,ROC_AUC_TSTR,0.9112497112497112
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Utility,ROC_AUC_Gap,0.02379302379302395
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Privacy,Mahalanobis_Distance,5.567999816682139
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Privacy,Mean_Distance,5.567999816682139
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Privacy,Median_Distance,4.909048364282695
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Privacy,NNDR,0.876939634593074
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Privacy,MIA_AUC,0.8274656679151061
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Compute,training_time_seconds,4.413788818987086
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Compute,generation_time_seconds,0.0
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Compute,evaluation_time_seconds,3.6413809640798718
Alzheimers,alzhimers,TVAE,123,42,1000,297,76,classification,4.413788818987086,0.0,3.6413809640798718,8.066062066005543,Compute,total_time_seconds,8.066062066005543
