dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Fidelity,Quality_Score,0.5001172102477994
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Fidelity,KS_Complement,0.7871533516988063
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Fidelity,Wasserstein_Distance,42.28957024754322
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Fidelity,MMD,0.058639924344832006
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,Accuracy_TRTR,0.9258771929824562
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,Accuracy_TSTR,0.6346491228070174
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,Accuracy_Gap,0.29122807017543884
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,F1_TRTR,0.9258098934736717
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,F1_TSTR,0.59764670220873
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,F1_Gap,0.32816319126494176
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,Precision_TRTR,0.9271394000040216
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,Precision_TSTR,0.73572024779651
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,Precision_Gap,0.1914191522075116
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,Recall_TRTR,0.9258771929824562
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,Recall_TSTR,0.6346491228070174
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,Recall_Gap,0.29122807017543884
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,ROC_AUC_TRTR,0.9350427350427352
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,ROC_AUC_TSTR,0.7631901131901131
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Utility,ROC_AUC_Gap,0.17185262185262207
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Privacy,Mahalanobis_Distance,4.660612630077525
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Privacy,Mean_Distance,4.660612630077525
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Privacy,Median_Distance,4.457611788092494
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Privacy,NNDR,0.9168640749075219
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Privacy,MIA_AUC,0.9263420724094881
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Compute,training_time_seconds,12.02736787777394
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Compute,generation_time_seconds,0.0
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Compute,evaluation_time_seconds,6.952770674135536
Alzheimers,alzhimers,WGAN_GP,123,42,1000,297,76,classification,12.02736787777394,0.0,6.952770674135536,18.992173715028912,Compute,total_time_seconds,18.992173715028912
