dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Fidelity,Quality_Score,
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Fidelity,KS_Complement,0.7087820512820514
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Fidelity,Wasserstein_Distance,23.614010534310435
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Fidelity,MMD,0.19719441925373965
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Accuracy_TRTR,0.9581871345029239
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Accuracy_TSTR,0.4812865497076023
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Accuracy_Gap,0.4769005847953216
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,F1_TRTR,0.9579899186677385
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,F1_TSTR,0.45370070490289366
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,F1_Gap,0.5042892137648449
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Precision_TRTR,0.9585588829450999
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Precision_TSTR,0.4445833998769507
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Precision_Gap,0.5139754830681492
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Recall_TRTR,0.9581871345029239
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Recall_TSTR,0.4812865497076023
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Recall_Gap,0.4769005847953216
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,Mahalanobis_Distance,114.52455028772721
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,Mean_Distance,114.52455028772721
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,Median_Distance,102.09025171792766
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,NNDR,0.9814815461578581
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,MIA_AUC,0.991111111111111
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Compute,training_time_seconds,76.60656310198829
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Compute,generation_time_seconds,0.0
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Compute,evaluation_time_seconds,5.222942436113954
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Compute,total_time_seconds,81.83954001800157
