dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Fidelity,Quality_Score,0.9311545523686421
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Fidelity,KS_Complement,0.9201659340659342
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Fidelity,Wasserstein_Distance,3.709511765923111
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Fidelity,MMD,0.01731580592682591
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,Accuracy_TRTR,0.9581871345029239
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,Accuracy_TSTR,0.7973684210526314
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,Accuracy_Gap,0.16081871345029253
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,F1_TRTR,0.9579899186677385
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,F1_TSTR,0.7917795905744778
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,F1_Gap,0.16621032809326075
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,Precision_TRTR,0.9585588829450999
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,Precision_TSTR,0.8081539513676576
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,Precision_Gap,0.1504049315774424
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,Recall_TRTR,0.9581871345029239
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,Recall_TSTR,0.7973684210526314
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,Recall_Gap,0.16081871345029253
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,ROC_AUC_TRTR,0.9709325396825398
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,ROC_AUC_TSTR,0.8775407848324516
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Utility,ROC_AUC_Gap,0.09339175485008822
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Privacy,Mahalanobis_Distance,8.619195541629859
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Privacy,Mean_Distance,8.619195541629859
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Privacy,Median_Distance,7.851049455002814
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Privacy,NNDR,0.9227251695953393
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Privacy,MIA_AUC,0.7532098765432098
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Compute,training_time_seconds,1.5202188021503389
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Compute,generation_time_seconds,0.0
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Compute,evaluation_time_seconds,6.9717664970085025
Cancer,cancer,GaussianCopula,123,42,1000,455,114,classification,1.5202188021503389,0.0,6.9717664970085025,8.502441610908136,Compute,total_time_seconds,8.502441610908136
