dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Fidelity,Quality_Score,0.8874614583333333
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Fidelity,KS_Complement,0.9374125000000001
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Fidelity,Wasserstein_Distance,1231.092566666666
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Fidelity,MMD,0.00986848079861824
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,Accuracy_TRTR,0.8237000000000002
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,Accuracy_TSTR,0.7852833333333333
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,Accuracy_Gap,0.03841666666666688
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,F1_TRTR,0.8179017788152698
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,F1_TSTR,0.7689398763458882
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,F1_Gap,0.04896190246938159
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,Precision_TRTR,0.81998538946126
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,Precision_TSTR,0.7727426923970628
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,Precision_Gap,0.04724269706419715
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,Recall_TRTR,0.8237000000000002
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,Recall_TSTR,0.7852833333333333
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,Recall_Gap,0.03841666666666688
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,ROC_AUC_TRTR,0.8297875243504865
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,ROC_AUC_TSTR,0.7743071842363741
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Utility,ROC_AUC_Gap,0.0554803401141124
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Privacy,Mahalanobis_Distance,3.887794010848937
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Privacy,Mean_Distance,3.887794010848937
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Privacy,Median_Distance,3.7063430441747856
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Privacy,NNDR,0.8550074365758799
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Privacy,MIA_AUC,0.6141975308641975
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Compute,training_time_seconds,651.8400677791797
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Compute,generation_time_seconds,0.0
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Compute,evaluation_time_seconds,18.34837455721572
Adult,adult,CopulaGAN,2024,42,10000,8000,2000,classification,651.8400677791797,0.0,18.34837455721572,670.200949144084,Compute,total_time_seconds,670.200949144084
