dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Fidelity,Quality_Score,0.7083796590482117
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Fidelity,KS_Complement,0.8538028772574225
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Fidelity,Wasserstein_Distance,36.2135100988714
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Fidelity,MMD,0.06923247050419029
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,Accuracy_TRTR,0.9258771929824562
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,Accuracy_TSTR,0.3868421052631579
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,Accuracy_Gap,0.5390350877192983
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,F1_TRTR,0.9258098934736717
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,F1_TSTR,0.3847320767309596
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,F1_Gap,0.5410778167427122
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,Precision_TRTR,0.9271394000040216
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,Precision_TSTR,0.3861546081889465
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,Precision_Gap,0.5409847918150752
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,Recall_TRTR,0.9258771929824562
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,Recall_TSTR,0.3868421052631579
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,Recall_Gap,0.5390350877192983
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,ROC_AUC_TRTR,0.9350427350427352
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,ROC_AUC_TSTR,0.366990066990067
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Utility,ROC_AUC_Gap,0.5680526680526682
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Privacy,Mahalanobis_Distance,14.783780694442227
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Privacy,Mean_Distance,14.783780694442227
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Privacy,Median_Distance,12.59008331433634
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Privacy,NNDR,0.9435383467133823
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Privacy,MIA_AUC,0.9031210986267165
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Compute,training_time_seconds,32.74515941017307
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Compute,generation_time_seconds,0.0
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Compute,evaluation_time_seconds,4.076240465044975
Alzheimers,alzhimers,CTGAN,2024,42,1000,297,76,classification,32.74515941017307,0.0,4.076240465044975,36.831564146094024,Compute,total_time_seconds,36.831564146094024
