dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Fidelity,Quality_Score,0.8770223267296193
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Fidelity,KS_Complement,0.8625749999999999
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Fidelity,Wasserstein_Distance,49.83379285714292
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Fidelity,MMD,0.015634520429114174
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,Accuracy_TRTR,0.8798166666666666
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,Accuracy_TSTR,0.8571500000000001
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,Accuracy_Gap,0.022666666666666502
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,F1_TRTR,0.869294797537779
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,F1_TSTR,0.8382714084184231
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,F1_Gap,0.031023389119355982
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,Precision_TRTR,0.8680007748575592
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,Precision_TSTR,0.8465709086973869
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,Precision_Gap,0.021429866160172284
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,Recall_TRTR,0.8798166666666666
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,Recall_TSTR,0.8571500000000001
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,Recall_Gap,0.022666666666666502
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,ROC_AUC_TRTR,0.8238983547957669
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,ROC_AUC_TSTR,0.7225791955538677
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Utility,ROC_AUC_Gap,0.10131915924189916
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Privacy,Mahalanobis_Distance,4.548948101163686
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Privacy,Mean_Distance,4.548948101163686
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Privacy,Median_Distance,4.0736748637121085
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Privacy,NNDR,0.8674639234481877
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Privacy,MIA_AUC,0.6292592592592593
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Compute,training_time_seconds,128.9662477769889
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Compute,generation_time_seconds,0.0
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Compute,evaluation_time_seconds,21.54110778775066
Bank,bank,CopulaGAN,2024,42,10000,8000,2000,classification,128.9662477769889,0.0,21.54110778775066,150.51999803073704,Compute,total_time_seconds,150.51999803073704
