dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Fidelity,Quality_Score,0.8082037499999999
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Fidelity,KS_Complement,0.6734874999999999
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Fidelity,Wasserstein_Distance,6123.518841666665
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Fidelity,MMD,0.18072113151197605
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,Accuracy_TRTR,0.8237000000000002
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,Accuracy_TSTR,0.7316666666666668
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,Accuracy_Gap,0.09203333333333341
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,F1_TRTR,0.8179017788152698
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,F1_TSTR,0.6695774047910626
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,F1_Gap,0.14832437402420717
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,Precision_TRTR,0.81998538946126
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,Precision_TSTR,0.7388211564309292
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,Precision_Gap,0.08116423303033082
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,Recall_TRTR,0.8237000000000002
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,Recall_TSTR,0.7316666666666668
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,Recall_Gap,0.09203333333333341
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,ROC_AUC_TRTR,0.8297875243504865
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,ROC_AUC_TSTR,0.7066001891547626
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Utility,ROC_AUC_Gap,0.12318733519572389
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Privacy,Mahalanobis_Distance,6.035120695544071
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Privacy,Mean_Distance,6.035120695544071
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Privacy,Median_Distance,5.152309420905769
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Privacy,NNDR,0.9317307246967577
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Privacy,MIA_AUC,0.8920987654320988
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Compute,training_time_seconds,2.310515312012285
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Compute,generation_time_seconds,0.0
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Compute,evaluation_time_seconds,26.73019925504923
Adult,adult,GaussianCopula,42,42,10000,8000,2000,classification,2.310515312012285,0.0,26.73019925504923,29.05453452281654,Compute,total_time_seconds,29.05453452281654
