dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Fidelity,Quality_Score,0.28623062499999996
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Fidelity,KS_Complement,0.45919583333333325
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Fidelity,Wasserstein_Distance,94047.96188469858
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Fidelity,MMD,0.4128929707683009
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,Accuracy_TRTR,0.8237000000000002
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,Accuracy_TSTR,0.6678000000000001
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,Accuracy_Gap,0.15590000000000015
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,F1_TRTR,0.8179017788152698
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,F1_TSTR,0.6124526352532143
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,F1_Gap,0.20544914356205557
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,Precision_TRTR,0.81998538946126
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,Precision_TSTR,0.5875284483023809
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,Precision_Gap,0.23245694115887905
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,Recall_TRTR,0.8237000000000002
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,Recall_TSTR,0.6678000000000001
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,Recall_Gap,0.15590000000000015
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,ROC_AUC_TRTR,0.8297875243504865
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,ROC_AUC_TSTR,0.4094337293191704
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Utility,ROC_AUC_Gap,0.42035379503131615
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Privacy,Mahalanobis_Distance,15.322880749198445
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Privacy,Mean_Distance,15.322880749198445
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Privacy,Median_Distance,15.139021421038606
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Privacy,NNDR,0.9589734409309054
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Privacy,MIA_AUC,1.0
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Compute,training_time_seconds,50.92869615089148
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Compute,generation_time_seconds,0.0
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Compute,evaluation_time_seconds,20.763006655033678
Adult,adult,TabDDPM,42,42,10000,8000,2000,classification,50.92869615089148,0.0,20.763006655033678,71.70415057009086,Compute,total_time_seconds,71.70415057009086
