dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Fidelity,Quality_Score,0.7158520833333333
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Fidelity,KS_Complement,0.7095625000000001
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Fidelity,Wasserstein_Distance,3401.7244119486727
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Fidelity,MMD,0.006651925858821461
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,Accuracy_TRTR,0.8237000000000002
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,Accuracy_TSTR,0.79955
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,Accuracy_Gap,0.024150000000000227
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,F1_TRTR,0.8179017788152698
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,F1_TSTR,0.792269122128229
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,F1_Gap,0.025632656687040845
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,Precision_TRTR,0.81998538946126
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,Precision_TSTR,0.7935004794454119
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,Precision_Gap,0.026484910015848073
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,Recall_TRTR,0.8237000000000002
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,Recall_TSTR,0.79955
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,Recall_Gap,0.024150000000000227
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,ROC_AUC_TRTR,0.8297875243504865
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,ROC_AUC_TSTR,0.7854526457065695
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Utility,ROC_AUC_Gap,0.04433487864391705
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Privacy,Mahalanobis_Distance,3.512806181804062
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Privacy,Mean_Distance,3.512806181804062
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Privacy,Median_Distance,3.3263273193321856
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Privacy,NNDR,0.8971603775950459
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Privacy,MIA_AUC,0.5814814814814815
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Compute,training_time_seconds,274.4898052159697
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Compute,generation_time_seconds,0.0
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Compute,evaluation_time_seconds,28.78243308980018
Adult,adult,WGAN_GP,42,42,10000,8000,2000,classification,274.4898052159697,0.0,28.78243308980018,303.2849325458519,Compute,total_time_seconds,303.2849325458519
