dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Fidelity,Quality_Score,0.8912525239288356
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Fidelity,KS_Complement,0.9040999999999999
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Fidelity,Wasserstein_Distance,57.411414285714365
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Fidelity,MMD,0.009363558435943387
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,Accuracy_TRTR,0.8798166666666666
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,Accuracy_TSTR,0.8556833333333334
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,Accuracy_Gap,0.02413333333333323
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,F1_TRTR,0.869294797537779
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,F1_TSTR,0.8300512505105612
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,F1_Gap,0.039243547027217884
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,Precision_TRTR,0.8680007748575592
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,Precision_TSTR,0.8311258792557156
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,Precision_Gap,0.03687489560184365
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,Recall_TRTR,0.8798166666666666
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,Recall_TSTR,0.8556833333333334
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,Recall_Gap,0.02413333333333323
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,ROC_AUC_TRTR,0.8238983547957669
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,ROC_AUC_TSTR,0.6797957078278319
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Utility,ROC_AUC_Gap,0.14410264696793496
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Privacy,Mahalanobis_Distance,4.441282780976945
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Privacy,Mean_Distance,4.441282780976945
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Privacy,Median_Distance,3.9687156964857784
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Privacy,NNDR,0.8651737172307189
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Privacy,MIA_AUC,0.5938271604938272
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Compute,training_time_seconds,659.1728617199697
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Compute,generation_time_seconds,0.0
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Compute,evaluation_time_seconds,22.060426966752857
Bank,bank,CTGAN,42,42,10000,8000,2000,classification,659.1728617199697,0.0,22.060426966752857,681.3949642870575,Compute,total_time_seconds,681.3949642870575
