dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Fidelity,Quality_Score,0.82765944737971
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Fidelity,KS_Complement,0.8395684981684983
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Fidelity,Wasserstein_Distance,5.984714765014141
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Fidelity,MMD,0.0628332847072221
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,Accuracy_TRTR,0.9581871345029239
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,Accuracy_TSTR,0.8842105263157892
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,Accuracy_Gap,0.0739766081871347
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,F1_TRTR,0.9579899186677385
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,F1_TSTR,0.8811821841179766
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,F1_Gap,0.07680773454976197
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,Precision_TRTR,0.9585588829450999
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,Precision_TSTR,0.8873253347085832
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,Precision_Gap,0.07123354823651673
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,Recall_TRTR,0.9581871345029239
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,Recall_TSTR,0.8842105263157892
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,Recall_Gap,0.0739766081871347
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,ROC_AUC_TRTR,0.9709325396825398
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,ROC_AUC_TSTR,0.9227843915343914
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Utility,ROC_AUC_Gap,0.048148148148148384
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Privacy,Mahalanobis_Distance,78.99667591083345
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Privacy,Mean_Distance,78.99667591083345
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Privacy,Median_Distance,70.0606031569054
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Privacy,NNDR,0.9665800852448042
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Privacy,MIA_AUC,0.8644444444444445
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Compute,training_time_seconds,41.89573233295232
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Compute,generation_time_seconds,0.0
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Compute,evaluation_time_seconds,7.194641651818529
Cancer,cancer,CTABGAN,42,42,1000,455,114,classification,41.89573233295232,0.0,7.194641651818529,49.1010600537993,Compute,total_time_seconds,49.1010600537993
