dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Fidelity,Quality_Score,0.8403516811907786
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Fidelity,KS_Complement,0.8521739926739927
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Fidelity,Wasserstein_Distance,10.558340179198531
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Fidelity,MMD,0.03661288935929741
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Accuracy_TRTR,0.9581871345029239
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Accuracy_TSTR,0.9634502923976604
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Accuracy_Gap,-0.005263157894736525
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,F1_TRTR,0.9579899186677385
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,F1_TSTR,0.9635721470792985
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,F1_Gap,-0.005582228411559975
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Precision_TRTR,0.9585588829450999
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Precision_TSTR,0.964571600539423
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Precision_Gap,-0.0060127175943230915
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Recall_TRTR,0.9581871345029239
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Recall_TSTR,0.9634502923976604
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Recall_Gap,-0.005263157894736525
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,ROC_AUC_TRTR,0.9709325396825398
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,ROC_AUC_TSTR,0.9809082892416224
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,ROC_AUC_Gap,-0.009975749559082647
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Privacy,Mahalanobis_Distance,44.38181328341296
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Privacy,Mean_Distance,44.38181328341296
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Privacy,Median_Distance,33.981997253812324
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Privacy,NNDR,0.9507224999726478
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Privacy,MIA_AUC,0.7682716049382716
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Compute,training_time_seconds,12.577952857129276
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Compute,generation_time_seconds,0.0
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Compute,evaluation_time_seconds,6.379982613027096
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Compute,total_time_seconds,18.968550226883963
