dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Fidelity,Quality_Score,0.8765201100650197
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Fidelity,KS_Complement,0.8610923076923077
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Fidelity,Wasserstein_Distance,12.395274328527845
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Fidelity,MMD,0.02770643815268159
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,Accuracy_TRTR,0.9581871345029239
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,Accuracy_TSTR,0.8830409356725146
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,Accuracy_Gap,0.0751461988304093
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,F1_TRTR,0.9579899186677385
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,F1_TSTR,0.8836764315731873
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,F1_Gap,0.07431348709455121
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,Precision_TRTR,0.9585588829450999
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,Precision_TSTR,0.8865971145598777
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,Precision_Gap,0.07196176838522228
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,Recall_TRTR,0.9581871345029239
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,Recall_TSTR,0.8830409356725146
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,Recall_Gap,0.0751461988304093
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,ROC_AUC_TRTR,0.9709325396825398
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,ROC_AUC_TSTR,0.9079089506172839
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Utility,ROC_AUC_Gap,0.06302358906525585
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Privacy,Mahalanobis_Distance,24.795478659992142
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Privacy,Mean_Distance,24.795478659992142
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Privacy,Median_Distance,22.60358181601866
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Privacy,NNDR,0.9265473038895929
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Privacy,MIA_AUC,0.8009876543209877
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Compute,training_time_seconds,12.78622391098179
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Compute,generation_time_seconds,0.0
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Compute,evaluation_time_seconds,6.515060761012137
Cancer,cancer,WGAN_GP,42,42,1000,455,114,classification,12.78622391098179,0.0,6.515060761012137,19.311779537936673,Compute,total_time_seconds,19.311779537936673
