dataset,generator,metric_category,metric_name,seed_42,seed_123,seed_2024,mean,sd,mean_sd,n_seeds
Cancer,CTGAN,Compute,evaluation_time_seconds,6.491197895957157,5.222942436113954,5.178388346219435,5.630842892763515,0.7454222396547011,5.63084 ± 0.745422,3
Cancer,CTGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0 ± 0,3
Cancer,CTGAN,Compute,total_time_seconds,78.4635386171285,81.83954001800157,77.06332916091196,79.12213593201402,2.4552719513784953,79.1221 ± 2.45527,3
Cancer,CTGAN,Compute,training_time_seconds,71.96204185509123,76.60656310198829,71.86530623910949,73.47797039872967,2.709872445708865,73.478 ± 2.70987,3
Cancer,CTGAN,Fidelity,KS_Complement,0.6981571428571429,0.7087820512820514,0.7218120879120877,0.7095837606837607,0.011847833551401128,0.709584 ± 0.0118478,3
Cancer,CTGAN,Fidelity,MMD,0.2225401600036953,0.1971944192537396,0.2153142910933406,0.21168295678359184,0.013057242633606084,0.211683 ± 0.0130572,3
Cancer,CTGAN,Fidelity,Quality_Score,0.6722121099996817,,,0.6722121099996817,0.0,0.672212 ± 0,1
Cancer,CTGAN,Fidelity,Wasserstein_Distance,23.458555318099386,23.614010534310435,20.70595432454513,22.592840058984986,1.635938541689839,22.5928 ± 1.63594,3
Cancer,CTGAN,Privacy,MIA_AUC,1.0,0.991111111111111,0.9974074074074074,0.9961728395061727,0.004571236686808333,0.996173 ± 0.00457124,3
Cancer,CTGAN,Privacy,Mahalanobis_Distance,133.50330829978603,114.5245502877272,129.20127005420258,125.74304288057192,9.950769583725668,125.743 ± 9.95077,3
Cancer,CTGAN,Privacy,Mean_Distance,133.50330829978603,114.5245502877272,129.20127005420258,125.74304288057192,9.950769583725668,125.743 ± 9.95077,3
Cancer,CTGAN,Privacy,Median_Distance,119.64834591710988,102.09025171792766,110.22118803778346,110.65326189094033,8.787017914957012,110.653 ± 8.78702,3
Cancer,CTGAN,Privacy,NNDR,0.9815696177020452,0.981481546157858,0.9778312905796892,0.9802941514798641,0.002133354637520851,0.980294 ± 0.00213335,3
Cancer,CTGAN,Utility,Accuracy_Gap,0.4421052631578946,0.4769005847953216,0.4327485380116959,0.45058479532163737,0.023265374660272065,0.450585 ± 0.0232654,3
Cancer,CTGAN,Utility,Accuracy_TRTR,0.958187134502924,0.958187134502924,0.958187134502924,0.958187134502924,0.0,0.958187 ± 0,3
Cancer,CTGAN,Utility,Accuracy_TSTR,0.5160818713450293,0.4812865497076023,0.525438596491228,0.5076023391812865,0.023265374660272054,0.507602 ± 0.0232654,3
Cancer,CTGAN,Utility,F1_Gap,0.4463021115780721,0.5042892137648449,0.4309840473851477,0.4605251242426882,0.038666942230180905,0.460525 ± 0.0386669,3
Cancer,CTGAN,Utility,F1_TRTR,0.9579899186677384,0.9579899186677384,0.9579899186677384,0.9579899186677384,0.0,0.95799 ± 0,3
Cancer,CTGAN,Utility,F1_TSTR,0.5116878070896664,0.4537007049028936,0.5270058712825908,0.49746479442505026,0.038666942230180884,0.497465 ± 0.0386669,3
Cancer,CTGAN,Utility,Precision_Gap,0.3675771121283342,0.5139754830681492,0.3700655106817739,0.41720603529275246,0.08381403551259552,0.417206 ± 0.083814,3
Cancer,CTGAN,Utility,Precision_TRTR,0.9585588829451,0.9585588829451,0.9585588829451,0.9585588829451,0.0,0.958559 ± 0,3
Cancer,CTGAN,Utility,Precision_TSTR,0.5909817708167657,0.4445833998769507,0.588493372263326,0.5413528476523476,0.0838140355125955,0.541353 ± 0.083814,3
Cancer,CTGAN,Utility,Recall_Gap,0.4421052631578946,0.4769005847953216,0.4327485380116959,0.45058479532163737,0.023265374660272065,0.450585 ± 0.0232654,3
Cancer,CTGAN,Utility,Recall_TRTR,0.958187134502924,0.958187134502924,0.958187134502924,0.958187134502924,0.0,0.958187 ± 0,3
Cancer,CTGAN,Utility,Recall_TSTR,0.5160818713450293,0.4812865497076023,0.525438596491228,0.5076023391812865,0.023265374660272054,0.507602 ± 0.0232654,3
