dataset,generator,metric_category,metric_name,seed_42,seed_123,seed_2024,mean,sd,mean_sd,n_seeds
Cancer,CTGAN,Utility,Accuracy_Gap,0.4421052631578946,0.4769005847953216,0.4327485380116959,0.45058479532163737,0.023265374660272065,0.450585 ± 0.0232654,3
Cancer,CTGAN,Utility,Accuracy_TRTR,0.958187134502924,0.958187134502924,0.958187134502924,0.958187134502924,0.0,0.958187 ± 0,3
Cancer,CTGAN,Utility,Accuracy_TSTR,0.5160818713450293,0.4812865497076023,0.525438596491228,0.5076023391812865,0.023265374660272054,0.507602 ± 0.0232654,3
Cancer,CTGAN,Utility,F1_Gap,0.4463021115780721,0.5042892137648449,0.4309840473851477,0.4605251242426882,0.038666942230180905,0.460525 ± 0.0386669,3
Cancer,CTGAN,Utility,F1_TRTR,0.9579899186677384,0.9579899186677384,0.9579899186677384,0.9579899186677384,0.0,0.95799 ± 0,3
Cancer,CTGAN,Utility,F1_TSTR,0.5116878070896664,0.4537007049028936,0.5270058712825908,0.49746479442505026,0.038666942230180884,0.497465 ± 0.0386669,3
Cancer,CTGAN,Utility,Precision_Gap,0.3675771121283342,0.5139754830681492,0.3700655106817739,0.41720603529275246,0.08381403551259552,0.417206 ± 0.083814,3
Cancer,CTGAN,Utility,Precision_TRTR,0.9585588829451,0.9585588829451,0.9585588829451,0.9585588829451,0.0,0.958559 ± 0,3
Cancer,CTGAN,Utility,Precision_TSTR,0.5909817708167657,0.4445833998769507,0.588493372263326,0.5413528476523476,0.0838140355125955,0.541353 ± 0.083814,3
Cancer,CTGAN,Utility,Recall_Gap,0.4421052631578946,0.4769005847953216,0.4327485380116959,0.45058479532163737,0.023265374660272065,0.450585 ± 0.0232654,3
Cancer,CTGAN,Utility,Recall_TRTR,0.958187134502924,0.958187134502924,0.958187134502924,0.958187134502924,0.0,0.958187 ± 0,3
Cancer,CTGAN,Utility,Recall_TSTR,0.5160818713450293,0.4812865497076023,0.525438596491228,0.5076023391812865,0.023265374660272054,0.507602 ± 0.0232654,3
