dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Fidelity,Quality_Score,
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Fidelity,KS_Complement,0.7218120879120877
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Fidelity,Wasserstein_Distance,20.70595432454513
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Fidelity,MMD,0.21531429109334066
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Accuracy_TRTR,0.9581871345029239
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Accuracy_TSTR,0.525438596491228
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Accuracy_Gap,0.4327485380116959
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,F1_TRTR,0.9579899186677385
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,F1_TSTR,0.5270058712825908
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,F1_Gap,0.43098404738514773
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Precision_TRTR,0.9585588829450999
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Precision_TSTR,0.588493372263326
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Precision_Gap,0.37006551068177396
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Recall_TRTR,0.9581871345029239
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Recall_TSTR,0.525438596491228
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Recall_Gap,0.4327485380116959
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Privacy,Mahalanobis_Distance,129.20127005420258
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Privacy,Mean_Distance,129.20127005420258
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Privacy,Median_Distance,110.22118803778346
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Privacy,NNDR,0.9778312905796891
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Privacy,MIA_AUC,0.9974074074074074
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Compute,training_time_seconds,71.86530623910949
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Compute,generation_time_seconds,0.0
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Compute,evaluation_time_seconds,5.178388346219435
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Compute,total_time_seconds,77.06332916091196
