dataset,dataset_id,problem_type,generator,seed,batch,batch_label,metric_category,metric_name,metric_value,split_seed,n_synthetic_samples,n_train,n_test,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,task
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Fidelity,Quality_Score,0.6722121099996817,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Fidelity,KS_Complement,0.6981571428571429,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Fidelity,Wasserstein_Distance,23.45855531809939,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Fidelity,MMD,0.2225401600036953,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,Accuracy_TRTR,0.958187134502924,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,Accuracy_TSTR,0.5160818713450293,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,Accuracy_Gap,0.4421052631578946,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,F1_TRTR,0.9579899186677384,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,F1_TSTR,0.5116878070896664,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,F1_Gap,0.4463021115780721,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,Precision_TRTR,0.9585588829451,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,Precision_TSTR,0.5909817708167657,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,Precision_Gap,0.3675771121283342,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,Recall_TRTR,0.958187134502924,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,Recall_TSTR,0.5160818713450293,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Utility,Recall_Gap,0.4421052631578946,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Privacy,Mahalanobis_Distance,133.503308299786,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Privacy,Mean_Distance,133.503308299786,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Privacy,Median_Distance,119.6483459171099,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Privacy,NNDR,0.9815696177020452,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Privacy,MIA_AUC,1.0,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Compute,training_time_seconds,71.96204185509123,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Compute,generation_time_seconds,0.0,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Compute,evaluation_time_seconds,6.491197895957157,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CTGAN,42,1st_batch,1st batch,Compute,total_time_seconds,78.4635386171285,42,1000,455,114,71.96204185509123,0,6.491197895957157,78.4635386171285,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Fidelity,Quality_Score,0.670829269714067,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Fidelity,KS_Complement,0.6973714285714284,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Fidelity,Wasserstein_Distance,33.40136545244344,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Fidelity,MMD,0.268642812482075,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,Accuracy_TRTR,0.958187134502924,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,Accuracy_TSTR,0.5982456140350878,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,Accuracy_Gap,0.3599415204678361,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,F1_TRTR,0.9579899186677384,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
