dataset_id,Dataset,generator,Generator,Quality_Score,Quality_Score_sd,MIA_AUC,MIA_AUC_sd,Accuracy_Gap,Accuracy_Gap_sd,Accuracy_TSTR,Accuracy_TSTR_sd
adult,Adult,CTABGAN,CTABGAN,0.8954616736111112,0.055868898175021775,0.7486666666666667,0.13553667467160352,0.08099500000000018,0.021369217577547034,0.742705,0.021369217577547013
adult,Adult,CTGAN,CTGAN,0.8475936875000001,0.015766671564251884,0.6206543209876543,0.04174113854811493,0.03261833333333346,0.006878282381417514,0.7910816666666667,0.006878282381417518
adult,Adult,CopulaGAN,CopulaGAN,0.8914222083333334,0.010000818026533924,0.6227777777777778,0.031150455775468065,0.04230333333333348,0.0110897511354816,0.7813966666666666,0.011089751135481603
adult,Adult,ForestDiffusion,ForestDiffusion,0.7766097083333333,0.0013533768572811437,0.9720864197530865,0.008493223014211418,0.02003833333333342,0.007264585371325905,0.8036616666666667,0.007264585371325915
adult,Adult,GaussianCopula,GaussianCopula,0.8082358333333334,2.2139603362325277e-05,0.891753086419753,0.00023854118100724103,0.08855666666666684,0.002399127927980168,0.7351433333333335,0.002399127927980148
adult,Adult,TVAE,TVAE,0.8400514583333333,0.007947420441647224,0.9997283950617284,0.0004648566665495721,0.19303500000000018,0.05427497459496366,0.630665,0.054274974594963644
adult,Adult,TabDDPM,TabDDPM,0.28638039583333336,0.014568810273922506,1.0,0.0,0.17126833333333352,0.0674310147941794,0.6524316666666666,0.0674310147941794
adult,Adult,WGAN_GP,WGAN-GP,0.7171099791666666,0.0038006628224748888,0.549111111111111,0.03464457497038302,0.024375000000000167,0.0068672430987826725,0.799325,0.006867243098782662
alzhimers,Alzheimer's,CTABGAN,CTABGAN,0.33141809465648353,0.02215043579073561,0.91083645443196,0.14488097600901506,0.12486842105263156,0.14756294162160968,0.8010087719298247,0.14756294162160968
alzhimers,Alzheimer's,CTGAN,CTGAN,0.710440490252109,0.021354043416474178,0.8475530586766542,0.08146854654556847,0.43197368421052634,0.05456819200857,0.4939035087719298,0.05456819200856999
alzhimers,Alzheimer's,CopulaGAN,CopulaGAN,0.6946412703294969,0.01647156419193184,0.844943820224719,0.05587246600800042,0.44666666666666666,0.08166044264111566,0.4792105263157894,0.08166044264111567
alzhimers,Alzheimer's,ForestDiffusion,ForestDiffusion,0.42241295542628554,0.004526409995920604,0.47184769038701624,0.0668863337751387,-0.00368421052631579,0.010735813249383795,0.929561403508772,0.010735813249383847
alzhimers,Alzheimer's,GaussianCopula,GaussianCopula,0.7942522552187231,2.031161163100913e-11,0.9403245942571784,0.0,0.131578947368421,0.0,0.7942982456140352,0.0
alzhimers,Alzheimer's,TVAE,TVAE,0.7366465024397287,0.01228034094513782,0.8344444444444445,0.029168659659682922,0.04149122807017551,0.01476709509580266,0.8843859649122807,0.014767095095802645
alzhimers,Alzheimer's,TabDDPM,TabDDPM,0.4217069219298753,0.03703259608375351,0.8266666666666668,0.061670302979333784,0.4374561403508773,0.02394110193699373,0.488421052631579,0.023941101936993732
alzhimers,Alzheimer's,WGAN_GP,WGAN-GP,0.507340857735704,0.008773289461788654,0.862821473158552,0.062330153026752246,0.13223684210526326,0.08139802875703189,0.7936403508771929,0.08139802875703189
bank,Bank Marketing,CTABGAN,CTABGAN,0.8070108224102635,0.07381314925715309,0.9104814814814816,0.04231775305244453,0.03153999999999989,0.02543078866936055,0.8482766666666667,0.025430788669360542
bank,Bank Marketing,CTGAN,CTGAN,0.8777072563055942,0.008664839327838847,0.5937283950617284,0.03826420566554103,0.02842833333333325,0.010962247364658005,0.8513883333333332,0.010962247364657994
bank,Bank Marketing,CopulaGAN,CopulaGAN,0.8797443784070872,0.009551072515182174,0.5951851851851852,0.07270874780811462,0.037059999999999885,0.015324536929341949,0.8427566666666667,0.015324536929341966
bank,Bank Marketing,ForestDiffusion,ForestDiffusion,0.8671820545563736,0.0030706274172897746,0.5583209876543209,0.06551735522848959,0.03828666666666654,0.010989641025827205,0.84153,0.010989641025827187
bank,Bank Marketing,GaussianCopula,GaussianCopula,0.8505668537520013,0.0,0.5633333333333334,0.0,0.026466666666666798,0.0,0.8533499999999996,0.0
bank,Bank Marketing,TVAE,TVAE,0.8688827586653399,0.008225065402950245,0.9060123456790123,0.04675226941648713,0.10210166666666656,0.03547674464341156,0.7777149999999999,0.035476744643411544
bank,Bank Marketing,TabDDPM,TabDDPM,0.4246023775508293,0.04073577410375624,0.9992962962962963,0.0013195061112343288,0.041644999999999925,0.02779830247281961,0.8381716666666665,0.0277983024728196
bank,Bank Marketing,WGAN_GP,WGAN-GP,0.7432775228236256,0.017809316857500066,0.5607407407407408,0.04369680569898838,0.006566666666666611,0.004133370668887477,0.87325,0.004133370668887473
cancer,Cancer,CTABGAN,CTABGAN,0.8127815635631451,0.04439243311794293,0.8563950617283951,0.05926428305179643,0.13307017543859637,0.11986516689523473,0.8230701754385965,0.12019977888896108
cancer,Cancer,CTGAN,CTGAN,0.6750345390481358,0.009126701635432569,0.9909012345679014,0.012662204376348192,0.3128947368421051,0.13719572235855226,0.6432456140350877,0.13622136203932964
cancer,Cancer,CopulaGAN,CopulaGAN,0.6613337524389579,0.01493966771208127,0.998098765432099,0.003563985586367478,0.38114035087719295,0.17517899625775116,0.575,0.17542501842626324
cancer,Cancer,ForestDiffusion,ForestDiffusion,0.9348955969437689,0.003439212138197315,0.46796296296296297,0.03273973571214614,-0.009619883040935619,0.006148004141695177,0.9657602339181285,0.005972440432864236
cancer,Cancer,GaussianCopula,GaussianCopula,0.931154552270882,6.746093172739543e-11,0.7532962962962964,5.9635295251877296e-05,0.15877192982456148,0.001412414887542857,0.7973684210526314,0.0
cancer,Cancer,TVAE,TVAE,0.8449194061279304,0.011917093655552356,0.7503086419753087,0.02935291742082298,0.0018128654970758801,0.005855745296068113,0.9543274853801169,0.006264865817513987
cancer,Cancer,TabDDPM,TabDDPM,0.6038662698691937,0.015034506586674516,0.9957654320987656,0.006361200213822969,0.3419005847953215,0.043737983731837425,0.6142397660818714,0.04322324733158721
cancer,Cancer,WGAN_GP,WGAN-GP,0.8805043399288216,0.01206581215374428,0.8667037037037038,0.06547461025507516,0.06450292397660809,0.018151801442578802,0.8916374269005848,0.01750331029720459
cdc_diabetes,CDC Diabetes,CTABGAN,CTABGAN,0.016217074673411068,0.026118984572980973,0.9076543209876542,0.05882894171645558,0.10234333333333337,0.1493985820168384,0.7285566666666667,0.14939858201683837
cdc_diabetes,CDC Diabetes,CTGAN,CTGAN,0.8695345959595959,0.01721684194133062,0.7001358024691359,0.028504378943603116,0.018296666666666676,0.01664018970986349,0.8126033333333333,0.0166401897098635
cdc_diabetes,CDC Diabetes,CopulaGAN,CopulaGAN,0.8572303030303031,0.014722194870107206,0.6843703703703704,0.0502313299258743,0.015260000000000043,0.0224491623204271,0.8156399999999999,0.02244916232042714
cdc_diabetes,CDC Diabetes,ForestDiffusion,ForestDiffusion,0.5770734377999134,0.0028793056390756955,0.501358024691358,0.03002897323449349,0.03366000000000011,0.01255188540261954,0.79724,0.01255188540261954
cdc_diabetes,CDC Diabetes,GaussianCopula,GaussianCopula,0.9111395202020203,0.0,0.8493827160493825,0.0,0.0197333333333333,0.0,0.8111666666666666,0.0
cdc_diabetes,CDC Diabetes,TVAE,TVAE,0.8853794191919192,0.007468304029827345,0.6953271604938273,0.026621475991433535,-0.00718999999999988,0.004615434385613186,0.83809,0.004615434385613217
cdc_diabetes,CDC Diabetes,TabDDPM,TabDDPM,0.5573252525366162,0.0299166379540227,0.8648271604938271,0.04599539894832217,0.018550000000000042,0.011725884104181234,0.81235,0.01172588410418125
cdc_diabetes,CDC Diabetes,WGAN_GP,WGAN-GP,0.08909157385507817,0.0018635525383831535,0.5356049382716049,0.033513671598568,-0.0121766666666665,0.01181619572796087,0.8430766666666667,0.011816195727960912
forest_cover,Forest Cover,CTABGAN,CTABGAN,0.08596891566667866,0.003094272549763672,1.0,0.0,0.30983666666666654,0.07533627567180876,0.42596333333333336,0.07533627567180877
forest_cover,Forest Cover,CTGAN,CTGAN,0.8426187441903897,0.012338761928962367,0.8714444444444445,0.03035196616347928,0.31782999999999995,0.04342806866702858,0.41796999999999995,0.043428068667028565
forest_cover,Forest Cover,CopulaGAN,CopulaGAN,0.843478481897505,0.012534223292933029,0.8863950617283951,0.044754890460776936,0.3293899999999999,0.03664691740863827,0.40641,0.03664691740863827
forest_cover,Forest Cover,ForestDiffusion,ForestDiffusion,0.8298355349764023,0.010473929857445987,0.7909876543209876,0.04611191450059731,0.06978999999999992,0.011728998041679768,0.66601,0.011728998041679779
forest_cover,Forest Cover,GaussianCopula,GaussianCopula,0.9220989336183832,0.0,0.5166666666666666,0.0,0.19243333333333307,0.0,0.5433666666666668,0.0
forest_cover,Forest Cover,TVAE,TVAE,0.9349597983844129,0.009139710358486092,0.742074074074074,0.04403668304385239,0.061723333333333186,0.010749137777652837,0.6740766666666665,0.010749137777652837
forest_cover,Forest Cover,TabDDPM,TabDDPM,0.4752331360442956,0.013828348904843723,0.9634444444444444,0.026453028927134265,0.34869333333333324,0.05060750151782387,0.3871066666666666,0.050607501517823866
forest_cover,Forest Cover,WGAN_GP,WGAN-GP,0.17393584849759766,0.0015958779225866133,0.6339012345679013,0.06455420071973972,0.3027633333333332,0.029176311421222324,0.4330366666666666,0.02917631142122233
magic,MAGIC Gamma,CTABGAN,CTABGAN,0.9440437025610379,0.005801326811388306,0.5793086419753085,0.06943337390801951,0.04118909919383095,0.005674223670731094,0.7923457763757448,0.005674223670731084
magic,MAGIC Gamma,CTGAN,CTGAN,0.8969774814985081,0.013425080802826225,0.6731604938271605,0.06365466897713817,0.0934516298633017,0.013539291583510565,0.740083245706274,0.013539291583510535
magic,MAGIC Gamma,CopulaGAN,CopulaGAN,0.8958208703478526,0.010967074515431557,0.6882222222222222,0.04848890009305473,0.0971880476691202,0.023622634118514597,0.7363468279004557,0.023622634118514573
magic,MAGIC Gamma,ForestDiffusion,ForestDiffusion,0.9018416805704277,0.011455658473702474,0.5119382716049382,0.042633111281181336,0.052786540483701225,0.014563748468249276,0.7807483350858745,0.014563748468249257
magic,MAGIC Gamma,GaussianCopula,GaussianCopula,0.9052429330332827,0.0,0.5025925925925927,0.0,0.09628461268839808,0.0,0.7372502628811777,0.0
magic,MAGIC Gamma,TVAE,TVAE,0.9119462464067982,0.013826647737586323,0.6482962962962963,0.044814561627538885,0.06136698212407986,0.021876715692052025,0.772167893445496,0.021876715692052007
magic,MAGIC Gamma,TabDDPM,TabDDPM,0.9393325410963771,0.006253278330807423,0.5356296296296297,0.03854647959845618,0.22390115667718188,0.011756297859082191,0.6096337188923939,0.011756297859082207
magic,MAGIC Gamma,WGAN_GP,WGAN-GP,0.9288439817512935,0.007515324343915221,0.656604938271605,0.07104449921780509,0.039274447949526704,0.014389947418132671,0.794260427620049,0.014389947418132685
mushroom,Mushroom,CTABGAN,CTABGAN,0.8996933662703336,0.030825653983897503,0.6270246913580246,0.1528338822591182,0.25151,0.05769574529106419,0.6273566666666666,0.05769574529106419
mushroom,Mushroom,CTGAN,CTGAN,0.8564160942613205,0.009569720201550065,0.641074074074074,0.03507911477962586,0.3273366666666667,0.011034809680794596,0.55153,0.01103480968079461
mushroom,Mushroom,CopulaGAN,CopulaGAN,0.8444163929099717,0.010028389393979048,0.6435185185185185,0.04272561284350864,0.3204933333333334,0.015162362433601854,0.5583733333333333,0.015162362433601834
mushroom,Mushroom,ForestDiffusion,ForestDiffusion,0.6751828110374867,0.010431532365166387,0.9917777777777778,0.010323592979167961,0.2761766666666666,0.027788398191944633,0.6026900000000001,0.027788398191944657
mushroom,Mushroom,GaussianCopula,GaussianCopula,0.8985806959757218,0.0,0.4569135802469136,0.0,0.31723333333333337,0.0,0.5616333333333332,0.0
mushroom,Mushroom,TVAE,TVAE,0.9011118240283482,0.006485013065502664,0.9103827160493827,0.14296043327280886,0.23684,0.025625468619623462,0.6420266666666666,0.025625468619623473
mushroom,Mushroom,TabDDPM,TabDDPM,0.2955771086334165,0.005760071967273028,1.0,0.0,0.3753033333333334,0.026147806130383068,0.5035633333333333,0.02614780613038306
mushroom,Mushroom,WGAN_GP,WGAN-GP,0.7320459716623403,0.004897999100721627,1.0,0.0,0.2526866666666668,0.02521004698797296,0.6261800000000001,0.02521004698797296
wine,Wine Quality,CTABGAN,CTABGAN,0.8950550153084089,0.006168244288190007,0.9924691358024692,0.004891410027359228,0.1329489795918368,0.008894050892511376,0.4670170068027211,0.008894050892511354
wine,Wine Quality,CTGAN,CTGAN,0.7764038374086406,0.016100717171289195,0.7512469135802469,0.08586187658284491,0.26596938775510204,0.032949255205328674,0.3339965986394558,0.03294925520532863
wine,Wine Quality,CopulaGAN,CopulaGAN,0.8155922527853455,0.011818415592393466,0.7005802469135803,0.06152614466219775,0.2470850340136055,0.017600528487837996,0.35288095238095235,0.017600528487837986
wine,Wine Quality,ForestDiffusion,ForestDiffusion,0.8802478499917179,0.004245907373670695,0.9965432098765433,0.003029656348856986,0.1398911564625851,0.01282451558455151,0.46007482993197274,0.012824515584551503
wine,Wine Quality,GaussianCopula,GaussianCopula,0.9382852305742173,0.0,0.6899999999999998,0.0,0.21159863945578242,0.0,0.3883673469387755,0.0
wine,Wine Quality,TVAE,TVAE,0.9187174076366771,0.00554883899375995,0.7491975308641975,0.02844054626256891,0.09561564625850348,0.01224809366630012,0.5043503401360544,0.012248093666300116
wine,Wine Quality,TabDDPM,TabDDPM,0.7839931953415816,0.01883192915563102,0.9950987654320986,0.0030718724383892596,0.20378231292517013,0.012456771163676744,0.39618367346938776,0.012456771163676736
wine,Wine Quality,WGAN_GP,WGAN-GP,0.950669928975616,0.005397445715713299,0.7104074074074075,0.04975368378773202,0.16469387755102055,0.033047632583976305,0.43527210884353734,0.0330476325839763
