Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
WGAN-GP,TabDDPM,2.6666666666666665,6.888888888888889,0.00623501691790973,True
ForestDiffusion,TabDDPM,3.111111111111111,6.888888888888889,0.023776690079980733,True
TVAE,TabDDPM,3.2222222222222223,6.888888888888889,0.032289048144192756,True
WGAN-GP,CopulaGAN,2.6666666666666665,6.111111111111111,0.05744817211848097,False
ForestDiffusion,CopulaGAN,3.111111111111111,6.111111111111111,0.15642518383877335,False
CTABGAN,TabDDPM,3.888888888888889,6.888888888888889,0.15642518383877357,False
TVAE,CopulaGAN,3.2222222222222223,6.111111111111111,0.1944314803489232,False
WGAN-GP,CTGAN,2.6666666666666665,5.333333333333333,0.28822774909592186,False
ForestDiffusion,CTGAN,3.111111111111111,5.333333333333333,0.5338373074420202,False
CTABGAN,CopulaGAN,3.888888888888889,6.111111111111111,0.5338373074420206,False
WGAN-GP,GaussianCopula,2.6666666666666665,4.777777777777778,0.6006251102335034,False
GaussianCopula,TabDDPM,4.777777777777778,6.888888888888889,0.6006251102335034,False
TVAE,CTGAN,3.2222222222222223,5.333333333333333,0.6006251102335034,False
ForestDiffusion,GaussianCopula,3.111111111111111,4.777777777777778,0.8370127106198055,False
CTGAN,TabDDPM,5.333333333333333,6.888888888888889,0.8806785654552003,False
TVAE,GaussianCopula,3.2222222222222223,4.777777777777778,0.8806785654552003,False
CTABGAN,CTGAN,3.888888888888889,5.333333333333333,0.9164563040689871,False
GaussianCopula,CopulaGAN,4.777777777777778,6.111111111111111,0.944412839171484,False
WGAN-GP,CTABGAN,2.6666666666666665,3.888888888888889,0.9651259809718014,False
CTABGAN,GaussianCopula,3.888888888888889,4.777777777777778,0.9946029241564981,False
CTGAN,CopulaGAN,5.333333333333333,6.111111111111111,0.9976628390369632,False
ForestDiffusion,CTABGAN,3.111111111111111,3.888888888888889,0.9976628390369632,False
CopulaGAN,TabDDPM,6.111111111111111,6.888888888888889,0.9976628390369632,False
TVAE,CTABGAN,3.2222222222222223,3.888888888888889,0.9991346443675294,False
WGAN-GP,TVAE,2.6666666666666665,3.2222222222222223,0.9997402346156786,False
GaussianCopula,CTGAN,4.777777777777778,5.333333333333333,0.9997402346156786,False
WGAN-GP,ForestDiffusion,2.6666666666666665,3.111111111111111,0.9999421542682614,False
ForestDiffusion,TVAE,3.111111111111111,3.2222222222222223,0.9999999960951349,False
