Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
WGAN-GP,CopulaGAN,2.888888888888889,5.444444444444445,0.109375,False
ForestDiffusion,GaussianCopula,2.111111111111111,5.555555555555555,0.109375,False
ForestDiffusion,CTGAN,2.111111111111111,5.888888888888889,0.109375,False
ForestDiffusion,TabDDPM,2.111111111111111,7.222222222222222,0.109375,False
WGAN-GP,TabDDPM,2.888888888888889,7.222222222222222,0.109375,False
WGAN-GP,CTGAN,2.888888888888889,5.888888888888889,0.109375,False
GaussianCopula,TabDDPM,5.555555555555555,7.222222222222222,0.171875,False
ForestDiffusion,CopulaGAN,2.111111111111111,5.444444444444445,0.171875,False
TVAE,TabDDPM,3.111111111111111,7.222222222222222,0.171875,False
CTABGAN,TabDDPM,3.7777777777777777,7.222222222222222,0.37109375,False
CTGAN,TabDDPM,5.888888888888889,7.222222222222222,0.37109375,False
CopulaGAN,TabDDPM,5.444444444444445,7.222222222222222,0.37109375,False
ForestDiffusion,CTABGAN,2.111111111111111,3.7777777777777777,0.625,False
TVAE,GaussianCopula,3.111111111111111,5.555555555555555,0.8203125,False
CopulaGAN,CTGAN,5.444444444444445,5.888888888888889,1.0,False
GaussianCopula,CTGAN,5.555555555555555,5.888888888888889,1.0,False
CTABGAN,CTGAN,3.7777777777777777,5.888888888888889,1.0,False
CopulaGAN,GaussianCopula,5.444444444444445,5.555555555555555,1.0,False
CTABGAN,GaussianCopula,3.7777777777777777,5.555555555555555,1.0,False
ForestDiffusion,WGAN-GP,2.111111111111111,2.888888888888889,1.0,False
TVAE,CTGAN,3.111111111111111,5.888888888888889,1.0,False
TVAE,CopulaGAN,3.111111111111111,5.444444444444445,1.0,False
WGAN-GP,GaussianCopula,2.888888888888889,5.555555555555555,1.0,False
WGAN-GP,CTABGAN,2.888888888888889,3.7777777777777777,1.0,False
WGAN-GP,TVAE,2.888888888888889,3.111111111111111,1.0,False
ForestDiffusion,TVAE,2.111111111111111,3.111111111111111,1.0,False
CTABGAN,CopulaGAN,3.7777777777777777,5.444444444444445,1.0,False
TVAE,CTABGAN,3.111111111111111,3.7777777777777777,1.0,False
