Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,TabDDPM,2.111111111111111,7.222222222222222,0.00025687698880361154,True
WGAN-GP,TabDDPM,2.888888888888889,7.222222222222222,0.004340257284988547,True
TVAE,TabDDPM,3.111111111111111,7.222222222222222,0.008860192636935715,True
ForestDiffusion,CTGAN,2.111111111111111,5.888888888888889,0.023776690079980733,True
CTABGAN,TabDDPM,3.7777777777777777,7.222222222222222,0.057448172118480856,False
ForestDiffusion,GaussianCopula,2.111111111111111,5.555555555555555,0.057448172118480856,False
ForestDiffusion,CopulaGAN,2.111111111111111,5.444444444444445,0.07522808279555182,False
WGAN-GP,CTGAN,2.888888888888889,5.888888888888889,0.15642518383877357,False
TVAE,CTGAN,3.111111111111111,5.888888888888889,0.2383846658559018,False
WGAN-GP,GaussianCopula,2.888888888888889,5.555555555555555,0.28822774909592197,False
WGAN-GP,CopulaGAN,2.888888888888889,5.444444444444445,0.34359272781772476,False
TVAE,GaussianCopula,3.111111111111111,5.555555555555555,0.4037608445736258,False
TVAE,CopulaGAN,3.111111111111111,5.444444444444445,0.4676498726484174,False
CTABGAN,CTGAN,3.7777777777777777,5.888888888888889,0.6006251102335034,False
CopulaGAN,TabDDPM,5.444444444444445,7.222222222222222,0.785948700844209,False
CTABGAN,GaussianCopula,3.7777777777777777,5.555555555555555,0.785948700844209,False
GaussianCopula,TabDDPM,5.555555555555555,7.222222222222222,0.8370127106198055,False
ForestDiffusion,CTABGAN,2.111111111111111,3.7777777777777777,0.8370127106198055,False
CTABGAN,CopulaGAN,3.7777777777777777,5.444444444444445,0.8370127106198055,False
CTGAN,TabDDPM,5.888888888888889,7.222222222222222,0.944412839171484,False
ForestDiffusion,TVAE,2.111111111111111,3.111111111111111,0.9889701192635673,False
WGAN-GP,CTABGAN,2.888888888888889,3.7777777777777777,0.9946029241564981,False
ForestDiffusion,WGAN-GP,2.111111111111111,2.888888888888889,0.9976628390369632,False
TVAE,CTABGAN,3.111111111111111,3.7777777777777777,0.9991346443675294,False
CopulaGAN,CTGAN,5.444444444444445,5.888888888888889,0.9999421542682614,False
GaussianCopula,CTGAN,5.555555555555555,5.888888888888889,0.9999919077551657,False
WGAN-GP,TVAE,2.888888888888889,3.111111111111111,0.9999995101840434,False
CopulaGAN,GaussianCopula,5.444444444444445,5.555555555555555,0.9999999960951349,False
