Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
GaussianCopula,TabDDPM,5.888888888888889,7.666666666666667,0.109375,False
WGAN-GP,TabDDPM,3.4444444444444446,7.666666666666667,0.109375,False
TVAE,TabDDPM,2.4444444444444446,7.666666666666667,0.109375,False
TVAE,GaussianCopula,2.4444444444444446,5.888888888888889,0.109375,False
ForestDiffusion,TabDDPM,1.4444444444444444,7.666666666666667,0.109375,False
CTABGAN,TabDDPM,4.111111111111111,7.666666666666667,0.109375,False
ForestDiffusion,CTGAN,1.4444444444444444,5.555555555555555,0.109375,False
ForestDiffusion,CopulaGAN,1.4444444444444444,5.444444444444445,0.109375,False
ForestDiffusion,GaussianCopula,1.4444444444444444,5.888888888888889,0.109375,False
ForestDiffusion,CTABGAN,1.4444444444444444,4.111111111111111,0.1484375,False
CTGAN,TabDDPM,5.555555555555555,7.666666666666667,0.2109375,False
ForestDiffusion,WGAN-GP,1.4444444444444444,3.4444444444444446,0.2109375,False
CopulaGAN,TabDDPM,5.444444444444445,7.666666666666667,0.3125,False
WGAN-GP,CTGAN,3.4444444444444446,5.555555555555555,0.3125,False
TVAE,CTGAN,2.4444444444444446,5.555555555555555,0.3828125,False
TVAE,CTABGAN,2.4444444444444446,4.111111111111111,0.5078125,False
TVAE,CopulaGAN,2.4444444444444446,5.444444444444445,0.5078125,False
CTABGAN,CTGAN,4.111111111111111,5.555555555555555,0.5078125,False
WGAN-GP,CopulaGAN,3.4444444444444446,5.444444444444445,0.546875,False
WGAN-GP,GaussianCopula,3.4444444444444446,5.888888888888889,0.546875,False
TVAE,WGAN-GP,2.4444444444444446,3.4444444444444446,0.59375,False
CTABGAN,CopulaGAN,4.111111111111111,5.444444444444445,0.59375,False
ForestDiffusion,TVAE,1.4444444444444444,2.4444444444444446,0.7734375,False
CTABGAN,GaussianCopula,4.111111111111111,5.888888888888889,0.7734375,False
WGAN-GP,CTABGAN,3.4444444444444446,4.111111111111111,0.7734375,False
CopulaGAN,GaussianCopula,5.444444444444445,5.888888888888889,1.0,False
CTGAN,GaussianCopula,5.555555555555555,5.888888888888889,1.0,False
CopulaGAN,CTGAN,5.444444444444445,5.555555555555555,1.0,False
