Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,TabDDPM,1.4444444444444444,7.666666666666667,1.9723624019585273e-06,True
TVAE,TabDDPM,2.4444444444444446,7.666666666666667,0.00016477967952732708,True
ForestDiffusion,GaussianCopula,1.4444444444444444,5.888888888888889,0.00298916397343274,True
WGAN-GP,TabDDPM,3.4444444444444446,7.666666666666667,0.00623501691790973,True
ForestDiffusion,CTGAN,1.4444444444444444,5.555555555555555,0.008860192636935715,True
ForestDiffusion,CopulaGAN,1.4444444444444444,5.444444444444445,0.012452422542421071,True
CTABGAN,TabDDPM,4.111111111111111,7.666666666666667,0.043330960700129206,True
TVAE,GaussianCopula,2.4444444444444446,5.888888888888889,0.05744817211848097,False
TVAE,CTGAN,2.4444444444444446,5.555555555555555,0.12416849024311871,False
TVAE,CopulaGAN,2.4444444444444446,5.444444444444445,0.15642518383877346,False
ForestDiffusion,CTABGAN,1.4444444444444444,4.111111111111111,0.28822774909592197,False
WGAN-GP,GaussianCopula,3.4444444444444446,5.888888888888889,0.40376084457362615,False
CopulaGAN,TabDDPM,5.444444444444445,7.666666666666667,0.5338373074420204,False
CTGAN,TabDDPM,5.555555555555555,7.666666666666667,0.600625110233503,False
WGAN-GP,CTGAN,3.4444444444444446,5.555555555555555,0.6006251102335034,False
WGAN-GP,CopulaGAN,3.4444444444444446,5.444444444444445,0.6661463221588553,False
ForestDiffusion,WGAN-GP,1.4444444444444444,3.4444444444444446,0.6661463221588553,False
CTABGAN,GaussianCopula,4.111111111111111,5.888888888888889,0.785948700844209,False
GaussianCopula,TabDDPM,5.888888888888889,7.666666666666667,0.785948700844209,False
TVAE,CTABGAN,2.4444444444444446,4.111111111111111,0.837012710619806,False
CTABGAN,CTGAN,4.111111111111111,5.555555555555555,0.9164563040689869,False
CTABGAN,CopulaGAN,4.111111111111111,5.444444444444445,0.9444128391714839,False
ForestDiffusion,TVAE,1.4444444444444444,2.4444444444444446,0.9889701192635673,False
TVAE,WGAN-GP,2.4444444444444446,3.4444444444444446,0.9889701192635673,False
WGAN-GP,CTABGAN,3.4444444444444446,4.111111111111111,0.9991346443675294,False
CopulaGAN,GaussianCopula,5.444444444444445,5.888888888888889,0.9999421542682614,False
CTGAN,GaussianCopula,5.555555555555555,5.888888888888889,0.9999919077551657,False
CopulaGAN,CTGAN,5.444444444444445,5.555555555555555,0.9999999960951349,False
