Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
WGAN-GP,CTGAN,2.6666666666666665,5.333333333333333,0.109375,False
WGAN-GP,CopulaGAN,2.6666666666666665,6.111111111111111,0.109375,False
WGAN-GP,TabDDPM,2.6666666666666665,6.888888888888889,0.109375,False
ForestDiffusion,TabDDPM,3.111111111111111,6.888888888888889,0.29296875,False
GaussianCopula,TabDDPM,4.777777777777778,6.888888888888889,0.46875,False
ForestDiffusion,CopulaGAN,3.111111111111111,6.111111111111111,0.46875,False
ForestDiffusion,GaussianCopula,3.111111111111111,4.777777777777778,0.46875,False
CTABGAN,TabDDPM,3.888888888888889,6.888888888888889,0.57421875,False
ForestDiffusion,CTGAN,3.111111111111111,5.333333333333333,0.57421875,False
TVAE,TabDDPM,3.2222222222222223,6.888888888888889,0.57421875,False
GaussianCopula,CTGAN,4.777777777777778,5.333333333333333,1.0,False
GaussianCopula,CopulaGAN,4.777777777777778,6.111111111111111,1.0,False
CTGAN,CopulaGAN,5.333333333333333,6.111111111111111,1.0,False
CTABGAN,CopulaGAN,3.888888888888889,6.111111111111111,1.0,False
CTABGAN,CTGAN,3.888888888888889,5.333333333333333,1.0,False
CTABGAN,GaussianCopula,3.888888888888889,4.777777777777778,1.0,False
WGAN-GP,ForestDiffusion,2.6666666666666665,3.111111111111111,1.0,False
TVAE,CTABGAN,3.2222222222222223,3.888888888888889,1.0,False
TVAE,CTGAN,3.2222222222222223,5.333333333333333,1.0,False
TVAE,GaussianCopula,3.2222222222222223,4.777777777777778,1.0,False
CTGAN,TabDDPM,5.333333333333333,6.888888888888889,1.0,False
ForestDiffusion,CTABGAN,3.111111111111111,3.888888888888889,1.0,False
ForestDiffusion,TVAE,3.111111111111111,3.2222222222222223,1.0,False
WGAN-GP,GaussianCopula,2.6666666666666665,4.777777777777778,1.0,False
WGAN-GP,CTABGAN,2.6666666666666665,3.888888888888889,1.0,False
WGAN-GP,TVAE,2.6666666666666665,3.2222222222222223,1.0,False
TVAE,CopulaGAN,3.2222222222222223,6.111111111111111,1.0,False
CopulaGAN,TabDDPM,6.111111111111111,6.888888888888889,1.0,False
