Dataset,Generator,Fidelity (Quality),Accuracy TSTR,Accuracy Gap,F1 TSTR,F1 Gap,MIA AUC
Adult,CTABGAN,0.895462 ± 0.0558689,0.742705 ± 0.0213692,0.080995 ± 0.0213692,0.738034 ± 0.0200629,0.0798679 ± 0.0200629,0.748667 ± 0.135537
Adult,CTGAN,0.847594 ± 0.0157667,0.791082 ± 0.00687828,0.0326183 ± 0.00687828,0.772152 ± 0.0125331,0.0457499 ± 0.0125331,0.620654 ± 0.0417411
Adult,CopulaGAN,0.891422 ± 0.0100008,0.781397 ± 0.0110898,0.0423033 ± 0.0110898,0.776634 ± 0.00661177,0.0412673 ± 0.00661177,0.622778 ± 0.0311505
Adult,ForestDiffusion,0.77661 ± 0.00135338,0.803662 ± 0.00726459,0.0200383 ± 0.00726459,0.782165 ± 0.0125724,0.0357369 ± 0.0125724,0.972086 ± 0.00849322
Adult,GaussianCopula,0.808236 ± 2.21396e-05,0.735143 ± 0.00239913,0.0885567 ± 0.00239913,0.672234 ± 0.0018333,0.145668 ± 0.0018333,0.891753 ± 0.000238541
Adult,TVAE,0.840051 ± 0.00794742,0.630665 ± 0.054275,0.193035 ± 0.054275,0.586542 ± 0.0645456,0.23136 ± 0.0645456,0.999728 ± 0.000464857
Adult,TabDDPM,0.28638 ± 0.0145688,0.652432 ± 0.067431,0.171268 ± 0.067431,0.588825 ± 0.0714603,0.229077 ± 0.0714603,1 ± 0
Adult,WGAN-GP,0.71711 ± 0.00380066,0.799325 ± 0.00686724,0.024375 ± 0.00686724,0.787542 ± 0.00914326,0.0303596 ± 0.00914326,0.549111 ± 0.0346446
Alzheimer's,CTABGAN,0.331418 ± 0.0221504,0.801009 ± 0.147563,0.124868 ± 0.147563,0.79541 ± 0.153953,0.1304 ± 0.153953,0.910836 ± 0.144881
Alzheimer's,CTGAN,0.71044 ± 0.021354,0.493904 ± 0.0545682,0.431974 ± 0.0545682,0.476655 ± 0.0542511,0.449155 ± 0.0542511,0.847553 ± 0.0814685
Alzheimer's,CopulaGAN,0.694641 ± 0.0164716,0.479211 ± 0.0816604,0.446667 ± 0.0816604,0.455623 ± 0.0889421,0.470187 ± 0.0889421,0.844944 ± 0.0558725
